"gene_ID_ncbi","gene_ID_robin","expressed"
"BBA_00001","Beaba1|1","yes"
"BBA_00002","Beaba1|2","no"
"BBA_00003","Beaba1|3","no"
"BBA_00004","Beaba1|4","no"
"BBA_00005","Beaba1|5","yes"
"BBA_00006","Beaba1|6","yes"
"BBA_00007","Beaba1|7","yes"
"BBA_00008","Beaba1|8","yes"
"BBA_00009","Beaba1|9","yes"
"BBA_00010","Beaba1|10","yes"
"BBA_00011","Beaba1|11","yes"
"BBA_00012","Beaba1|12","yes"
"BBA_00013","Beaba1|13","yes"
"BBA_00014","Beaba1|14","yes"
"BBA_00015","Beaba1|15","yes"
"BBA_00016","Beaba1|16","yes"
"BBA_00017","Beaba1|17","no"
"BBA_00018","Beaba1|18","yes"
"BBA_00019","Beaba1|19","no"
"BBA_00020","Beaba1|20","yes"
"BBA_00021","Beaba1|21","yes"
"BBA_00022","Beaba1|22","yes"
"BBA_00023","Beaba1|23","yes"
"BBA_00024","Beaba1|24","yes"
"BBA_00025","Beaba1|25","yes"
"BBA_00026","Beaba1|26","no"
"BBA_00027","Beaba1|27","yes"
"BBA_00028","Beaba1|28","yes"
"BBA_00029","Beaba1|29","yes"
"BBA_00030","Beaba1|30","yes"
"BBA_00031","Beaba1|31","no"
"BBA_00032","Beaba1|32","yes"
"BBA_00033","Beaba1|33","yes"
"BBA_00034","Beaba1|34","yes"
"BBA_00035","Beaba1|35","yes"
"BBA_00036","Beaba1|36","yes"
"BBA_00037","Beaba1|37","yes"
"BBA_00038","Beaba1|38","yes"
"BBA_00039","Beaba1|39","yes"
"BBA_00040","Beaba1|40","yes"
"BBA_00041","Beaba1|41","yes"
"BBA_00042","Beaba1|42","yes"
"BBA_00043","Beaba1|43","yes"
"BBA_00044","Beaba1|44","yes"
"BBA_00045","Beaba1|45","yes"
"BBA_00046","Beaba1|46","yes"
"BBA_00047","Beaba1|47","yes"
"BBA_00048","Beaba1|48","yes"
"BBA_00049","Beaba1|49","yes"
"BBA_00050","Beaba1|50","yes"
"BBA_00051","Beaba1|51","yes"
"BBA_00052","Beaba1|52","yes"
"BBA_00053","Beaba1|53","yes"
"BBA_00054","Beaba1|54","yes"
"BBA_00055","Beaba1|55","yes"
"BBA_00056","Beaba1|56","no"
"BBA_00057","Beaba1|57","yes"
"BBA_00058","Beaba1|58","yes"
"BBA_00059","Beaba1|59","yes"
"BBA_00060","Beaba1|60","yes"
"BBA_00061","Beaba1|61","yes"
"BBA_00062","Beaba1|62","yes"
"BBA_00063","Beaba1|63","yes"
"BBA_00064","Beaba1|64","yes"
"BBA_00065","Beaba1|65","yes"
"BBA_00066","Beaba1|66","yes"
"BBA_00067","Beaba1|67","yes"
"BBA_00068","Beaba1|68","yes"
"BBA_00069","Beaba1|69","no"
"BBA_00070","Beaba1|70","no"
"BBA_00071","Beaba1|71","yes"
"BBA_00072","Beaba1|72","yes"
"BBA_00073","Beaba1|73","yes"
"BBA_00074","Beaba1|74","no"
