gene_ID_ncbi,gene_ID_robin,expressed
GQ602_000001,Ophcf2|00001,yes
GQ602_000002,Ophcf2|00002,yes
GQ602_000003,Ophcf2|00003,yes
GQ602_000004,Ophcf2|00004,yes
GQ602_000005,Ophcf2|00005,yes
GQ602_000006,Ophcf2|00006,yes
GQ602_000007,Ophcf2|00007,yes
GQ602_000008,Ophcf2|00008,yes
GQ602_000009,Ophcf2|00009,yes
GQ602_000010,Ophcf2|00010,yes
GQ602_000011,Ophcf2|00011,yes
GQ602_000012,Ophcf2|00012,yes
GQ602_000013,Ophcf2|00013,yes
GQ602_000014,Ophcf2|00014,yes
GQ602_000015,Ophcf2|00015,yes
GQ602_000016,Ophcf2|00016,yes
GQ602_000017,Ophcf2|00017,yes
GQ602_000018,Ophcf2|00018,yes
GQ602_000019,Ophcf2|00019,yes
GQ602_000020,Ophcf2|00020,no
GQ602_000021,Ophcf2|00021,no
GQ602_000022,Ophcf2|00022,yes
GQ602_000023,Ophcf2|00023,yes
GQ602_000024,Ophcf2|00024,yes
GQ602_000025,Ophcf2|00025,yes
GQ602_000026,Ophcf2|00026,yes
GQ602_000027,Ophcf2|00027,yes
GQ602_000028,Ophcf2|00028,yes
GQ602_000029,Ophcf2|00029,yes
GQ602_000030,Ophcf2|00030,yes
GQ602_000031,Ophcf2|00031,yes
GQ602_000032,Ophcf2|00032,yes
GQ602_000033,Ophcf2|00033,yes
GQ602_000034,Ophcf2|00034,yes
GQ602_000035,Ophcf2|00035,yes
GQ602_000036,Ophcf2|00036,yes
GQ602_000037,Ophcf2|00037,yes
GQ602_000038,Ophcf2|00038,yes
GQ602_000039,Ophcf2|00039,yes
GQ602_000040,Ophcf2|00040,yes
GQ602_000041,Ophcf2|00041,yes
GQ602_000042,Ophcf2|00042,yes
GQ602_000043,Ophcf2|00043,yes
GQ602_000044,Ophcf2|00044,yes
GQ602_000045,Ophcf2|00045,yes
GQ602_000046,Ophcf2|00046,yes
GQ602_000047,Ophcf2|00047,yes
GQ602_000048,Ophcf2|00048,yes
GQ602_000049,Ophcf2|00049,yes
GQ602_000050,Ophcf2|00050,yes
GQ602_000051,Ophcf2|00051,yes
GQ602_000052,Ophcf2|00052,yes
GQ602_000053,Ophcf2|00053,yes
GQ602_000054,Ophcf2|00054,yes
GQ602_000055,Ophcf2|00055,yes
GQ602_000056,Ophcf2|00056,yes
GQ602_000057,Ophcf2|00057,yes
GQ602_000058,Ophcf2|00058,yes
GQ602_000059,Ophcf2|00059,yes
GQ602_000060,Ophcf2|00060,yes
GQ602_000061,Ophcf2|00061,yes
GQ602_000062,Ophcf2|00062,yes
GQ602_000063,Ophcf2|00063,yes
GQ602_000064,Ophcf2|00064,yes
GQ602_000065,Ophcf2|00065,yes
GQ602_000066,Ophcf2|00066,yes
GQ602_000067,Ophcf2|00067,yes
GQ602_000068,Ophcf2|00068,yes
GQ602_000069,Ophcf2|00069,yes
GQ602_000070,Ophcf2|00070,yes
GQ602_000071,Ophcf2|00071,yes
GQ602_000072,Ophcf2|00072,yes
GQ602_000073,Ophcf2|00073,yes
GQ602_000074,Ophcf2|00074,yes
GQ602_000075,Ophcf2|00075,yes
GQ602_000076,Ophcf2|00076,yes
GQ602_000077,Ophcf2|00077,yes
GQ602_000078,Ophcf2|00078,yes
GQ602_000079,Ophcf2|00079,yes
GQ602_000080,Ophcf2|00080,yes
GQ602_000081,Ophcf2|00081,yes
GQ602_000082,Ophcf2|00082,yes
GQ602_000083,Ophcf2|00083,yes
GQ602_000084,Ophcf2|00084,yes
GQ602_000085,Ophcf2|00085,yes
GQ602_000086,Ophcf2|00086,yes
GQ602_000087,Ophcf2|00087,yes
GQ602_000088,Ophcf2|00088,yes
GQ602_000089,Ophcf2|00089,yes
GQ602_000090,Ophcf2|00090,yes
GQ602_000091,Ophcf2|00091,yes
GQ602_000092,Ophcf2|00092,yes
GQ602_000093,Ophcf2|00093,yes
GQ602_000094,Ophcf2|00094,yes
GQ602_000095,Ophcf2|00095,yes
GQ602_000096,Ophcf2|00096,yes
GQ602_000097,Ophcf2|00097,yes
GQ602_000098,Ophcf2|00098,yes
GQ602_000099,Ophcf2|00099,yes
GQ602_000100,Ophcf2|00100,yes
GQ602_000101,Ophcf2|00101,yes
GQ602_000102,Ophcf2|00102,yes
GQ602_000103,Ophcf2|00103,yes
GQ602_000104,Ophcf2|00104,yes
GQ602_000105,Ophcf2|00105,yes
GQ602_000106,Ophcf2|00106,yes
GQ602_000107,Ophcf2|00107,yes
GQ602_000108,Ophcf2|00108,yes
GQ602_000109,Ophcf2|00109,yes
GQ602_000110,Ophcf2|00110,yes
GQ602_000111,Ophcf2|00111,yes
GQ602_000112,Ophcf2|00112,yes
GQ602_000113,Ophcf2|00113,yes
GQ602_000114,Ophcf2|00114,yes
GQ602_000115,Ophcf2|00115,yes
GQ602_000116,Ophcf2|00116,yes
GQ602_000117,Ophcf2|00117,yes
GQ602_000118,Ophcf2|00118,yes
GQ602_000119,Ophcf2|00119,yes
GQ602_000120,Ophcf2|00120,yes
GQ602_000121,Ophcf2|00121,yes
GQ602_000122,Ophcf2|00122,yes
GQ602_000123,Ophcf2|00123,yes
GQ602_000124,Ophcf2|00124,yes
GQ602_000125,Ophcf2|00125,yes
GQ602_000126,Ophcf2|00126,yes
GQ602_000127,Ophcf2|00127,yes
GQ602_000128,Ophcf2|00128,yes
GQ602_000129,Ophcf2|00129,yes
GQ602_000130,Ophcf2|00130,yes
GQ602_000131,Ophcf2|00131,yes
GQ602_000132,Ophcf2|00132,yes
GQ602_000133,Ophcf2|00133,yes
GQ602_000134,Ophcf2|00134,yes
GQ602_000135,Ophcf2|00135,yes
GQ602_000136,Ophcf2|00136,yes
GQ602_000137,Ophcf2|00137,yes
GQ602_000138,Ophcf2|00138,yes
GQ602_000139,Ophcf2|00139,yes
GQ602_000140,Ophcf2|00140,yes
GQ602_000141,Ophcf2|00141,yes
GQ602_000142,Ophcf2|00142,yes
GQ602_000143,Ophcf2|00143,yes
GQ602_000144,Ophcf2|00144,yes
GQ602_000145,Ophcf2|00145,yes
GQ602_000146,Ophcf2|00146,yes
GQ602_000147,Ophcf2|00147,yes
GQ602_000148,Ophcf2|00148,yes
GQ602_000149,Ophcf2|00149,yes
GQ602_000150,Ophcf2|00150,yes
GQ602_000151,Ophcf2|00151,yes
GQ602_000152,Ophcf2|00152,yes
GQ602_000153,Ophcf2|00153,yes
GQ602_000154,Ophcf2|00154,yes
GQ602_000155,Ophcf2|00155,yes
GQ602_000156,Ophcf2|00156,yes
GQ602_000157,Ophcf2|00157,yes
GQ602_000158,Ophcf2|00158,yes
GQ602_000159,Ophcf2|00159,yes
GQ602_000160,Ophcf2|00160,yes
GQ602_000161,Ophcf2|00161,yes
GQ602_000162,Ophcf2|00162,yes
GQ602_000163,Ophcf2|00163,yes
GQ602_000164,Ophcf2|00164,yes
GQ602_000165,Ophcf2|00165,yes
GQ602_000166,Ophcf2|00166,yes
GQ602_000167,Ophcf2|00167,yes
GQ602_000168,Ophcf2|00168,yes
GQ602_000169,Ophcf2|00169,yes
GQ602_000170,Ophcf2|00170,yes
GQ602_000171,Ophcf2|00171,yes
GQ602_000172,Ophcf2|00172,yes
GQ602_000173,Ophcf2|00173,yes
GQ602_000174,Ophcf2|00174,yes
GQ602_000175,Ophcf2|00175,yes
GQ602_000176,Ophcf2|00176,yes
GQ602_000177,Ophcf2|00177,yes
GQ602_000178,Ophcf2|00178,yes
GQ602_000179,Ophcf2|00179,yes
GQ602_000180,Ophcf2|00180,yes
GQ602_000181,Ophcf2|00181,yes
GQ602_000182,Ophcf2|00182,yes
GQ602_000183,Ophcf2|00183,yes
GQ602_000184,Ophcf2|00184,yes
GQ602_000185,Ophcf2|00185,yes
GQ602_000186,Ophcf2|00186,yes
GQ602_000187,Ophcf2|00187,no
GQ602_000188,Ophcf2|00188,yes
GQ602_000189,Ophcf2|00189,yes
GQ602_000190,Ophcf2|00190,yes
GQ602_000191,Ophcf2|00191,yes
GQ602_000192,Ophcf2|00192,yes
GQ602_000193,Ophcf2|00193,yes
GQ602_000194,Ophcf2|00194,yes
GQ602_000195,Ophcf2|00195,yes
GQ602_000196,Ophcf2|00196,yes
GQ602_000197,Ophcf2|00197,yes
GQ602_000198,Ophcf2|00198,yes
GQ602_000199,Ophcf2|00199,yes
GQ602_000200,Ophcf2|00200,yes
GQ602_000201,Ophcf2|00201,yes
GQ602_000202,Ophcf2|00202,yes
GQ602_000203,Ophcf2|00203,yes
GQ602_000204,Ophcf2|00204,yes
GQ602_000205,Ophcf2|00205,yes
GQ602_000206,Ophcf2|00206,yes
GQ602_000207,Ophcf2|00207,yes
GQ602_000208,Ophcf2|00208,yes
GQ602_000209,Ophcf2|00209,yes
GQ602_000210,Ophcf2|00210,yes
GQ602_000211,Ophcf2|00211,yes
GQ602_000212,Ophcf2|00212,yes
GQ602_000213,Ophcf2|00213,yes
GQ602_000214,Ophcf2|00214,yes
GQ602_000215,Ophcf2|00215,yes
GQ602_000216,Ophcf2|00216,yes
GQ602_000217,Ophcf2|00217,yes
GQ602_000218,Ophcf2|00218,yes
GQ602_000219,Ophcf2|00219,yes
GQ602_000220,Ophcf2|00220,yes
GQ602_000221,Ophcf2|00221,yes
GQ602_000222,Ophcf2|00222,yes
GQ602_000223,Ophcf2|00223,yes
GQ602_000224,Ophcf2|00224,yes
GQ602_000225,Ophcf2|00225,yes
GQ602_000226,Ophcf2|00226,yes
