gene,gene_ID_robin,cluster
GQ602_000001,Ophcf2|00001,1
GQ602_000008,Ophcf2|00008,2
GQ602_000014,Ophcf2|00014,1
GQ602_000016,Ophcf2|00016,1
GQ602_000017,Ophcf2|00017,3
GQ602_000032,Ophcf2|00032,2
GQ602_000039,Ophcf2|00039,1
GQ602_000042,Ophcf2|00042,1
GQ602_000043,Ophcf2|00043,1
GQ602_000044,Ophcf2|00044,4
GQ602_000047,Ophcf2|00047,1
GQ602_000049,Ophcf2|00049,2
GQ602_000051,Ophcf2|00051,3
GQ602_000052,Ophcf2|00052,3
GQ602_000053,Ophcf2|00053,3
GQ602_000056,Ophcf2|00056,2
GQ602_000057,Ophcf2|00057,1
GQ602_000060,Ophcf2|00060,3
GQ602_000062,Ophcf2|00062,1
GQ602_000063,Ophcf2|00063,1
GQ602_000065,Ophcf2|00065,4
GQ602_000070,Ophcf2|00070,1
GQ602_000075,Ophcf2|00075,1
GQ602_000076,Ophcf2|00076,2
GQ602_000077,Ophcf2|00077,3
GQ602_000079,Ophcf2|00079,4
GQ602_000080,Ophcf2|00080,4
GQ602_000083,Ophcf2|00083,4
GQ602_000085,Ophcf2|00085,4
GQ602_000090,Ophcf2|00090,1
GQ602_000091,Ophcf2|00091,1
GQ602_000096,Ophcf2|00096,4
GQ602_000098,Ophcf2|00098,3
GQ602_000103,Ophcf2|00103,1
GQ602_000109,Ophcf2|00109,3
GQ602_000112,Ophcf2|00112,1
GQ602_000115,Ophcf2|00115,4
GQ602_000116,Ophcf2|00116,1
GQ602_000121,Ophcf2|00121,4
GQ602_000122,Ophcf2|00122,3
GQ602_000124,Ophcf2|00124,4
GQ602_000125,Ophcf2|00125,4
GQ602_000127,Ophcf2|00127,2
GQ602_000129,Ophcf2|00129,3
GQ602_000131,Ophcf2|00131,4
GQ602_000134,Ophcf2|00134,3
GQ602_000137,Ophcf2|00137,4
GQ602_000144,Ophcf2|00144,2
GQ602_000146,Ophcf2|00146,1
GQ602_000147,Ophcf2|00147,1
GQ602_000153,Ophcf2|00153,1
GQ602_000154,Ophcf2|00154,1
GQ602_000160,Ophcf2|00160,1
GQ602_000162,Ophcf2|00162,4
GQ602_000171,Ophcf2|00171,3
GQ602_000172,Ophcf2|00172,1
GQ602_000179,Ophcf2|00179,3
GQ602_000183,Ophcf2|00183,1
GQ602_000184,Ophcf2|00184,3
GQ602_000197,Ophcf2|00197,4
GQ602_000198,Ophcf2|00198,1
GQ602_000200,Ophcf2|00200,1
GQ602_000201,Ophcf2|00201,4
GQ602_000208,Ophcf2|00208,4
GQ602_000210,Ophcf2|00210,2
GQ602_000212,Ophcf2|00212,1
GQ602_000215,Ophcf2|00215,1
GQ602_000216,Ophcf2|00216,3
GQ602_000220,Ophcf2|00220,1
GQ602_000221,Ophcf2|00221,4
GQ602_000225,Ophcf2|00225,4
GQ602_000227,Ophcf2|00227,4
GQ602_000228,Ophcf2|00228,4
GQ602_000229,Ophcf2|00229,2
GQ602_000230,Ophcf2|00230,4
GQ602_000242,Ophcf2|00242,3
GQ602_000244,Ophcf2|00244,1
GQ602_000247,Ophcf2|00247,1
GQ602_000250,Ophcf2|00250,1
GQ602_000251,Ophcf2|00251,1
GQ602_000253,Ophcf2|00253,4
GQ602_000255,Ophcf2|00255,4
