ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
BBA_00001	cosine	8.0	2.0	8.0	-3.3333335166159844e-10	0.9574271079946503	18.0	2.0	3.175426481	-0.288675135	3.464101616	-10.9999999861	1.0	0.36927447293799814	0.0473353643123284	0.42601827881095555
BBA_00004	cosine	8.0	8.0	2.0	-8.333334022836425e-11	0.957427107910807	24.0	2.0	2.142188041	-0.428174352	2.570362393	-5.00307417059	1.0	0.20786985482077458	0.1734101115230316	1.5606910037072843
BBA_00005	cosine	8.0	8.0	6.0	8.333332172464718e-11	0.9574271077247555	24.0	6.0	1.492233062	-1.305260504	2.797493566	-1.14324539617	-1.36085514382	0.10050378152592121	0.3246054073583539	2.921448666225185
BBA_00006	cosine	8.0	2.0	0.0	1.6666662494557727e-10	0.9574271076780476	8.0	24.0	1.723417656	-1.496307789	3.219725445	-1.15178018097	-2.12235155404	0.296078262731896	0.0901247100752523	0.8111223906772707
BBA_00007	cosine	8.0	4.0	6.0	-8.333337723579841e-11	0.957427107757838	12.0	22.0	1.76277729	-1.601325919	3.364103209	-1.10082355446	-2.23317276469	0.26801008406912324	0.11257316160194203	1.0131584544174783
BBA_00008	cosine	8.0	4.0	8.0	8.333335873208132e-11	0.9574271077997443	8.0	16.0	1.533022252	-2.173169804	3.706192056	-0.70543141598	-3.33110981184	0.23450882356048283	0.14426833538783368	1.2984150184905032
BBA_00009	cosine	8.0	0.0	6.0	-1.850371707708594e-17	0.9574271076634862	2.0	6.0	1.197060418	-1.938733045	3.135793463	-0.617444686924	-1.380834369	0.4355163866123253	0.024358800530983115	0.21922920477884802
BBA_00010	cosine	8.0	4.0	2.0	-1.6666667120486997e-10	0.9574271078890703	12.0	2.0	1.660316956	-1.500407567	3.160724523	-1.10657730107	-1.07991868505	0.6250541102117805	0.002335688748637901	0.02102119873774111
BBA_00011	cosine	8.0	4.0	2.0	-1.850371707708594e-17	0.9574271078710888	20.0	10.0	1.733773117	-1.718071379	3.451844496	-1.00913916511	-1.06650057647	0.296078262731896	0.0901247100752523	0.8111223906772707
BBA_00012	cosine	8.0	2.0	8.0	1.6666671746416265e-10	0.9574271078557419	2.0	24.0	1.367929611	-1.576342602	2.944272213	-0.867786995837	-4.53318361123	0.23450882356048283	0.14426833538783368	1.2984150184905032
BBA_00013	cosine	8.0	4.0	6.0	8.333332172464718e-11	0.9574271076972692	12.0	24.0	1.809675441	-1.589785401	3.399460842	-1.13831429063	-1.18820167466	0.20100756305184242	0.1814857225539041	1.633371502985137
