ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
XA68_10000	cosine	24.0	20.0	4.0	-8.333335873208132e-11	0.9574271076920899	20.0	8.0	1.294920079	-2.0782086	3.373128679	-0.623094370315	-1.69634302561	0.40644850966246976	0.03292085287309089	0.4938127930963634
XA68_10001	cosine	24.0	4.0	0.0	-9.25185853854297e-18	0.9574271077062528	4.0	24.0	1.358963537	-1.854183631	3.213147168	-0.732917449102	-2.88428810164	0.42552676218461316	0.027061931661110435	0.4059289749166565
XA68_10002	cosine	24.0	16.0	8.0	-3.932039878880763e-17	0.9574271077661652	16.0	32.0	1.798164661	-1.399348148	3.197512809	-1.28500163706	-1.43189236766	0.41871789467931214	0.02904431653896035	0.43566474808440525
XA68_10003	cosine	24.0	16.0	12.0	4.625929269271486e-17	0.9574271077755035	20.0	32.0	1.630876501	-1.548433242	3.179309743	-1.05324301802	-1.29253247558	0.15891043154093218	0.2360104104586807	3.5401561568802107
XA68_10005	cosine	24.0	8.0	0.0	3.333333331578814e-10	0.9574271076721735	32.0	4.0	2.670691416	-0.413856034	3.08454745	-6.45318950696	1.0	0.3879917968315852	0.039546881697934924	0.5932032254690238
XA68_10006	cosine	24.0	16.0	12.0	-3.3333335166159844e-10	0.9574271079946503	40.0	4.0	3.175426481	-0.288675135	3.464101616	-10.9999999861	1.0	0.38924947208076155	0.03906332826468819	0.5859499239703229
XA68_10007	cosine	24.0	16.0	20.0	3.700743415417188e-17	0.9574271077993799	16.0	44.0	1.467812055	-2.102608434	3.570420489	-0.698091014601	-3.51069174946	0.38138503569823723	0.042167604419924586	0.6325140662988687
XA68_10008	cosine	24.0	20.0	0.0	-8.333334022836425e-11	0.9574271077929939	20.0	24.0	1.09502838	-2.772399704	3.867428084	-0.394974930354	14.8296402919	0.5627748595326505	0.005432675743650132	0.08149013615475198
XA68_10009	cosine	24.0	20.0	0.0	-8.333333097650571e-11	0.9574271078140747	20.0	24.0	1.114911284	-2.591552172	3.706463456	-0.430209854946	-3.9453250495	0.43771377963650593	0.02379564823412834	0.3569347235119251
XA68_10010	cosine	24.0	4.0	0.0	-8.333331247278863e-11	0.9574271076748284	16.0	24.0	1.079244036	-2.061985343	3.141229379	-0.523400440097	-3.08067085986	0.36248576037948527	0.05044712112711767	0.756706816906765
XA68_10011	cosine	24.0	12.0	8.0	8.333330322093009e-11	0.95742710782053	20.0	8.0	1.176394921	-2.288967979	3.4653629	-0.513941187379	-9.44213502251	0.42552676218461316	0.027061931661110435	0.4059289749166565
XA68_10012	cosine	24.0	8.0	0.0	2.7755575615628914e-17	0.9574271077058775	8.0	24.0	1.718350911	-1.851498291	3.569849202	-0.928086684904	-2.55578171416	0.5627748595326505	0.005432675743650132	0.08149013615475198
XA68_10013	cosine	24.0	0.0	8.0	-8.333335873208132e-11	0.9574271077779096	24.0	48.0	1.701480817	-1.66345235	3.364933167	-1.02286117002	-0.823799946544	0.43771377963650593	0.02379564823412834	0.3569347235119251
XA68_10014	cosine	24.0	16.0	20.0	4.1666664563067e-10	0.9574271076272756	40.0	4.0	2.797829884	-0.403908892	3.201738776	-6.92688361018	1.0	0.4789207443461594	0.015098611550751416	0.22647917326127123
XA68_10015	cosine	24.0	4.0	20.0	3.700743415417188e-17	0.9574271077652641	48.0	44.0	1.549875804	-1.205136973	2.755012777	-1.28605779984	-1.87380113961	0.5002443195845782	0.011787064559833655	0.17680596839750481
XA68_10016	cosine	24.0	8.0	20.0	2.7755575615628914e-17	0.957427107839337	36.0	20.0	1.238138109	-1.441106424	2.679244533	-0.859157997203	-1.26558704661	0.4724555912615342	0.016248883276749466	0.24373324915124198
XA68_10017	cosine	24.0	8.0	12.0	-1.6666666195301141e-10	0.9574271078455643	28.0	4.0	1.945121366	-0.743986324	2.68910769	-2.61445849642	-1.5752659897	0.3626456117321165	0.05037202052189544	0.7555803078284316
XA68_10018	cosine	24.0	12.0	8.0	1.6666668970858703e-10	0.9574271076178203	16.0	28.0	2.075305402	-0.936769505	3.012074907	-2.21538531189	-0.52240686998	0.15398682993655988	0.24292901016667717	3.6439351525001578
XA68_10019	cosine	24.0	4.0	16.0	4.625929269271485e-18	0.9574271078719182	20.0	4.0	1.869438841	-0.980766556	2.850205397	-1.90609970289	-0.248404436825	0.2765050206687511	0.10539371976813394	1.5809057965220092
XA68_10020	cosine	24.0	4.0	0.0	-1.9660199394403815e-17	0.9574271077814192	4.0	24.0	0.981360565	-2.79593662	3.777297185	-0.350995282933	-4.65336718372	0.6776907694051246	0.001080787662488592	0.01621181493732888
XA68_10021	cosine	24.0	4.0	0.0	8.333334022836425e-11	0.9574271077564322	28.0	44.0	1.552188096	-1.57223472	3.124422816	-0.987249598457	-1.18508079513	0.488567763989741	0.013512582066973257	0.20268873100459886
XA68_10022	cosine	24.0	12.0	4.0	4.625929269271485e-18	0.9574271075878319	20.0	24.0	1.200941674	-2.465439184	3.666380858	-0.487110646166	-3.58305399578	0.37518323968843365	0.044753897420978433	0.6713084613146765
XA68_10023	cosine	24.0	4.0	20.0	-8.333335873208132e-11	0.9574271078633538	28.0	8.0	1.49643376	-1.462112301	2.958546061	-1.02347388704	-1.4650377492	0.2501221597922891	0.12881724171626302	1.9322586257439454
XA68_10024	cosine	24.0	0.0	8.0	8.333337723579841e-11	0.9574271077373175	48.0	8.0	1.406091322	-2.483764128	3.88985545	-0.566113064501	-5.42679584649	0.5940401295066866	0.0035886947605967253	0.053830421408950876
XA68_10025	cosine	24.0	4.0	0.0	1.6666666195301141e-10	0.9574271076240517	16.0	24.0	1.106246091	-2.399175864	3.505421955	-0.46109420639	-1.64831881598	0.488567763989741	0.013512582066973257	0.20268873100459886
XA68_10026	cosine	24.0	4.0	0.0	0.0	0.95742710779091	28.0	24.0	0.913087637	-1.829623272	2.742710909	-0.499057730066	-2.99194600685	0.7407317712102525	0.00040057811829428313	0.006008671774414247
XA68_10027	cosine	24.0	8.0	20.0	8.333332172464718e-11	0.9574271077488095	32.0	48.0	1.557300697	-1.213672745	2.770973442	-1.28313064903	-1.11213542219	0.5539117094069977	0.006089982172122457	0.09134973258183685
XA68_10028	cosine	24.0	4.0	0.0	-9.25185853854297e-18	0.9574271076349199	28.0	24.0	1.005857082	-1.991106952	2.996964034	-0.50517481293	-1.84560074036	0.7092112703076886	0.0006642756623393738	0.009964134935090607
XA68_10029	cosine	24.0	12.0	16.0	8.333332172464718e-11	0.9574271077855959	12.0	44.0	1.696127553	-1.958891266	3.655018819	-0.865861001292	-1.6941935841	0.2542566904654915	0.12492539106643724	1.8738808659965587
XA68_10030	cosine	24.0	0.0	4.0	8.333334022836425e-11	0.9574271076885589	24.0	48.0	1.382603978	-2.369477786	3.752081764	-0.583505777589	-2.16228520365	0.17336275496410164	0.21634316011970334	3.24514740179555
XA68_10031	cosine	24.0	0.0	4.0	8.333332635057644e-11	0.957427107777488	24.0	8.0	2.525541523	-0.988469532	3.514011055	-2.55500189054	-0.608190078239	0.5831292666974328	0.004156084107205838	0.06234126160808757
XA68_10032	cosine	24.0	0.0	4.0	-5.782411586589357e-18	0.9574271077845793	24.0	28.0	2.57035418	-0.94288761	3.51324179	-2.72604513278	-0.663120280201	0.6461702685025607	0.001725440175873364	0.02588160263810046
XA68_10033	cosine	24.0	0.0	20.0	-8.333331247278863e-11	0.957427107848524	4.0	44.0	1.103877606	-2.474111673	3.577989279	-0.44617129374	-9.15914098952	0.5002443195845782	0.011787064559833655	0.17680596839750481
XA68_10034	cosine	24.0	0.0	20.0	-8.333333560243498e-11	0.957427107887958	24.0	20.0	2.883054832	-1.008750239	3.891805071	-2.85804624429	-0.396303242392	0.28138742976632525	0.10142035953841916	1.5213053930762874
XA68_10035	cosine	24.0	20.0	16.0	8.333330322093009e-11	0.9574271075316609	24.0	8.0	2.12302182	-1.550305435	3.673327255	-1.36942164561	-1.8539610606	0.3042434922296656	0.08426515778691729	1.2639773668037593
XA68_10036	cosine	24.0	8.0	0.0	8.333334022836425e-11	0.9574271076749493	40.0	12.0	1.889776136	-1.274668923	3.164445059	-1.48256233591	-0.941662942918	0.46897904961054204	0.016897895516253123	0.2534684327437968
XA68_10037	cosine	24.0	16.0	20.0	-1.6666667120486997e-10	0.9574271078237918	20.0	44.0	1.025595371	-2.104646911	3.130242282	-0.487300442483	16.2329505673	0.38138503569823723	0.042167604419924586	0.6325140662988687
XA68_10038	cosine	24.0	8.0	12.0	-8.333340730433865e-11	0.9574271078089257	40.0	12.0	1.742992242	-1.667574503	3.410566745	-1.04522600871	-1.79706015746	0.2994447585743574	0.08767317792776053	1.3150976689164078
XA68_10039	cosine	24.0	8.0	0.0	-8.333332172464718e-11	0.957427107663935	16.0	24.0	1.020036763	-2.552596923	3.572633686	-0.399607456159	-327.383187714	0.5315095895586144	0.008075181454718987	0.12112772182078481
XA68_10040	cosine	24.0	16.0	20.0	0.0	0.9574271076571169	16.0	24.0	1.236886422	-1.800930293	3.037816715	-0.686804162719	-1.17028202992	0.4449492083146101	0.022018113736134944	0.33027170604202416
XA68_10041	cosine	24.0	12.0	16.0	-4.625929269271485e-18	0.9574271077713286	36.0	40.0	1.568368244	-1.872061737	3.440429981	-0.837775919994	-1.55732110513	0.508513380930983	0.01068384436354423	0.16025766545316347
XA68_10042	cosine	24.0	8.0	0.0	-9.25185853854297e-18	0.9574271077071512	40.0	24.0	1.149170453	-1.968420363	3.117590816	-0.583803375844	-1.30729895013	0.5627748595326505	0.005432675743650132	0.08149013615475198
XA68_10043	cosine	24.0	0.0	8.0	-3.23815048849004e-17	0.9574271078220902	24.0	8.0	1.164237454	-2.259480427	3.423717881	-0.515267775763	-2.14800927218	0.46897904961054204	0.016897895516253123	0.2534684327437968
XA68_10044	cosine	24.0	20.0	16.0	-3.700743415417188e-17	0.957427107762945	24.0	16.0	2.203382129	-0.825947047	3.029329176	-2.66770386431	-1.73286950703	0.5720775535473558	0.004811332704071246	0.0721699905610687
XA68_10045	cosine	24.0	0.0	4.0	0.0	0.9574271077025339	24.0	8.0	1.585205275	-1.388039332	2.973244607	-1.14204636602	-1.5940023477	0.6146497675999968	0.002703128848699784	0.04054693273049676
XA68_10046	cosine	24.0	0.0	8.0	1.666667012734102e-10	0.9574271077927413	24.0	8.0	2.018490963	-1.647229523	3.665720486	-1.22538537272	-1.44318912917	0.6253053994807227	0.0023274023270582257	0.034911034905873384
XA68_10047	cosine	24.0	0.0	8.0	8.333334022836425e-11	0.9574271077497029	44.0	8.0	1.690679095	-1.250271285	2.94095038	-1.35224979993	-1.61567803664	0.5315095895586144	0.008075181454718987	0.12112772182078481
XA68_10048	cosine	24.0	20.0	0.0	-2.0816681711721685e-17	0.9574271078111605	20.0	8.0	2.212162828	-1.513018774	3.725181602	-1.46208551144	-1.34662524359	0.5002443195845782	0.011787064559833655	0.17680596839750481
XA68_10049	cosine	24.0	4.0	0.0	1.850371707708594e-17	0.9574271078457053	8.0	24.0	1.218438277	-1.660301232	2.878739509	-0.733865791048	-1.38825567139	0.5516087657948688	0.006271913590386279	0.09407870385579419
XA68_10050	cosine	24.0	20.0	8.0	8.333332172464718e-11	0.9574271077883172	44.0	8.0	1.632713154	-1.180064106	2.81277726	-1.38358004934	-1.50889469926	0.7077760731311638	0.0006794427973856082	0.010191641960784124
XA68_10051	cosine	24.0	20.0	8.0	2.500000021813757e-10	0.9574271077220219	44.0	32.0	1.852380789	-1.201190554	3.053571343	-1.54212067588	-1.26226260192	0.6154574548966641	0.002672839047301177	0.04009258570951765
XA68_10052	cosine	24.0	20.0	8.0	1.6666669549099863e-10	0.9574271077104132	44.0	32.0	1.602499418	-1.025330559	2.627829977	-1.56291003319	-1.4264260804	0.6154574548966641	0.002672839047301177	0.04009258570951765
XA68_10053	cosine	24.0	4.0	0.0	8.333330322093009e-11	0.9574271077147004	28.0	48.0	1.35408862	-2.03883682	3.39292544	-0.664147619229	-2.53653354108	0.4570472630871771	0.01929656018546278	0.2894484027819417
XA68_10054	cosine	24.0	4.0	0.0	8.333333560243498e-11	0.957427107756762	36.0	8.0	1.12236673	-2.00205284	3.12441957	-0.560607945792	-2.68622388789	0.42552676218461316	0.027061931661110435	0.4059289749166565
XA68_10055	cosine	24.0	4.0	0.0	3.700743415417188e-17	0.9574271077511584	20.0	48.0	2.075867464	-1.39556413	3.471431594	-1.48747550856	-1.56127949217	0.42552676218461316	0.027061931661110435	0.4059289749166565
XA68_10056	cosine	24.0	8.0	0.0	-9.25185853854297e-18	0.9574271077508958	32.0	44.0	1.179400635	-1.910846687	3.090247322	-0.61721363782	-1.87825182089	0.5627748595326505	0.005432675743650132	0.08149013615475198
XA68_10057	cosine	24.0	8.0	0.0	8.333330322093009e-11	0.9574271077038301	40.0	24.0	1.226651598	-2.22463514	3.451286738	-0.551394507775	-1.62984755687	0.5627748595326505	0.005432675743650132	0.08149013615475198
XA68_10058	cosine	24.0	0.0	8.0	2.7755575615628914e-17	0.957427107715371	24.0	8.0	2.696657981	-1.391326029	4.08798401	-1.93819272032	-0.585905127104	0.5002443195845782	0.011787064559833655	0.17680596839750481
XA68_10059	cosine	24.0	8.0	0.0	-8.333332172464718e-11	0.957427107803904	8.0	24.0	1.338599345	-1.80685312	3.145452465	-0.740845689217	-0.973550914569	0.5627748595326505	0.005432675743650132	0.08149013615475198
