ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
XA68_10000	cosine	24.0	20.0	4.0	-8.333335873208131e-11	0.95742710769209	20.0	8.0	1.2949200790000002	-2.0782086	3.3731286789999997	-0.6230943703149999	-1.6963430256099998	0.40644850966246976	0.032920852873090885	0.4938127930963634	0.4085914085914086	0.3895944185763666	0.5158670899511728
XA68_10001	cosine	24.0	4.0	0.0	-9.251858538542969e-18	0.9574271077062528	4.0	24.0	1.358963537	-1.854183631	3.2131471680000003	-0.732917449102	-2.88428810164	0.4255267621846132	0.027061931661110438	0.4059289749166565	0.35064935064935066	0.33482262442405075	0.46845312033437614
XA68_10002	cosine	24.0	16.0	8.0	-3.932039878880763e-17	0.9574271077661652	16.0	32.0	1.798164661	-1.399348148	3.1975128089999996	-1.28500163706	-1.43189236766	0.41871789467931214	0.02904431653896035	0.4356647480844053	0.35864135864135865	0.35390258751693654	0.49230284420144527
XA68_10003	cosine	24.0	16.0	12.0	4.625929269271486e-17	0.9574271077755035	20.0	32.0	1.630876501	-1.548433242	3.179309743	-1.05324301802	-1.29253247558	0.15891043154093218	0.2360104104586807	3.5401561568802107	0.973026973026973	0.973026973026973	0.9779902185596135
XA68_10005	cosine	24.0	8.0	0.0	3.333333331578814e-10	0.9574271076721736	32.0	4.0	2.670691416	-0.413856034	3.08454745	-6.453189506959999	1.0	0.3879917968315852	0.039546881697934924	0.5932032254690238	0.4485514485514486	0.4460197394657075	0.5654511293995192
XA68_10006	cosine	24.0	16.0	12.0	-3.3333335166159844e-10	0.9574271079946504	40.0	4.0	3.175426481	-0.288675135	3.464101616	-10.999999986099999	1.0	0.3892494720807616	0.03906332826468819	0.5859499239703229	0.4485514485514486	0.44208571611879466	0.5627692717359596
XA68_10007	cosine	24.0	16.0	20.0	3.7007434154171876e-17	0.95742710779938	16.0	44.0	1.467812055	-2.102608434	3.570420489	-0.698091014601	-3.51069174946	0.3813850356982372	0.04216760441992458	0.6325140662988687	0.4885114885114885	0.4668646077214627	0.5782405819652029
XA68_10008	cosine	24.0	20.0	0.0	-8.333334022836425e-11	0.957427107792994	20.0	24.0	1.09502838	-2.7723997039999997	3.8674280839999997	-0.39497493035400005	14.8296402919	0.5627748595326505	0.0054326757436501324	0.08149013615475198	0.08149013615475198	0.08138274075364811	0.2563161424012181
XA68_10009	cosine	24.0	20.0	0.0	-8.333333097650571e-11	0.9574271078140748	20.0	24.0	1.1149112840000002	-2.591552172	3.7064634560000003	-0.430209854946	-3.9453250495	0.4377137796365059	0.02379564823412834	0.3569347235119251	0.3176823176823177	0.30208530747705803	0.43708483781644686
XA68_10010	cosine	24.0	4.0	0.0	-8.333331247278863e-11	0.9574271076748284	16.0	24.0	1.079244036	-2.061985343	3.141229379	-0.523400440097	-3.08067085986	0.3624857603794853	0.05044712112711767	0.756706816906765	0.5474525474525475	0.5277601652538344	0.6231482553227061
XA68_10011	cosine	24.0	12.0	8.0	8.333330322093009e-11	0.9574271078205301	20.0	8.0	1.176394921	-2.288967979	3.4653629	-0.513941187379	-9.44213502251	0.4255267621846132	0.027061931661110438	0.4059289749166565	0.35064935064935066	0.33482262442405075	0.46845312033437614
XA68_10012	cosine	24.0	8.0	0.0	2.7755575615628914e-17	0.9574271077058776	8.0	24.0	1.718350911	-1.851498291	3.569849202	-0.928086684904	-2.5557817141599997	0.5627748595326505	0.0054326757436501324	0.08149013615475198	0.08149013615475198	0.08138274075364811	0.2563161424012181
XA68_10013	cosine	24.0	0.0	8.0	-8.333335873208131e-11	0.9574271077779096	24.0	48.0	1.701480817	-1.66345235	3.364933167	-1.02286117002	-0.823799946544	0.4377137796365059	0.02379564823412834	0.3569347235119251	0.3176823176823177	0.30208530747705803	0.43708483781644686
XA68_10014	cosine	24.0	16.0	20.0	4.1666664563067e-10	0.9574271076272756	40.0	4.0	2.7978298839999995	-0.403908892	3.2017387760000005	-6.92688361018	1.0	0.4789207443461594	0.015098611550751416	0.22647917326127126	0.1978021978021978	0.1978021978021978	0.3471371213707585
XA68_10015	cosine	24.0	4.0	20.0	3.7007434154171876e-17	0.957427107765264	48.0	44.0	1.549875804	-1.205136973	2.7550127769999997	-1.28605779984	-1.87380113961	0.5002443195845782	0.011787064559833657	0.1768059683975048	0.17282717282717283	0.1658216889709569	0.31410846649919916
XA68_10016	cosine	24.0	8.0	20.0	2.7755575615628914e-17	0.957427107839337	36.0	20.0	1.238138109	-1.441106424	2.6792445330000003	-0.859157997203	-1.2655870466099999	0.4724555912615342	0.016248883276749466	0.243733249151242	0.21078921078921078	0.21078921078921078	0.35649041577185286
XA68_10017	cosine	24.0	8.0	12.0	-1.6666666195301141e-10	0.9574271078455644	28.0	4.0	1.945121366	-0.7439863240000001	2.68910769	-2.61445849642	-1.5752659897	0.3626456117321165	0.05037202052189544	0.7555803078284316	0.5234765234765235	0.5234765234765235	0.6231482553227061
XA68_10018	cosine	24.0	12.0	8.0	1.6666668970858703e-10	0.9574271076178203	16.0	28.0	2.0753054019999997	-0.936769505	3.0120749069999997	-2.21538531189	-0.5224068699800001	0.15398682993655988	0.2429290101666772	3.6439351525001578	0.978021978021978	0.978021978021978	0.9817296789219547
XA68_10019	cosine	24.0	4.0	16.0	4.6259292692714846e-18	0.9574271078719182	20.0	4.0	1.869438841	-0.980766556	2.850205397	-1.90609970289	-0.24840443682500002	0.2765050206687511	0.10539371976813394	1.5809057965220092	0.7902097902097902	0.7902097902097902	0.8294657522853757
XA68_10020	cosine	24.0	4.0	0.0	-1.9660199394403812e-17	0.9574271077814192	4.0	24.0	0.981360565	-2.79593662	3.777297185	-0.35099528293300003	-4.6533671837199995	0.6776907694051246	0.001080787662488592	0.016211814937328883	0.016211814937328883	0.016211814937328883	0.2489243683342724
XA68_10021	cosine	24.0	4.0	0.0	8.333334022836425e-11	0.9574271077564322	28.0	44.0	1.5521880959999999	-1.57223472	3.124422816	-0.987249598457	-1.18508079513	0.48856776398974106	0.013512582066973255	0.2026887310045989	0.1878121878121878	0.18712309904283206	0.3323886830586826
XA68_10022	cosine	24.0	12.0	4.0	4.6259292692714846e-18	0.957427107587832	20.0	24.0	1.200941674	-2.465439184	3.666380858	-0.48711064616599997	-3.5830539957800003	0.3751832396884337	0.044753897420978433	0.6713084613146765	0.5194805194805194	0.4866722370546166	0.5895873412301639
XA68_10023	cosine	24.0	4.0	20.0	-8.333335873208131e-11	0.9574271078633538	28.0	8.0	1.49643376	-1.462112301	2.9585460610000003	-1.02347388704	-1.4650377492	0.2501221597922891	0.12881724171626302	1.9322586257439451	0.8691308691308691	0.8566117771088351	0.8821185692079678
XA68_10024	cosine	24.0	0.0	8.0	8.333337723579841e-11	0.9574271077373177	48.0	8.0	1.406091322	-2.4837641280000002	3.88985545	-0.566113064501	-5.42679584649	0.5940401295066866	0.003588694760596725	0.05383042140895088	0.05383042140895088	0.05383042140895088	0.2489243683342724
XA68_10025	cosine	24.0	4.0	0.0	1.6666666195301141e-10	0.9574271076240516	16.0	24.0	1.106246091	-2.399175864	3.505421955	-0.46109420639	-1.64831881598	0.48856776398974106	0.013512582066973255	0.2026887310045989	0.1878121878121878	0.18712309904283206	0.3323886830586826
XA68_10026	cosine	24.0	4.0	0.0	0.0	0.95742710779091	28.0	24.0	0.9130876370000001	-1.8296232719999999	2.742710909	-0.499057730066	-2.99194600685	0.7407317712102525	0.00040057811829428313	0.006008671774414247	0.006008671774414247	0.006008671774414247	0.2489243683342724
XA68_10027	cosine	24.0	8.0	20.0	8.333332172464719e-11	0.9574271077488096	32.0	48.0	1.5573006969999998	-1.213672745	2.770973442	-1.28313064903	-1.11213542219	0.5539117094069977	0.006089982172122457	0.09134973258183683	0.08391608391608392	0.08391608391608392	0.2563161424012181
XA68_10028	cosine	24.0	4.0	0.0	-9.251858538542969e-18	0.95742710763492	28.0	24.0	1.0058570820000001	-1.991106952	2.996964034	-0.5051748129300001	-1.8456007403599999	0.7092112703076886	0.0006642756623393738	0.009964134935090609	0.009964134935090609	0.009964134935090609	0.2489243683342724
XA68_10029	cosine	24.0	12.0	16.0	8.333332172464719e-11	0.957427107785596	12.0	44.0	1.6961275530000002	-1.958891266	3.655018819	-0.8658610012919999	-1.6941935841	0.2542566904654915	0.12492539106643726	1.873880865996559	0.8501498501498501	0.8474336910914402	0.8763951744925879
XA68_10030	cosine	24.0	0.0	4.0	8.333334022836425e-11	0.9574271076885588	24.0	48.0	1.3826039780000001	-2.369477786	3.7520817639999997	-0.583505777589	-2.16228520365	0.17336275496410164	0.21634316011970334	3.24514740179555	0.97002997002997	0.9684825855003153	0.9752261066761183
XA68_10031	cosine	24.0	0.0	4.0	8.333332635057644e-11	0.957427107777488	24.0	8.0	2.5255415230000002	-0.988469532	3.514011055	-2.5550018905400003	-0.608190078239	0.5831292666974328	0.004156084107205838	0.062341261608087575	0.062341261608087575	0.062341261608087575	0.2489243683342724
XA68_10032	cosine	24.0	0.0	4.0	-5.782411586589357e-18	0.9574271077845792	24.0	28.0	2.57035418	-0.94288761	3.51324179	-2.72604513278	-0.663120280201	0.6461702685025607	0.001725440175873364	0.025881602638100458	0.025881602638100458	0.025881602638100458	0.2489243683342724
