ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
XA68_10000	cosine	12.0	12.0	4.0	440.97766666666666	123.40720604860245	20.0	8.0	636.24	218.603	417.637	2.91048155789	1.59310104157	0.1859870828002672	0.19996727842991707	0.9998363921495854
XA68_10001	cosine	12.0	4.0	0.0	53.58471666666665	8.687884707916854	4.0	24.0	66.9917	38.212	28.7797	1.7531586936	1.24885232899	0.3619613829965134	0.05069410813155855	0.25347054065779273
XA68_10002	cosine	12.0	4.0	8.0	59.95987499999999	29.908959720266793	16.0	32.0	128.028	27.0539	100.9741	4.73233064364	2.14494987254	0.12065379433217113	0.29251458065492797	1.4625729032746397
XA68_10003	cosine	12.0	4.0	8.0	5.489652500000001	1.4983221207355304	20.0	32.0	8.35088	3.35739	4.99349	2.48731306163	1.59536955616	0.051708768999501914	0.40748358899052883	2.037417944952644

XA68_10005	cosine	12.0	4.0	12.0	0.10123008333333333	0.23817537576418293	32.0	4.0	0.788872	0.0	0.788872	-10000	0	0.2697707921985813	0.11105712766818426	0.5552856383409213
XA68_10006	cosine	12.0	4.0	0.0	0.022984416666666663	0.07623068610852449	40.0	4.0	0.275813	0.0	0.275813	-10000	0	0.33776026473659915	0.06317792709475158	0.31588963547375787
XA68_10007	cosine	12.0	4.0	0.0	4.0438135	2.0340051586114734	16.0	44.0	7.79351	0.857622	6.935888	9.08734850552	2.33156879518	0.43090640832918264	0.025576674512344563	0.12788337256172283
XA68_10008	cosine	12.0	8.0	12.0	24.22745	3.5576440548252344	20.0	24.0	29.0072	14.5884	14.4188	1.98837432481	1.12403862092	0.152171249563855	0.24550766712327832	1.2275383356163916
XA68_10009	cosine	12.0	4.0	0.0	33.45652499999999	7.579403448834765	20.0	24.0	44.3558	15.4481	28.9077	2.87127866857	1.30391346511	0.43090640832918264	0.025576674512344563	0.12788337256172283
