ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
XA68_10000	cosine	24	20	4	440.9776667	123.407206	20	8	636.24	218.603	417.637	2.910481558	1.593101042	0.40644851	0.032920853	0.493812793	0.396603397	0.381967475	0.505768154
XA68_10001	cosine	24	4	0	53.58471667	8.687884708	4	24	66.9917	38.212	28.7797	1.753158694	1.248852329	0.425526762	0.027061932	0.405928975	0.341658342	0.330063485	0.461794569
XA68_10002	cosine	24	16	8	59.959875	29.90895972	16	32	128.028	27.0539	100.9741	4.732330644	2.144949873	0.418717895	0.029044317	0.435664748	0.352647353	0.348147895	0.484297671
XA68_10003	cosine	24	16	12	5.4896525	1.498322121	20	32	8.35088	3.35739	4.99349	2.487313062	1.595369556	0.158910432	0.23601041	3.540156157	0.97002997	0.97002997	0.974977928
XA68_10005	cosine	24	8	0	0.101230083	0.238175376	32	4	0.788872	0	0.788872	-10000	0	0.387991797	0.039546882	0.593203225	0.428571429	0.428571429	0.544829064
XA68_10006	cosine	24	16	12	0.022984417	0.076230686	40	4	0.275813	0	0.275813	-10000	0	0.389249472	0.039063328	0.585949924	0.428571429	0.428571429	0.544829064
XA68_10007	cosine	24	16	20	4.0438135	2.034005159	16	44	7.79351	0.857622	6.935888	9.087348506	2.331568795	0.381385036	0.042167604	0.632514066	0.467532468	0.455252017	0.563857672
XA68_10008	cosine	24	20	0	24.22745	3.557644055	20	24	29.0072	14.5884	14.4188	1.988374325	1.124038621	0.56277486	0.005432676	0.081490136	0.081490136	0.081490136	0.257348462
XA68_10009	cosine	24	20	0	33.456525	7.579403449	20	24	44.3558	15.4481	28.9077	2.871278669	1.303913465	0.43771378	0.023795648	0.356934724	0.30969031	0.299009714	0.432634786
XA68_10010	cosine	24	4	0	9.391033333	4.060704892	16	24	15.3285	2.24959	13.07891	6.813908312	1.810852816	0.36248576	0.050447121	0.756706817	0.53046953	0.513205994	0.605963543
XA68_10011	cosine	24	12	8	305.4498333	67.97104106	20	8	406.108	160.663	245.445	2.52770084	1.245149426	0.425526762	0.027061932	0.405928975	0.341658342	0.330063485	0.461794569
XA68_10012	cosine	24	8	0	7.693305	3.631807127	8	24	16.6042	2.35667	14.24753	7.045619455	1.592079221	0.56277486	0.005432676	0.081490136	0.081490136	0.081490136	0.257348462
XA68_10013	cosine	24	0	8	21.45605833	2.44061886	24	48	26.0766	17.4854	8.5912	1.491335629	1.097151908	0.43771378	0.023795648	0.356934724	0.30969031	0.299009714	0.432634786
XA68_10014	cosine	24	16	20	0.030524917	0.072983662	40	4	0.246447	0	0.246447	-10000	0	0.478920744	0.015098612	0.226479173	0.206793207	0.206793207	0.359878731
XA68_10015	cosine	24	4	20	5.761554333	5.751012479	48	44	17.5382	0.622284	16.915916	28.18359463	6.746964623	0.50024432	0.011787065	0.176805968	0.176805968	0.16880326	0.31975632
XA68_10016	cosine	24	8	20	0.573842667	0.406564142	36	20	1.171	0	1.171	-10000	3.033547775	0.472455591	0.016248883	0.243733249	0.214785215	0.214785215	0.363248528
XA68_10017	cosine	24	8	12	0.026005442	0.033621281	28	4	0.095144	0	0.095144	-10000	nan	0.362645612	0.050372021	0.755580308	0.498501499	0.498501499	0.600569202
XA68_10018	cosine	24	12	8	0.07868075	0.08255547	16	28	0.264206	0	0.264206	-10000	nan	0.15398683	0.24292901	3.643935153	0.974025974	0.973750005	0.97767316
XA68_10019	cosine	24	4	16	0.4448125	0.504640572	20	4	1.50794	0	1.50794	-10000	nan	0.276505021	0.10539372	1.580905797	0.764235764	0.764235764	0.802201391
XA68_10020	cosine	24	4	0	74.41576833	46.10617991	4	24	163.925	1.11932	162.80568	146.4505235	2.212391137	0.677690769	0.001080788	0.016211815	0.016211815	0.016211815	0.248924368
XA68_10021	cosine	24	4	0	34.78608083	22.0822147	28	44	84.1437	8.89064	75.25306	9.464301783	2.63379587	0.488567764	0.013512582	0.202688731	0.200799201	0.189325993	0.336301706
XA68_10022	cosine	24	12	4	21.32668333	4.555520497	20	24	28.1549	10.9768	17.1781	2.564946068	1.336814849	0.37518324	0.044753897	0.671308461	0.497502498	0.474076359	0.574327851
XA68_10023	cosine	24	4	20	45.49205	17.6888781	28	8	78.768	22.6247	56.1433	3.481504727	1.923754511	0.25012216	0.128817242	1.932258626	0.844155844	0.836316237	0.861218702
XA68_10024	cosine	24	0	8	145.41765	44.48447445	48	8	228.633	56.1368	172.4962	4.072782916	1.45026858	0.59404013	0.003588695	0.053830421	0.053830421	0.053830421	0.248924368
XA68_10025	cosine	24	4	0	58.32383333	20.28700593	16	24	89.9338	17.2089	72.7249	5.226005149	1.520376968	0.488567764	0.013512582	0.202688731	0.200799201	0.189325993	0.336301706
XA68_10026	cosine	24	4	0	47.03788333	22.70724093	28	24	73.216	11.38	61.836	6.433743409	2.155743741	0.740731771	0.000400578	0.006008672	0.003996004	0.003996004	0.248924368
XA68_10027	cosine	24	8	20	147.2387917	44.84726641	32	48	230.879	95.3894	135.4896	2.420384236	1.748720659	0.553911709	0.006089982	0.091349733	0.091349733	0.091349733	0.262645423
XA68_10028	cosine	24	4	0	41.03694167	17.14264825	28	24	62.0634	12.8118	49.2516	4.844237344	2.158687899	0.70921127	0.000664276	0.009964135	0.009964135	0.009964135	0.248924368
