ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
XA68_10000	cosine	24.0	20.0	16.0	-8.333333097650571e-11	0.9574271077008417	24.0	16.0	1.284898379	-1.939586974	3.224485353	-0.662459789751	-1.51483487925	0.5402954672391693	0.0072373318982772135	0.1085599784741582
XA68_10001	cosine	24.0	4.0	8.0	8.333331247278863e-11	0.9574271078002478	4.0	32.0	2.304983026	-1.237381499	3.542364525	-1.86279092411	-0.710133326836	0.6146497675999968	0.002703128848699784	0.04054693273049676
XA68_10002	cosine	24.0	12.0	8.0	1.850371707708594e-17	0.9574271077839971	16.0	28.0	2.089111902	-1.462290931	3.551402833	-1.42865681357	-1.73115036858	0.17336275496410164	0.21634316011970334	3.24514740179555
XA68_10003	cosine	24.0	4.0	8.0	-1.850371707708594e-17	0.957427107892122	4.0	48.0	2.312706256	-0.951937172	3.264643428	-2.42947362917	-0.672268227349	0.2994447585743574	0.08767317792776053	1.3150976689164078
XA68_10005	cosine	24.0	0.0	4.0	-8.333334022836425e-11	0.9574271078419896	48.0	4.0	2.39008653	-0.425479951	2.815566481	-5.61738931384	1.0	0.5587987562271125	0.005719324170972198	0.08578986256458297
XA68_10007	cosine	24.0	16.0	12.0	-1.850371707708594e-17	0.9574271078323008	20.0	12.0	1.296165469	-2.32478424	3.620949709	-0.557542264223	-4.35671472466	0.38138503569823723	0.042167604419924586	0.6325140662988687
XA68_10008	cosine	24.0	20.0	16.0	-5.551115123125783e-17	0.9574271077051475	44.0	28.0	1.61976247	-1.796821826	3.416584296	-0.901459703217	-2.27425703034	0.34960294939005077	0.05679866795607516	0.8519800193411274
XA68_10009	cosine	24.0	16.0	8.0	-3.700743415417188e-17	0.9574271078109863	16.0	24.0	1.379105179	-2.140918783	3.520023962	-0.644165107967	-2.94302249398	0.26363719294623356	0.11640217218244758	1.7460325827367138
XA68_10010	cosine	24.0	16.0	0.0	8.33333170987179e-11	0.9574271078505949	16.0	24.0	1.499477713	-2.739923462	4.239401175	-0.547269926987	-4.15274736858	0.46897904961054204	0.016897895516253123	0.2534684327437968
XA68_10011	cosine	24.0	12.0	8.0	-9.25185853854297e-18	0.9574271078883817	36.0	8.0	1.941822276	-1.88939925	3.831221526	-1.02774587002	-1.3182342227	0.36248576037948527	0.05044712112711767	0.756706816906765
XA68_10012	cosine	24.0	16.0	20.0	8.333334022836425e-11	0.9574271077871973	48.0	24.0	1.681435579	-1.581420497	3.262856076	-1.06324382553	-2.06220720435	0.2542566904654915	0.12492539106643724	1.8738808659965587
XA68_10013	cosine	24.0	4.0	12.0	1.850371707708594e-17	0.9574271077643056	4.0	36.0	1.639555223	-1.97002711	3.609582333	-0.832250081574	-1.55992159114	0.46897904961054204	0.016897895516253123	0.2534684327437968
XA68_10014	cosine	24.0	4.0	8.0	-3.333333470356692e-10	0.9574271079825292	4.0	8.0	2.188534162	-0.50462292	2.693157082	-4.33696939885	-0.828804088011	0.42077212399096603	0.028433905631728273	0.4265085844759241
XA68_10015	cosine	24.0	12.0	16.0	-8.333332172464718e-11	0.957427107878896	36.0	16.0	2.045593772	-1.283608987	3.329202759	-1.5936268698	-1.8950084142	0.41316712200642364	0.03074837886955296	0.4612256830432944
XA68_10016	cosine	24.0	4.0	0.0	8.333328471721302e-11	0.9574271077717921	28.0	16.0	2.940146358	-1.10973581	4.049882168	-2.64941108641	-0.230238058587	0.36248576037948527	0.05044712112711767	0.756706816906765
XA68_10017	cosine	24.0	4.0	0.0	3.333333331578814e-10	0.9574271075117093	32.0	8.0	2.582894394	-0.493158615	3.076053009	-5.2374516341	-0.953920296009	0.3740196657697476	0.04525308034119152	0.6787962051178729
XA68_10018	cosine	24.0	12.0	16.0	8.333331247278863e-11	0.9574271077623329	4.0	8.0	2.61681082	-0.738834509	3.355645329	-3.54180914416	-0.271853291303	0.3277811406876181	0.06897505993654528	1.0346258990481791
XA68_10019	cosine	24.0	12.0	16.0	8.333331601451573e-11	0.9574271076720644	12.0	16.0	1.555350284	-1.514604035	3.069954319	-1.02690224511	-2.04461934408	0.33626912299068307	0.06401922725535884	0.9602884088303827
XA68_10020	cosine	24.0	12.0	4.0	2.7755575615628914e-17	0.9574271078132675	4.0	16.0	1.82671975	-1.797555775	3.624275525	-1.01622423927	-2.24374310831	0.31265269974036136	0.07853426938217861	1.1780140407326791
XA68_10021	cosine	24.0	12.0	16.0	8.333332172464718e-11	0.9574271078486738	4.0	16.0	1.273164243	-2.353098498	3.626262741	-0.541058627202	-1.14624810996	0.2860387767736779	0.0977376033412587	1.4660640501188804
XA68_10022	cosine	24.0	12.0	16.0	-8.333334022836425e-11	0.9574271076994054	48.0	16.0	1.58425702	-2.368764244	3.953021264	-0.668811606732	-1.40090755892	0.34960294939005077	0.05679866795607516	0.8519800193411274
XA68_10023	cosine	24.0	12.0	16.0	0.0	0.9574271076847677	4.0	16.0	1.568636744	-1.599076917	3.167713661	-0.980963909443	-1.78135251054	0.38138503569823723	0.042167604419924586	0.6325140662988687
XA68_10024	cosine	24.0	16.0	8.0	-9.25185853854297e-18	0.9574271079017351	16.0	8.0	2.437822291	-1.555209953	3.993032244	-1.56751973346	-1.18519230469	0.48075017537254355	0.014786104244078217	0.22179156366117325
XA68_10025	cosine	24.0	4.0	0.0	-1.850371707708594e-17	0.9574271077713701	28.0	24.0	1.676230387	-2.251412224	3.927642611	-0.74452397883	-1.20609821377	0.4570472630871771	0.01929656018546278	0.2894484027819417
XA68_10026	cosine	24.0	8.0	16.0	1.1564823173178714e-17	0.9574271076731903	28.0	16.0	1.749263194	-1.996351377	3.745614571	-0.876230113673	-2.4638725272	0.6048147367590064	0.0030976341623523166	0.04646451243528475
XA68_10027	cosine	24.0	8.0	12.0	-8.333333560243498e-11	0.9574271076493438	28.0	44.0	2.478314296	-1.025813782	3.504128078	-2.41594950223	-0.542346984514	0.3940062612820492	0.037277784955182205	0.5591667743277331
XA68_10028	cosine	24.0	4.0	0.0	6.938893903907228e-18	0.9574271076783111	28.0	24.0	1.933672328	-1.170636822	3.10430915	-1.65181232271	-1.34949479664	0.520088264892305	0.009291071757416634	0.1393660763612495
XA68_10029	cosine	24.0	12.0	16.0	9.25185853854297e-18	0.9574271077510057	8.0	16.0	1.852215635	-2.157963807	4.010179442	-0.858316357759	-1.2912385563	0.41316712200642364	0.03074837886955296	0.4612256830432944
XA68_10030	cosine	24.0	0.0	4.0	-8.333335873208132e-11	0.9574271078149085	48.0	8.0	1.508655198	-1.143288276	2.651943474	-1.31957549961	-0.966656344447	0.7722522721128164	0.00023698638032029084	0.003554795704804363
XA68_10031	cosine	24.0	20.0	8.0	-1.666666341974358e-10	0.9574271077183613	24.0	8.0	1.552108397	-1.338212889	2.890321286	-1.15983668201	-1.41989184428	0.738548945875997	0.0004151128468897901	0.006226692703346852
XA68_10032	cosine	24.0	20.0	8.0	1.6666667120486997e-10	0.9574271078547386	24.0	8.0	1.71635625	-1.301908187	3.018264437	-1.31833893291	-1.26172789501	0.6770032003863306	0.0010920931144948432	0.01638139671742265
XA68_10033	cosine	24.0	8.0	0.0	-1.666666804567285e-10	0.9574271077700904	32.0	16.0	1.269631715	-2.317047688	3.586679403	-0.547952345381	-4.30087901481	0.43771377963650593	0.02379564823412834	0.3569347235119251
XA68_10034	cosine	24.0	8.0	12.0	-8.333335873208132e-11	0.957427107861134	28.0	24.0	0.940138367	-2.47086677	3.411005137	-0.380489299712	236.96582777	0.2994447585743574	0.08767317792776053	1.3150976689164078
XA68_10035	cosine	24.0	16.0	12.0	6.938893903907228e-18	0.9574271077876048	16.0	36.0	1.316585017	-2.07822419	3.394809207	-0.633514431857	-1.43694391665	0.4767312946227965	0.015480063791539503	0.23220095687309256
XA68_10036	cosine	24.0	16.0	12.0	0.0	0.9574271078028919	40.0	36.0	2.30273856	-1.385579958	3.688318518	-1.66193119834	-0.776670577612	0.41316712200642364	0.03074837886955296	0.4612256830432944
XA68_10037	cosine	24.0	4.0	0.0	-8.333332577233528e-11	0.957427107750503	28.0	8.0	1.882077877	-1.7094571	3.591534977	-1.10097988244	-1.50741606533	0.33096525947692135	0.06708239491800405	1.0062359237700607
XA68_10038	cosine	24.0	16.0	12.0	-8.333332635057644e-11	0.957427107729577	40.0	24.0	1.475259396	-1.488988825	2.964248221	-0.990779360617	-1.15764333395	0.38138503569823723	0.042167604419924586	0.6325140662988687
XA68_10039	cosine	24.0	0.0	4.0	8.33333269288176e-11	0.957427107732286	24.0	4.0	2.193659988	-1.876231833	4.069891821	-1.16918386599	-2.05167827302	0.2364037567692295	0.1423291682149232	2.134937523223848
XA68_10040	cosine	24.0	4.0	20.0	-8.333332736249847e-11	0.9574271077757636	4.0	44.0	1.797864654	-1.968298123	3.766162777	-0.913410744537	-2.84013179811	0.5315095895586144	0.008075181454718987	0.12112772182078481
XA68_10041	cosine	24.0	4.0	16.0	1.61907524424502e-17	0.9574271077751786	4.0	16.0	1.43640634	-2.203797693	3.640204033	-0.651786842577	-1.10208425259	0.38770175433269644	0.03965908586713749	0.5948862880070623
XA68_10042	cosine	24.0	8.0	0.0	0.0	0.9574271077558955	40.0	24.0	1.742613617	-1.363449212	3.106062829	-1.27809206362	-1.88289009281	0.5002443195845782	0.011787064559833655	0.17680596839750481
XA68_10043	cosine	24.0	0.0	4.0	5.551115123125783e-17	0.9574271076447609	24.0	8.0	1.960289273	-1.668955701	3.629244974	-1.17456039835	-1.94819753147	0.6461702685025607	0.001725440175873364	0.02588160263810046
XA68_10044	cosine	24.0	20.0	4.0	1.6666664344929435e-10	0.9574271076863461	8.0	36.0	1.274432174	-1.614571457	2.889003631	-0.789331539632	-1.15960739582	0.40644850966246976	0.03292085287309089	0.4938127930963634
XA68_10045	cosine	24.0	0.0	4.0	6.47630097698008e-17	0.95742710769217	44.0	8.0	1.582263463	-2.207650737	3.7899142	-0.716718200249	-1.92145988291	0.7092112703076886	0.0006642756623393738	0.009964134935090607
XA68_10046	cosine	24.0	16.0	8.0	-1.666666341974358e-10	0.957427107686728	44.0	24.0	1.58341151	-1.603008896	3.186420406	-0.987774624303	-1.67145086678	0.38770175433269644	0.03965908586713749	0.5948862880070623
XA68_10047	cosine	24.0	0.0	8.0	8.333332866354108e-11	0.9574271077710355	24.0	40.0	1.646245398	-1.640794864	3.287040262	-1.00332188631	-1.26259878485	0.46897904961054204	0.016897895516253123	0.2534684327437968
XA68_10048	cosine	24.0	20.0	8.0	-8.333337723579841e-11	0.9574271077819686	44.0	4.0	2.00512189	-1.100162166	3.105284056	-1.82256939201	-2.68525778057	0.5539117094069977	0.006089982172122457	0.09134973258183685
XA68_10049	cosine	24.0	4.0	0.0	7.401486830834377e-17	0.9574271076752064	32.0	44.0	1.271323908	-1.617112945	2.888436853	-0.786168901765	-4.09618648879	0.5831292666974328	0.004156084107205838	0.06234126160808757
