ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
XA68_10000	cosine	8.0	4.0	8.0	402.2530833333333	100.45561242447528	24.0	16.0	560.331	223.268	337.063	2.50967895086	1.4991320442	0.28721347895177646	0.09682322156234335	0.1936464431246867
XA68_10001	cosine	8.0	4.0	8.0	61.26509166666667	7.11667446054901	4.0	32.0	79.4664	52.7488	26.7176	1.50650630915	1.18450512403	0.3692744729379983	0.04733536431232834	0.09467072862465668
XA68_10002	cosine	8.0	8.0	4.0	78.0299	37.12928903163916	16.0	28.0	174.685	37.7476	136.9374	4.62771143066	1.88573150627	0.04103049699311092	0.4263418441046652	0.8526836882093304
XA68_10003	cosine	8.0	4.0	8.0	6.848205833333335	2.852680302488808	4.0	48.0	14.3758	4.53767	9.83813	3.16810169096	1.34512967958	0.3692744729379983	0.04733536431232834	0.09467072862465668

XA68_10005	cosine	8.0	8.0	4.0	0.1166585	0.26357338479586667	48.0	4.0	0.792414	0.0	0.792414	-10000	0	0.43643578047198467	0.024121829401149358	0.048243658802298715

XA68_10007	cosine	8.0	8.0	4.0	4.284098333333334	0.8051779393487435	20.0	12.0	5.52535	2.49108	3.03427	2.21805401673	1.15337048127	0.16412198797244368	0.22880703942157304	0.4576140788431461
XA68_10008	cosine	8.0	8.0	4.0	23.35943333333333	2.1747101432655853	44.0	28.0	27.2532	19.4898	7.7634	1.3983314349	1.12381991936	0.0	0.5	1.0
XA68_10009	cosine	8.0	8.0	4.0	32.53681666666666	5.298494633986986	16.0	24.0	40.9927	21.8711	19.1216	1.87428615845	1.22465909799	0.04103049699311092	0.4263418441046652	0.8526836882093304
XA68_10010	cosine	8.0	8.0	4.0	10.876735833333335	3.2608095081345945	16.0	24.0	18.1075	3.35613	14.75137	5.39535119319	1.29451621545	0.04103049699311092	0.4263418441046652	0.8526836882093304
XA68_10011	cosine	8.0	4.0	8.0	271.86325	45.065583943709186	36.0	8.0	374.518	193.745	180.773	1.93304601409	1.22445732886	0.5744269579035529	0.004664793300056646	0.009329586600113291
XA68_10012	cosine	8.0	8.0	4.0	8.748297500000001	1.7276388851460682	48.0	24.0	12.1085	6.15681	5.95169	1.9666840458	1.37964982548	0.4103049699311092	0.03165889692990671	0.06331779385981343
XA68_10013	cosine	8.0	4.0	8.0	21.78039166666667	2.6692010925425897	4.0	36.0	26.6909	16.7452	9.9457	1.59394333899	1.20701637353	0.24618298195866553	0.132602702653215	0.26520540530643
XA68_10014	cosine	8.0	4.0	8.0	0.03253038333333333	0.062099170048262764	4.0	8.0	0.175574	0.0	0.175574	-10000	NA	0.24343224778007388	0.135291109603782	0.270582219207564
XA68_10015	cosine	8.0	4.0	8.0	6.534950833333333	5.247380980967963	36.0	16.0	20.851	1.83938	19.01162	11.3358849177	3.24236490513	0.28721347895177646	0.09682322156234335	0.1936464431246867
XA68_10016	cosine	8.0	4.0	8.0	0.6802293333333332	0.9516757888915683	28.0	16.0	3.77759	0.0	3.77759	-10000	2.00321176819	0.49236596391733106	0.012928792206995967	0.025857584413991934
