"gene_name","module_identity","GCN"
"BBA_00005","brown","beau"
"BBA_00010","brown","beau"
"BBA_00011","brown","beau"
"BBA_00020","brown","beau"
"BBA_00023","brown","beau"
"BBA_00024","brown","beau"
"BBA_00025","brown","beau"
"BBA_00028","brown","beau"
"BBA_00041","brown","beau"
"BBA_00042","brown","beau"
"BBA_00043","brown","beau"
"BBA_00046","brown","beau"
"BBA_00048","brown","beau"
"BBA_00050","brown","beau"
"BBA_00051","brown","beau"
"BBA_00052","brown","beau"
"BBA_00053","brown","beau"
"BBA_00059","brown","beau"
"BBA_00065","brown","beau"
"BBA_00066","brown","beau"
"BBA_00067","brown","beau"
"BBA_00068","brown","beau"
"BBA_00071","brown","beau"
"BBA_00094","brown","beau"
"BBA_00095","brown","beau"
"BBA_00096","brown","beau"
"BBA_00098","brown","beau"
"BBA_00104","brown","beau"
"BBA_00105","brown","beau"
"BBA_00112","brown","beau"
"BBA_00115","brown","beau"
"BBA_00119","brown","beau"
"BBA_00121","brown","beau"
"BBA_00124","brown","beau"
"BBA_00125","brown","beau"
"BBA_00126","brown","beau"
"BBA_00127","brown","beau"
"BBA_00128","brown","beau"
"BBA_00132","brown","beau"
"BBA_00139","brown","beau"
"BBA_00140","brown","beau"
"BBA_00142","brown","beau"
"BBA_00143","brown","beau"
"BBA_00145","brown","beau"
"BBA_00146","brown","beau"
"BBA_00149","brown","beau"
"BBA_00151","brown","beau"
"BBA_00158","brown","beau"
"BBA_00159","brown","beau"
"BBA_00161","brown","beau"
"BBA_00163","brown","beau"
"BBA_00164","brown","beau"
"BBA_00165","brown","beau"
"BBA_00166","brown","beau"
"BBA_00167","brown","beau"
"BBA_00168","brown","beau"
"BBA_00171","brown","beau"
"BBA_00178","brown","beau"
"BBA_00185","brown","beau"
"BBA_00204","brown","beau"
"BBA_00205","brown","beau"
"BBA_00207","brown","beau"
"BBA_00209","brown","beau"
"BBA_00210","brown","beau"
"BBA_00222","brown","beau"
"BBA_00223","brown","beau"
"BBA_00224","brown","beau"
"BBA_00232","brown","beau"
"BBA_00234","brown","beau"
"BBA_00236","brown","beau"
"BBA_00237","brown","beau"
"BBA_00240","brown","beau"
"BBA_00246","brown","beau"
"BBA_00247","brown","beau"
"BBA_00248","brown","beau"
"BBA_00250","brown","beau"
"BBA_00251","brown","beau"
"BBA_00252","brown","beau"
"BBA_00254","brown","beau"
"BBA_00255","brown","beau"
"BBA_00259","brown","beau"
"BBA_00260","brown","beau"
"BBA_00262","brown","beau"
"BBA_00264","brown","beau"
"BBA_00265","brown","beau"
"BBA_00267","brown","beau"
"BBA_00273","brown","beau"
"BBA_00277","brown","beau"
"BBA_00278","brown","beau"
"BBA_00280","brown","beau"
"BBA_00289","brown","beau"
"BBA_00292","brown","beau"
"BBA_00294","brown","beau"
"BBA_00296","brown","beau"
"BBA_00297","brown","beau"
"BBA_00302","brown","beau"
"BBA_00318","brown","beau"
"BBA_00320","brown","beau"
"BBA_00328","brown","beau"
"BBA_00329","brown","beau"
"BBA_00333","brown","beau"
"BBA_00334","brown","beau"
"BBA_00339","brown","beau"
"BBA_00347","brown","beau"
"BBA_00348","brown","beau"
"BBA_00353","brown","beau"
"BBA_00355","brown","beau"
"BBA_00356","brown","beau"
"BBA_00357","brown","beau"
"BBA_00358","brown","beau"
