"gene_name","module_identity","GCN"
"GQ602_000002","brown","ophio_cflo"
"GQ602_000009","brown","ophio_cflo"
"GQ602_000010","brown","ophio_cflo"
"GQ602_000012","brown","ophio_cflo"
"GQ602_000016","brown","ophio_cflo"
"GQ602_000018","brown","ophio_cflo"
"GQ602_000022","brown","ophio_cflo"
"GQ602_000030","brown","ophio_cflo"
"GQ602_000034","brown","ophio_cflo"
"GQ602_000035","brown","ophio_cflo"
"GQ602_000037","brown","ophio_cflo"
"GQ602_000049","brown","ophio_cflo"
"GQ602_000056","brown","ophio_cflo"
"GQ602_000064","brown","ophio_cflo"
"GQ602_000068","brown","ophio_cflo"
"GQ602_000070","brown","ophio_cflo"
"GQ602_000075","brown","ophio_cflo"
"GQ602_000076","brown","ophio_cflo"
"GQ602_000082","brown","ophio_cflo"
"GQ602_000091","brown","ophio_cflo"
"GQ602_000092","brown","ophio_cflo"
"GQ602_000112","brown","ophio_cflo"
"GQ602_000113","brown","ophio_cflo"
"GQ602_000120","brown","ophio_cflo"
"GQ602_000127","brown","ophio_cflo"
"GQ602_000135","brown","ophio_cflo"
"GQ602_000140","brown","ophio_cflo"
"GQ602_000142","brown","ophio_cflo"
"GQ602_000157","brown","ophio_cflo"
"GQ602_000161","brown","ophio_cflo"
"GQ602_000165","brown","ophio_cflo"
"GQ602_000173","brown","ophio_cflo"
"GQ602_000178","brown","ophio_cflo"
"GQ602_000180","brown","ophio_cflo"
"GQ602_000189","brown","ophio_cflo"
"GQ602_000194","brown","ophio_cflo"
"GQ602_000205","brown","ophio_cflo"
"GQ602_000217","brown","ophio_cflo"
"GQ602_000229","brown","ophio_cflo"
"GQ602_000256","brown","ophio_cflo"
"GQ602_000257","brown","ophio_cflo"
"GQ602_000264","brown","ophio_cflo"
"GQ602_000282","brown","ophio_cflo"
"GQ602_000301","brown","ophio_cflo"
"GQ602_000302","brown","ophio_cflo"
"GQ602_000305","brown","ophio_cflo"
"GQ602_000307","brown","ophio_cflo"
"GQ602_000308","brown","ophio_cflo"
"GQ602_000325","brown","ophio_cflo"
"GQ602_000326","brown","ophio_cflo"
"GQ602_000328","brown","ophio_cflo"
"GQ602_000332","brown","ophio_cflo"
"GQ602_000340","brown","ophio_cflo"
"GQ602_000344","brown","ophio_cflo"
"GQ602_000345","brown","ophio_cflo"
"GQ602_000356","brown","ophio_cflo"
"GQ602_000369","brown","ophio_cflo"
"GQ602_000381","brown","ophio_cflo"
"GQ602_000391","brown","ophio_cflo"
"GQ602_000406","brown","ophio_cflo"
"GQ602_000411","brown","ophio_cflo"
"GQ602_000426","brown","ophio_cflo"
"GQ602_000434","brown","ophio_cflo"
"GQ602_000435","brown","ophio_cflo"
"GQ602_000438","brown","ophio_cflo"
"GQ602_000446","brown","ophio_cflo"
"GQ602_000447","brown","ophio_cflo"
"GQ602_000452","brown","ophio_cflo"
"GQ602_000468","brown","ophio_cflo"
"GQ602_000469","brown","ophio_cflo"
"GQ602_000470","brown","ophio_cflo"
"GQ602_000471","brown","ophio_cflo"
"GQ602_000489","brown","ophio_cflo"
"GQ602_000498","brown","ophio_cflo"
"GQ602_000504","brown","ophio_cflo"
"GQ602_000505","brown","ophio_cflo"
"GQ602_000511","brown","ophio_cflo"
"GQ602_000530","brown","ophio_cflo"
"GQ602_000542","brown","ophio_cflo"
"GQ602_000553","brown","ophio_cflo"
"GQ602_000556","brown","ophio_cflo"
"GQ602_000572","brown","ophio_cflo"
"GQ602_000576","brown","ophio_cflo"
"GQ602_000586","brown","ophio_cflo"
"GQ602_000595","brown","ophio_cflo"
"GQ602_000609","brown","ophio_cflo"
"GQ602_000617","brown","ophio_cflo"
