ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
GQ602_000001	cosine	12.0	4.0	12.0	54.237291666666664	7.607620585138994	20.0	12.0	71.2664	44.9129	26.3535	1.58676905744	1.2112037009	0.17058877190638644	0.22004281389555647	1.1002140694777824
GQ602_000002	cosine	12.0	8.0	4.0	66.713375	3.545233045730798	20.0	6.0	74.5455	61.5947	12.9508	1.21025835015	1.04276490084	0.1395726315597707	0.26379925819755046	1.3189962909877524
GQ602_000003	cosine	12.0	4.0	8.0	1512.2408333333335	160.43357444013674	2.0	20.0	1663.16	1065.66	597.5	1.56068539684	1.07757333016	0.35668561398608073	0.053232974601062806	0.26616487300531405
GQ602_000004	cosine	12.0	8.0	12.0	37.50868333333333	2.6004263995972314	20.0	16.0	41.9523	33.516	8.4363	1.25170963122	1.11564750071	0.1395726315597707	0.26379925819755046	1.3189962909877524
GQ602_000005	cosine	12.0	12.0	8.0	79.20078333333333	10.194420544823634	12.0	20.0	104.585	68.8572	35.7278	1.51886803413	1.1573982394	0.41871789467931214	0.02904431653896035	0.14522158269480173
GQ602_000006	cosine	12.0	4.0	8.0	356.5355833333333	36.42177936450098	16.0	20.0	403.19	269.671	133.519	1.49511812542	1.14829590083	0.542782456065775	0.007014531725125648	0.035072658625628236
GQ602_000007	cosine	12.0	4.0	0.0	60.103625	4.5510697857985365	20.0	10.0	68.4611	51.7934	16.6677	1.32181127325	1.10297266702	0.43771377963650593	0.02379564823412834	0.11897824117064171
GQ602_000008	cosine	12.0	4.0	8.0	317.34116666666665	56.12123976243061	12.0	20.0	463.297	240.003	223.294	1.93038003692	1.22217056557	0.23262105259961785	0.14621780365458337	0.7310890182729168
GQ602_000009	cosine	12.0	8.0	4.0	5.2128375	0.9315701432896775	24.0	2.0	6.67752	3.48391	3.19361	1.91667408171	1.24384041432	0.41871789467931214	0.02904431653896035	0.14522158269480173
GQ602_000010	cosine	12.0	12.0	4.0	124.64316666666667	6.856297103555405	12.0	2.0	140.53	114.557	25.973	1.2267255602	1.07994324347	0.325669473639465	0.07025277592236653	0.3512638796118327
GQ602_000011	cosine	12.0	4.0	12.0	68.34615	5.0966489821744645	4.0	10.0	77.3831	57.3956	19.9875	1.34824098014	1.07694759505	0.41871789467931214	0.02904431653896035	0.14522158269480173
GQ602_000012	cosine	12.0	12.0	8.0	1.5746759166666664	0.47320122532781234	12.0	2.0	2.78725	0.886541	1.900709	3.14396062901	1.36661629218	0.17058877190638644	0.22004281389555647	1.1002140694777824
GQ602_000013	cosine	12.0	4.0	12.0	1.23459325	0.35526885715284345	20.0	22.0	1.98666	0.87297	1.11369	2.2757483075	1.51842025008	0.07754035086653928	0.3628199843123999	1.8140999215619997
