"gene_name","ZT04dd","ZT08dd","ZT12dd","ZT16dd","ZT20dd","ZT24dd","ZT28dd","ZT32dd","ZT36dd","ZT40dd","ZT44dd","ZT48dd"
"XA68_10000",366.552,218.603,566.075,557.014,636.24,568.365,350.903,385.103,455.442,355.329,526.214,305.892
"XA68_10001",66.9917,56.7504,51.9561,62.3517,66.6498,38.212,54.5834,53.0492,55.4609,49.9272,41.3553,45.7289
"XA68_10002",66.9771,37.5572,84.0608,128.028,105.354,53.1629,39.1901,27.0539,44.3102,28.4549,54.2596,51.1098
"XA68_10003",6.89423,6.40704,4.99779,5.67556,8.35088,7.57894,4.12654,3.35739,5.33464,5.18927,3.64215,4.3214
"XA68_10004",0,0,0,0,0,0,0,0,0,0,0,0
"XA68_10005",0,0,0,0,0,0,0,0.788872,0,0.425889,0,0
"XA68_10006",0,0,0,0,0,0,0,0,0,0.275813,0,0
"XA68_10007",3.79887,2.48011,3.14842,7.79351,7.04347,2.98095,3.60605,4.07164,3.50202,6.95029,0.857622,2.29281
"XA68_10008",24.6028,22.5837,27.6908,24.132,29.0072,14.5884,24.1878,24.9098,25.4751,27.1253,25.3108,21.1157
"XA68_10009",32.3756,34.1243,30.7298,40.2788,44.3558,15.4481,37.2836,40.069,35.1999,38.8282,26.9468,25.8384
"XA68_10010",10.0514,12.704,7.21914,15.3285,13.0728,2.24959,10.7476,14.1801,9.47997,9.45956,3.34061,4.85913
"XA68_10011",333.412,160.663,340.473,361.564,406.108,340.515,290.378,300.25,371.475,305.813,251.385,203.362
"XA68_10012",8.25835,16.6042,6.06304,9.65284,7.50782,2.35667,6.89194,9.5105,7.38292,10.407,2.72902,4.95536
"XA68_10013",22.2351,20.2662,21.2185,21.9079,22.0571,26.0766,19.7723,17.8098,21.4737,21.779,25.3911,17.4854
"XA68_10014",0,0,0,0,0,0,0,0,0.119852,0.246447,0,0
"XA68_10015",11.8474,1.75596,3.98542,2.80339,0.783356,0.882102,14.4278,2.69898,10.0011,1.79266,0.622284,17.5382
"XA68_10016",1.15457,0.75894,0.476763,0.631149,0,0,0.286636,0.835591,1.171,0.701939,0,0.869524
"XA68_10017",0,0.0668979,0,0,0,0,0.095144,0.0405663,0,0.0386612,0.0707959,0
"XA68_10018",0.117399,0.0772697,0.196076,0.264206,0.106229,0.0960723,0,0,0,0,0,0.086917
"XA68_10019",0,0.376758,0,0,1.50794,0.473613,1.47407,0.484359,0.472097,0.341873,0,0.20704
"XA68_10020",163.925,54.2459,45.3324,87.8368,44.5073,1.11932,146.808,100.293,99.4869,76.7263,23.008,49.7003
"XA68_10021",66.0775,17.8848,22.6923,47.5279,18.0454,8.96613,84.1437,41.8317,40.7166,37.3937,8.89064,23.2626
"XA68_10022",18.579,26.0719,26.4055,22.63,28.1549,10.9768,22.0697,19.503,22.6753,20.918,15.7479,22.1882
"XA68_10023",54.2233,22.6247,29.2928,32.2524,34.4961,24.0423,78.768,62.0457,65.6169,54.0596,32.5357,55.9471
"XA68_10024",135.855,56.1368,140.249,130.129,131.306,188.722,147.587,119.404,144.374,110.138,212.478,228.633
"XA68_10025",79.794,69.7254,45.8606,89.9338,67.7112,17.2089,66.1274,69.1821,60.5858,65.6274,34.5325,33.5969
"XA68_10026",70.8455,61.215,32.8636,38.6268,50.5017,11.38,73.216,72.3811,70.8289,50.9973,14.4691,17.1296
"XA68_10027",188.631,196.369,95.4321,107.868,106.663,113.659,168.314,230.879,172.689,178.789,112.183,95.3894
"XA68_10028",50.565,61.9149,30.8902,37.1078,28.0954,12.8118,62.0634,53.0586,60.6492,53.0492,19.0927,23.1451
"XA68_10029",15.2007,18.0756,42.4224,21.9185,33.3683,12.6825,18.5737,25.2025,16.7534,10.1863,6.62138,23.7852
"XA68_10030",17.4878,15.5537,19.3477,20.2091,24.2249,26.8465,16.8527,17.8075,19.9427,11.1797,15.2509,7.39763
"XA68_10031",54.872,37.0443,113.918,66.2381,96.3593,671.305,49.9261,39.3359,54.6156,51.3154,202.834,112.9
"XA68_10032",51.337,42.4495,112.57,67.6746,107.033,583.108,36.9384,40.2237,55.1144,44.7338,159.78,81.1163
"XA68_10033",29.0492,22.9421,22.2196,17.5223,23.8253,26.7495,22.2576,28.7392,20.6369,24.364,12.7903,26.1711
"XA68_10034",88.0697,105.162,99.6478,94.0372,85.9702,222.56,107.729,121.344,105.355,110.907,114.512,108.76
"XA68_10035",1.99273,0,1.99982,2.30623,3.94677,19.38,6.59538,3.62462,2.80206,1.21243,3.83019,0
"XA68_10036",24.3737,35.0424,5.55802,46.1869,14.1401,6.95604,13.0212,34.7102,15.5847,87.3104,8.30683,6.81587
"XA68_10037",23.2228,23.7426,22.5842,27.4296,34.5335,9.77328,26.7317,32.9272,27.2638,29.8047,8.63979,18.751
