gene_ID_ncbi,ZT02,ZT04,ZT06,ZT08,ZT10,ZT12,ZT14,ZT16,ZT18,ZT20,ZT22,ZT24
BBA_00001,0,0,0,0,0,0,0,0,2.666,0,0,0
BBA_00002,0,0,0,0,0,0,0,0,0,0,0,0
BBA_00003,0,0,0,0,0,0,0,0,0,0,0,0
BBA_00004,0,0.270587,0,0,0,0,0,0,0,0,0,0.270899
BBA_00005,2.27065,2.06214,1.65738,1.75713,2.79614,1.9635,3.31709,2.93057,3.53145,4.99715,4.43318,5.06026
BBA_00006,16.8416,16.2848,10.8895,20.0648,14.976,13.0285,11.0014,10.2497,10.475,7.72192,11.4335,7.65293
BBA_00007,100.149,113.303,94.8303,143.117,116.967,168.311,110.127,113.549,95.3985,74.524,63.6004,66.9428
BBA_00008,47.7366,48.6639,48.5914,54.264,49.0917,51.2813,52.2024,41.4125,49.6567,50.2947,44.4545,46.1167
BBA_00009,290.647,215.409,183.122,282.404,220.683,226.646,277.216,262.136,236.714,279.416,209.499,268.738
BBA_00010,4.12246,5.45677,7.13492,5.37896,4.40612,7.89751,4.57683,5.92808,4.75359,6.79365,6.48272,6.08275
BBA_00011,72.6041,63.4045,60.6855,65.2866,57.1441,72.6264,67.8319,75.3783,63.3168,80.5151,72.8012,65.5435
BBA_00012,3137.39,3095.65,2880.04,2709.16,2253.92,3101.53,2605.96,2618.58,2622.77,2579.89,2387.41,2210.41
BBA_00013,17.532,21.0339,16.5947,22.9127,21.9624,25.2621,20.0889,21.1764,18.5197,17.9078,19.242,15.7388
BBA_00014,48.2068,37.8306,32.1737,51.0464,46.7506,60.0269,42.8414,45.6416,33.0271,34.5705,30.9169,26.6988
BBA_00015,24.4421,27.1761,25.1279,23.5368,25.4686,20.9118,24.3341,23.0213,20.5498,22.6839,22.6102,25.4117
BBA_00016,29.6023,26.3538,26.2408,35.1484,31.6876,28.7846,29.8853,28.1071,28.0177,25.1184,24.5339,24.1237
BBA_00017,0.0573483,0.137319,0,0.050917,0.0474399,0.0479563,0.119807,0,0,0.0478051,0.198802,0.0946469
BBA_00018,0.667271,0.803137,0.50135,0.294983,2.49215,1.12012,0,0.330563,0.330761,0.844906,0.87956,0.559096
BBA_00019,0,0,0,0,0,0,0,0,0,0,0,0
BBA_00020,7.17196,6.75061,6.47868,6.02817,10.1259,6.86718,8.12868,4.95296,8.0877,5.37775,7.31808,8.75135
BBA_00021,134.13,124.449,92.4547,125.996,114.539,125.041,73.95,124.489,121.611,122.898,124.921,165.942
BBA_00022,95.2627,87.3507,81.3079,89.6472,81.1424,88.275,78.4794,79.5963,79.9148,80.6268,90.3483,82.1713
BBA_00023,94.0266,101.885,108.32,110.432,97.6698,113.43,119.242,113.367,111.747,120.675,114.528,109.876
BBA_00024,17.4902,16.457,21.4644,11.3675,16.8206,14.695,18.4467,17.6016,13.6533,22.9244,27.9416,29.6903
