"gene_name","ZT04ld","ZT08ld","ZT12ld","ZT16ld","ZT20ld","ZT24ld","ZT28ld","ZT32ld","ZT36ld","ZT40ld","ZT44ld","ZT48ld"
"XA68_10000",495.706,262.121,410.557,223.268,476.442,560.331,305.081,362.238,449.928,330.662,497.709,452.994
"XA68_10001",79.4664,54.483,61.6249,61.817,65.3161,66.3401,61.2958,52.7488,55.1421,54.5035,65.2303,57.2131
"XA68_10002",120.33,60.4749,58.7938,174.685,76.954,106.376,37.7476,50.3309,83.6572,56.411,53.5206,57.0778
"XA68_10003",14.3758,5.81125,5.94984,5.72166,7.26557,11.2789,5.5656,4.92722,5.40139,4.55442,6.78915,4.53767
"XA68_10004",0,0,0,0,0,0,0,0,0,0,0,0
"XA68_10005",0,0,0,0,0,0.607488,0,0,0,0,0,0.792414
"XA68_10006",0,0,0,0,0,0,0,0,0,0,0,0
"XA68_10007",4.64137,5.27886,2.49108,4.35246,5.52535,4.10431,3.17951,4.21328,3.75374,4.73379,4.58215,4.55328
"XA68_10008",24.4122,25.2247,23.6065,20.561,22.4455,23.8298,19.4898,21.1389,23.3283,22.8543,27.2532,26.169
"XA68_10009",25.7232,29.9176,30.8349,40.9927,30.4853,21.8711,37.3341,32.0995,32.9926,32.5147,35.4278,40.2483
"XA68_10010",13.05,11.3531,9.81749,18.1075,10.3573,3.35613,9.19594,11.0157,10.4109,12.7089,12.278,8.86987
"XA68_10011",286.407,193.745,295.713,223.649,300.941,251.643,240.832,284.331,374.518,256.422,308.383,245.775
"XA68_10012",8.28234,10.8899,7.39749,9.02064,6.26206,6.15681,9.09071,8.90377,8.47299,10.6645,7.72986,12.1085
"XA68_10013",26.6909,19.4544,20.3514,19.6407,21.7969,24.2457,22.8827,22.2896,16.7452,21.715,25.4649,20.0873
"XA68_10014",0.175574,0,0,0,0,0,0,0,0,0,0.157797,0.0569936
"XA68_10015",11.0445,4.93877,6.71485,1.83938,5.36909,4.41099,1.9265,3.40631,20.851,3.00178,3.62264,11.2936
"XA68_10016",0.452269,0.595643,0.400436,0,0.604161,0.179083,3.77759,0.496557,0.545834,0.297344,0.593666,0.220169
"XA68_10017",0.163861,0,0,0,0,0,0,0.282116,0,0.0809582,0,0
"XA68_10018",0.366263,0,0.193126,0,0,0.0745135,0.0566942,0.0638246,0.0614314,0,0.0913247,0
