gene_name,ZT04ld,ZT08ld,ZT12ld,ZT16ld,ZT20ld,ZT24ld,ZT28ld,ZT32ld,ZT36ld,ZT40ld,ZT44ld,ZT48ld
XA68_10000,0.855025869,-1.378060374,0.194113101,-1.939586974,0.716005908,1.284898379,-0.846535565,-0.244815735,0.515202404,-0.564435029,0.869170003,0.539018012
XA68_10001,2.304983026,-0.958611184,0.104368431,0.131255597,0.607122,0.741639654,0.058113886,-1.237381499,-0.854940864,-0.955368209,0.59575674,-0.536937577
XA68_10002,1.219416004,-0.377903401,-0.443045067,2.089111902,0.18005452,0.932372885,-1.462290931,-0.80158419,0.373859133,-0.53858573,-0.659949206,-0.511455919
XA68_10003,2.312706256,-0.290192915,-0.225799753,-0.332520227,0.328462309,1.593705064,-0.407617151,-0.734613749,-0.488588179,-0.942282272,0.138677789,-0.951937172
XA68_10005,-0.425479951,-0.425479951,-0.425479951,-0.425479951,-0.425479951,1.864712979,-0.425479951,-0.425479951,-0.425479951,-0.425479951,-0.425479951,2.39008653
XA68_10007,0.453468298,1.073251728,-2.32478424,0.14913447,1.296165469,-0.125677052,-1.28285591,-0.003389711,-0.537588228,0.547539063,0.392376907,0.362359206
XA68_10008,0.492767038,0.827453497,0.150143167,-1.254909091,-0.363834644,0.246212507,-1.796821826,-0.973630513,0.029227361,-0.180010951,1.61976247,1.203640985
XA68_10009,-1.239173684,-0.394574784,-0.225198092,1.379105179,-0.289168027,-2.140918783,0.851028008,0.000472833,0.154712722,0.072689676,0.555534861,1.275490091
XA68_10010,0.617879597,0.248804747,-0.131818225,1.499477713,0.007812604,-2.739923462,-0.301494033,0.169398844,0.02131314,0.547407787,0.455833298,-0.394692009
XA68_10011,0.381554646,-1.88939925,0.56748655,-1.055908288,0.669398927,-0.370679279,-0.62585946,0.339255709,1.941822276,-0.261338941,0.811466798,-0.507799688
XA68_10012,-0.179390796,1.155388267,-0.719505584,0.233230756,-1.502710466,-1.581420497,0.27079928,0.169981701,-0.069778684,1.052200881,-0.510230436,1.681435579
