"","gene","gene_ID_robin","cluster"
"1","BBA_00010","Beaba1|10",1
"2","BBA_00120","Beaba1|120",2
"3","BBA_00142","Beaba1|142",2
"4","BBA_00150","Beaba1|150",3
"5","BBA_00206","Beaba1|206",4
"6","BBA_00215","Beaba1|215",4
"7","BBA_00240","Beaba1|240",2
"8","BBA_00283","Beaba1|283",4
"9","BBA_00331","Beaba1|331",4
"10","BBA_00376","Beaba1|376",2
"11","BBA_00436","Beaba1|436",4
"12","BBA_00466","Beaba1|466",3
"13","BBA_00475","Beaba1|475",4
"14","BBA_00502","Beaba1|502",2
"15","BBA_00521","Beaba1|521",1
"16","BBA_00530","Beaba1|530",2
"17","BBA_00569","Beaba1|569",1
"18","BBA_00578","Beaba1|578",3
"19","BBA_00628","Beaba1|628",4
"20","BBA_00750","Beaba1|750",4
"21","BBA_00752","Beaba1|752",1
"22","BBA_00773","Beaba1|773",2
"23","BBA_00816","Beaba1|816",4
"24","BBA_00836","Beaba1|836",4
"25","BBA_00843","Beaba1|843",1
"26","BBA_00881","Beaba1|881",2
"27","BBA_00912","Beaba1|912",2
"28","BBA_00943","Beaba1|943",2
"29","BBA_00956","Beaba1|956",2
"30","BBA_00984","Beaba1|984",1
"31","BBA_00988","Beaba1|988",4
"32","BBA_01014","Beaba1|1014",1
"33","BBA_01055","Beaba1|1055",2
"34","BBA_01090","Beaba1|1090",4
"35","BBA_01138","Beaba1|1138",2
"36","BBA_01159","Beaba1|1159",4
"37","BBA_01182","Beaba1|1182",1
"38","BBA_01215","Beaba1|1215",4
"39","BBA_01300","Beaba1|1300",1
"40","BBA_01304","Beaba1|1304",1
"41","BBA_01312","Beaba1|1312",2
"42","BBA_01329","Beaba1|1329",4
"43","BBA_01374","Beaba1|1374",4
"44","BBA_01423","Beaba1|1423",1
"45","BBA_01501","Beaba1|1501",2
"46","BBA_01510","Beaba1|1510",3
"47","BBA_01513","Beaba1|1513",4
"48","BBA_01519","Beaba1|1519",3
"49","BBA_01566","Beaba1|1566",4
"50","BBA_01714","Beaba1|1714",2
"51","BBA_01730","Beaba1|1730",4
"52","BBA_01796","Beaba1|1796",4
"53","BBA_01832","Beaba1|1832",4
"54","BBA_01844","Beaba1|1844",1
"55","BBA_01857","Beaba1|1857",3
"56","BBA_01867","Beaba1|1867",2
"57","BBA_01886","Beaba1|1886",2
"58","BBA_01892","Beaba1|1892",2
"59","BBA_01896","Beaba1|1896",3
"60","BBA_01951","Beaba1|1951",4
"61","BBA_01957","Beaba1|1957",4
"62","BBA_01985","Beaba1|1985",4
"63","BBA_02006","Beaba1|2006",4
"64","BBA_02032","Beaba1|2032",4
"65","BBA_02094","Beaba1|2094",4
"66","BBA_02120","Beaba1|2120",4
"67","BBA_02142","Beaba1|2142",4
"68","BBA_02155","Beaba1|2155",3
"69","BBA_02162","Beaba1|2162",1
"70","BBA_02183","Beaba1|2183",1
"71","BBA_02213","Beaba1|2213",4
"72","BBA_02321","Beaba1|2321",2
"73","BBA_02390","Beaba1|2390",4
"74","BBA_02396","Beaba1|2396",1
"75","BBA_02426","Beaba1|2426",4
"76","BBA_02446","Beaba1|2446",1
"77","BBA_02448","Beaba1|2448",1
"78","BBA_02473","Beaba1|2473",4
"79","BBA_02478","Beaba1|2478",2
"80","BBA_02480","Beaba1|2480",3
"81","BBA_02526","Beaba1|2526",4
"82","BBA_02628","Beaba1|2628",1
"83","BBA_02658","Beaba1|2658",3
"84","BBA_02664","Beaba1|2664",1
"85","BBA_02687","Beaba1|2687",4
"86","BBA_02705","Beaba1|2705",4
"87","BBA_02724","Beaba1|2724",4
"88","BBA_02739","Beaba1|2739",2
"89","BBA_02759","Beaba1|2759",1
"90","BBA_02761","Beaba1|2761",1
"91","BBA_02770","Beaba1|2770",4
"92","BBA_02787","Beaba1|2787",1
"93","BBA_02841","Beaba1|2841",4
"94","BBA_02920","Beaba1|2920",4
"95","BBA_02926","Beaba1|2926",2
"96","BBA_02960","Beaba1|2960",4
"97","BBA_02963","Beaba1|2963",2
"98","BBA_02974","Beaba1|2974",3
"99","BBA_02977","Beaba1|2977",2
"100","BBA_02983","Beaba1|2983",2
"101","BBA_02995","Beaba1|2995",3
"102","BBA_02996","Beaba1|2996",4
"103","BBA_03000","Beaba1|3000",4
"104","BBA_03012","Beaba1|3012",4
"105","BBA_03035","Beaba1|3035",1
"106","BBA_03042","Beaba1|3042",2
"107","BBA_03094","Beaba1|3094",2
"108","BBA_03115","Beaba1|3115",4
"109","BBA_03126","Beaba1|3126",4
"110","BBA_03144","Beaba1|3144",1
"111","BBA_03170","Beaba1|3170",2
"112","BBA_03175","Beaba1|3175",2
"113","BBA_03183","Beaba1|3183",1
