"","gene","gene_ID_robin","cluster"
"1","GQ602_000004","Ophcf2|00004",1
"2","GQ602_000071","Ophcf2|00071",2
"3","GQ602_000185","Ophcf2|00185",1
"4","GQ602_000195","Ophcf2|00195",1
"5","GQ602_000199","Ophcf2|00199",1
"6","GQ602_000219","Ophcf2|00219",1
"7","GQ602_000231","Ophcf2|00231",1
"8","GQ602_000240","Ophcf2|00240",1
"9","GQ602_000259","Ophcf2|00259",3
"10","GQ602_000265","Ophcf2|00265",1
"11","GQ602_000273","Ophcf2|00273",1
"12","GQ602_000313","Ophcf2|00313",2
"13","GQ602_000316","Ophcf2|00316",1
"14","GQ602_000321","Ophcf2|00321",1
"15","GQ602_000358","Ophcf2|00358",4
"16","GQ602_000491","Ophcf2|00491",1
"17","GQ602_000516","Ophcf2|00516",4
"18","GQ602_000564","Ophcf2|00564",4
"19","GQ602_000566","Ophcf2|00566",1
"20","GQ602_000620","Ophcf2|00620",4
"21","GQ602_000647","Ophcf2|00647",1
"22","GQ602_000670","Ophcf2|00670",1
"23","GQ602_000751","Ophcf2|00751",1
"24","GQ602_000840","Ophcf2|00840",1
"25","GQ602_000871","Ophcf2|00871",2
"26","GQ602_000973","Ophcf2|00973",4
"27","GQ602_000991","Ophcf2|00991",1
"28","GQ602_001036","Ophcf2|01036",2
"29","GQ602_001039","Ophcf2|01039",2
"30","GQ602_001195","Ophcf2|01195",2
"31","GQ602_001249","Ophcf2|01249",1
"32","GQ602_001272","Ophcf2|01272",3
"33","GQ602_001288","Ophcf2|01288",2
"34","GQ602_001293","Ophcf2|01293",1
"35","GQ602_001308","Ophcf2|01308",4
"36","GQ602_001340","Ophcf2|01340",2
"37","GQ602_001361","Ophcf2|01361",4
"38","GQ602_001386","Ophcf2|01386",1
"39","GQ602_001414","Ophcf2|01414",1
"40","GQ602_001417","Ophcf2|01417",3
"41","GQ602_001426","Ophcf2|01426",4
"42","GQ602_001428","Ophcf2|01428",4
"43","GQ602_001438","Ophcf2|01438",1
"44","GQ602_001470","Ophcf2|01470",2
"45","GQ602_001503","Ophcf2|01503",1
"46","GQ602_001546","Ophcf2|01546",4
"47","GQ602_001602","Ophcf2|01602",2
"48","GQ602_001646","Ophcf2|01646",1
"49","GQ602_001747","Ophcf2|01747",4
"50","GQ602_001760","Ophcf2|01760",1
"51","GQ602_001793","Ophcf2|01793",2
"52","GQ602_001875","Ophcf2|01875",2
"53","GQ602_001953","Ophcf2|01953",1
"54","GQ602_002006","Ophcf2|02006",3
"55","GQ602_002052","Ophcf2|02052",1
"56","GQ602_002059","Ophcf2|02059",1
"57","GQ602_002092","Ophcf2|02092",1
"58","GQ602_002141","Ophcf2|02141",1
"59","GQ602_002156","Ophcf2|02156",1
"60","GQ602_002189","Ophcf2|02189",1
"61","GQ602_002279","Ophcf2|02279",1
"62","GQ602_002353","Ophcf2|02353",1
"63","GQ602_002394","Ophcf2|02394",2
"64","GQ602_002452","Ophcf2|02452",4
"65","GQ602_002468","Ophcf2|02468",1
"66","GQ602_002477","Ophcf2|02477",3
"67","GQ602_002479","Ophcf2|02479",1
"68","GQ602_002515","Ophcf2|02515",2
"69","GQ602_002595","Ophcf2|02595",4
"70","GQ602_002602","Ophcf2|02602",2
"71","GQ602_002645","Ophcf2|02645",1
"72","GQ602_002723","Ophcf2|02723",2
"73","GQ602_002734","Ophcf2|02734",2
"74","GQ602_002755","Ophcf2|02755",1
"75","GQ602_002838","Ophcf2|02838",1
"76","GQ602_002933","Ophcf2|02933",1
"77","GQ602_002982","Ophcf2|02982",1
"78","GQ602_003037","Ophcf2|03037",1
"79","GQ602_003053","Ophcf2|03053",3
"80","GQ602_003061","Ophcf2|03061",3
"81","GQ602_003062","Ophcf2|03062",1
"82","GQ602_003084","Ophcf2|03084",4
"83","GQ602_003087","Ophcf2|03087",1
"84","GQ602_003090","Ophcf2|03090",1
"85","GQ602_003095","Ophcf2|03095",1
"86","GQ602_003136","Ophcf2|03136",1
"87","GQ602_003183","Ophcf2|03183",1
"88","GQ602_003206","Ophcf2|03206",1
"89","GQ602_003220","Ophcf2|03220",3
"90","GQ602_003231","Ophcf2|03231",2
"91","GQ602_003273","Ophcf2|03273",2
"92","GQ602_003282","Ophcf2|03282",3
"93","GQ602_003322","Ophcf2|03322",1
"94","GQ602_003416","Ophcf2|03416",4
"95","GQ602_003433","Ophcf2|03433",4
"96","GQ602_003460","Ophcf2|03460",4
"97","GQ602_003502","Ophcf2|03502",1
"98","GQ602_003510","Ophcf2|03510",4
"99","GQ602_003528","Ophcf2|03528",1
"100","GQ602_003535","Ophcf2|03535",1
"101","GQ602_003578","Ophcf2|03578",2
"102","GQ602_003629","Ophcf2|03629",3
"103","GQ602_003640","Ophcf2|03640",1
"104","GQ602_003650","Ophcf2|03650",4
"105","GQ602_003661","Ophcf2|03661",4
"106","GQ602_003694","Ophcf2|03694",1
"107","GQ602_003703","Ophcf2|03703",1
"108","GQ602_003717","Ophcf2|03717",1
"109","GQ602_003734","Ophcf2|03734",2
"110","GQ602_003777","Ophcf2|03777",2
"111","GQ602_003817","Ophcf2|03817",3
"112","GQ602_003831","Ophcf2|03831",1
"113","GQ602_003844","Ophcf2|03844",1
"114","GQ602_003901","Ophcf2|03901",2
"115","GQ602_003921","Ophcf2|03921",1
"116","GQ602_003942","Ophcf2|03942",1
"117","GQ602_003943","Ophcf2|03943",1
"118","GQ602_003980","Ophcf2|03980",2
"119","GQ602_003986","Ophcf2|03986",4
"120","GQ602_003997","Ophcf2|03997",4
"121","GQ602_004004","Ophcf2|04004",1
"122","GQ602_004010","Ophcf2|04010",1
"123","GQ602_004024","Ophcf2|04024",3
"124","GQ602_004029","Ophcf2|04029",1
"125","GQ602_004076","Ophcf2|04076",3
"126","GQ602_004128","Ophcf2|04128",3
"127","GQ602_004163","Ophcf2|04163",2
"128","GQ602_004165","Ophcf2|04165",1
"129","GQ602_004190","Ophcf2|04190",1
"130","GQ602_004256","Ophcf2|04256",2
"131","GQ602_004259","Ophcf2|04259",1
"132","GQ602_004264","Ophcf2|04264",2
"133","GQ602_004302","Ophcf2|04302",3
"134","GQ602_004314","Ophcf2|04314",4
"135","GQ602_004325","Ophcf2|04325",1
"136","GQ602_004326","Ophcf2|04326",1
"137","GQ602_004351","Ophcf2|04351",4
"138","GQ602_004388","Ophcf2|04388",1
"139","GQ602_004397","Ophcf2|04397",3
"140","GQ602_004406","Ophcf2|04406",1
"141","GQ602_004420","Ophcf2|04420",1
"142","GQ602_004475","Ophcf2|04475",3
"143","GQ602_004490","Ophcf2|04490",4
"144","GQ602_004499","Ophcf2|04499",1
"145","GQ602_004502","Ophcf2|04502",1
"146","GQ602_004546","Ophcf2|04546",2
"147","GQ602_004609","Ophcf2|04609",1
"148","GQ602_004636","Ophcf2|04636",1
"149","GQ602_004649","Ophcf2|04649",4
"150","GQ602_004658","Ophcf2|04658",2
"151","GQ602_004668","Ophcf2|04668",2
"152","GQ602_004672","Ophcf2|04672",2
"153","GQ602_004729","Ophcf2|04729",1
"154","GQ602_004733","Ophcf2|04733",1
"155","GQ602_004794","Ophcf2|04794",3
"156","GQ602_004848","Ophcf2|04848",1
"157","GQ602_004863","Ophcf2|04863",3
"158","GQ602_004875","Ophcf2|04875",1
"159","GQ602_004955","Ophcf2|04955",1
"160","GQ602_004961","Ophcf2|04961",2
"161","GQ602_004989","Ophcf2|04989",1
"162","GQ602_005007","Ophcf2|05007",2
"163","GQ602_005008","Ophcf2|05008",1
"164","GQ602_005054","Ophcf2|05054",1
"165","GQ602_005069","Ophcf2|05069",2
"166","GQ602_005103","Ophcf2|05103",1
"167","GQ602_005143","Ophcf2|05143",1
"168","GQ602_005232","Ophcf2|05232",2
"169","GQ602_005248","Ophcf2|05248",2
"170","GQ602_005310","Ophcf2|05310",2
"171","GQ602_005355","Ophcf2|05355",1
"172","GQ602_005390","Ophcf2|05390",2
"173","GQ602_005414","Ophcf2|05414",1
"174","GQ602_005445","Ophcf2|05445",2
"175","GQ602_005486","Ophcf2|05486",2
"176","GQ602_005503","Ophcf2|05503",1
"177","GQ602_005566","Ophcf2|05566",2
"178","GQ602_005570","Ophcf2|05570",1
"179","GQ602_005580","Ophcf2|05580",1
"180","GQ602_005603","Ophcf2|05603",4
"181","GQ602_005628","Ophcf2|05628",2
"182","GQ602_005632","Ophcf2|05632",2
"183","GQ602_005643","Ophcf2|05643",3
