,ophio_cflo_ID,ophio_kim_ID,rhythmic_24h_ophio_cflo,rhythmic_24h_ophio_kim
1,Ophcf2|00001,Ophio5|2574,yes,NA
2,Ophcf2|00002,Ophio5|4438,no,no
3,Ophcf2|00003,Ophio5|4439,no,yes
4,Ophcf2|00004,Ophio5|4440,no,no
5,Ophcf2|00005,Ophio5|4441,no,no
6,Ophcf2|00006,Ophio5|4442,no,no
7,Ophcf2|00007,Ophio5|4443,no,yes
8,Ophcf2|00008,Ophio5|4444,yes,no
9,Ophcf2|00009,Ophio5|6920,no,yes
10,Ophcf2|00010,Ophio5|6921,no,no
11,Ophcf2|00011,Ophio5|5995,no,yes
12,Ophcf2|00012,Ophio5|5996,no,yes
13,Ophcf2|00013,Ophio5|5997,no,no
14,Ophcf2|00014,Ophio5|5998,yes,yes
15,Ophcf2|00015,Ophio5|4092,no,yes
16,Ophcf2|00016,Ophio5|4091,yes,no
17,Ophcf2|00018,Ophio5|4090,no,no
18,Ophcf2|00020,Ophio5|4078,NA,no
19,Ophcf2|00021,Ophio5|4079,no,yes
20,Ophcf2|00022,Ophio5|4080,no,no
21,Ophcf2|00023,Ophio5|4081,no,no
22,Ophcf2|00027,Ophio5|4084,no,no
23,Ophcf2|00028,Ophio5|4087,no,no
24,Ophcf2|00029,Ophio5|4088,no,no
25,Ophcf2|00030,Ophio5|2573,no,NA
26,Ophcf2|00031,Ophio5|2572,no,NA
27,Ophcf2|00032,Ophio5|2571,yes,NA
28,Ophcf2|00033,Ophio5|2570,no,NA
29,Ophcf2|00034,Ophio5|2566,no,NA
30,Ophcf2|00035,Ophio5|2565,no,NA
31,Ophcf2|00036,Ophio5|2564,no,NA
32,Ophcf2|00037,Ophio5|2563,no,NA
33,Ophcf2|00038,Ophio5|2562,no,NA
34,Ophcf2|00040,Ophio5|2561,no,NA
35,Ophcf2|00041,Ophio5|2560,no,NA
36,Ophcf2|00042,Ophio5|2559,yes,NA
37,Ophcf2|00043,Ophio5|2558,yes,NA
38,Ophcf2|00044,Ophio5|2556,yes,NA
39,Ophcf2|00045,Ophio5|2555,no,NA
40,Ophcf2|00046,Ophio5|2554,no,NA
41,Ophcf2|00047,Ophio5|2553,yes,NA
42,Ophcf2|00048,Ophio5|2552,no,NA
43,Ophcf2|00049,Ophio5|2551,yes,NA
44,Ophcf2|00050,Ophio5|2550,no,NA
45,Ophcf2|00051,Ophio5|2549,yes,NA
46,Ophcf2|00052,Ophio5|2548,yes,NA
47,Ophcf2|00053,Ophio5|2547,yes,NA
48,Ophcf2|00054,Ophio5|2546,no,NA
49,Ophcf2|00055,Ophio5|2545,no,NA
50,Ophcf2|00056,Ophio5|2544,yes,NA
51,Ophcf2|00057,Ophio5|2543,yes,NA
52,Ophcf2|00058,Ophio5|2542,no,NA
53,Ophcf2|00060,Ophio5|2540,yes,NA
54,Ophcf2|00061,Ophio5|4076,no,no
55,Ophcf2|00062,Ophio5|4075,yes,no
56,Ophcf2|00063,Ophio5|4074,yes,no
57,Ophcf2|00064,Ophio5|3194,no,no
58,Ophcf2|00069,Ophio5|3192,no,no
59,Ophcf2|00070,Ophio5|3191,yes,no
60,Ophcf2|00071,Ophio5|3190,no,no
61,Ophcf2|00072,Ophio5|3189,no,no
62,Ophcf2|00073,Ophio5|3188,no,no
63,Ophcf2|00074,Ophio5|3187,no,yes
64,Ophcf2|00075,Ophio5|8324,yes,no
65,Ophcf2|00076,Ophio5|681,yes,no
66,Ophcf2|00077,Ophio5|8344,yes,no
67,Ophcf2|00078,Ophio5|944,no,NA
68,Ophcf2|00079,Ophio5|4686,yes,no
69,Ophcf2|00080,Ophio5|8463,yes,no
70,Ophcf2|00081,Ophio5|7807,no,no
71,Ophcf2|00082,Ophio5|266,no,no
72,Ophcf2|00083,Ophio5|267,yes,no
73,Ophcf2|00084,Ophio5|1191,no,no
74,Ophcf2|00085,Ophio5|676,yes,no
75,Ophcf2|00086,Ophio5|675,no,no
76,Ophcf2|00087,Ophio5|4550,no,no
77,Ophcf2|00088,Ophio5|4548,no,no
78,Ophcf2|00089,Ophio5|4547,no,no
79,Ophcf2|00090,Ophio5|7786,yes,yes
80,Ophcf2|00091,Ophio5|588,yes,no
81,Ophcf2|00092,Ophio5|5338,no,yes
82,Ophcf2|00093,Ophio5|1345,no,no
83,Ophcf2|00094,Ophio5|126,no,no
84,Ophcf2|00095,Ophio5|125,no,no
85,Ophcf2|00096,Ophio5|4543,yes,no
86,Ophcf2|00097,Ophio5|4544,no,no
87,Ophcf2|00098,Ophio5|4545,yes,no
88,Ophcf2|00099,Ophio5|4549,no,no
89,Ophcf2|00100,Ophio5|4546,no,no
90,Ophcf2|00101,Ophio5|397,no,no
91,Ophcf2|00102,Ophio5|398,no,no
92,Ophcf2|00104,Ophio5|7489,no,no
93,Ophcf2|00107,Ophio5|868,no,no
94,Ophcf2|00108,Ophio5|3835,no,no
95,Ophcf2|00109,Ophio5|3834,yes,no
96,Ophcf2|00110,Ophio5|3833,no,no
97,Ophcf2|00111,Ophio5|3832,no,no
98,Ophcf2|00112,Ophio5|3831,yes,no
99,Ophcf2|00113,Ophio5|3829,no,no
100,Ophcf2|00114,Ophio5|3828,no,no
101,Ophcf2|00115,Ophio5|3827,yes,no
102,Ophcf2|00116,Ophio5|3826,yes,no
103,Ophcf2|00117,Ophio5|3825,no,no
104,Ophcf2|00118,Ophio5|3824,no,yes
105,Ophcf2|00119,Ophio5|3823,no,no
106,Ophcf2|00120,Ophio5|3822,no,yes
107,Ophcf2|00121,Ophio5|3821,yes,no
108,Ophcf2|00124,Ophio5|3818,yes,no
109,Ophcf2|00125,Ophio5|3817,yes,no
110,Ophcf2|00126,Ophio5|3816,no,no
111,Ophcf2|00127,Ophio5|3815,yes,yes
112,Ophcf2|00128,Ophio5|3812,no,no
113,Ophcf2|00129,Ophio5|3811,yes,no
114,Ophcf2|00130,Ophio5|3809,no,no
115,Ophcf2|00131,Ophio5|3808,yes,no
116,Ophcf2|00132,Ophio5|3807,no,yes
117,Ophcf2|00133,Ophio5|3805,no,no
118,Ophcf2|00134,Ophio5|3804,yes,yes
119,Ophcf2|00135,Ophio5|3803,no,yes
120,Ophcf2|00136,Ophio5|3802,no,no
121,Ophcf2|00137,Ophio5|3800,yes,no
122,Ophcf2|00138,Ophio5|3799,no,no
123,Ophcf2|00139,Ophio5|3798,no,no
124,Ophcf2|00140,Ophio5|3797,no,no
125,Ophcf2|00141,Ophio5|3796,no,no
126,Ophcf2|00142,Ophio5|3795,no,no
127,Ophcf2|00143,Ophio5|3794,no,no
128,Ophcf2|00144,Ophio5|3793,yes,no
129,Ophcf2|00145,Ophio5|3791,no,no
130,Ophcf2|00146,Ophio5|3790,yes,no
131,Ophcf2|00147,Ophio5|6774,yes,no
132,Ophcf2|00148,Ophio5|6772,no,no
133,Ophcf2|00149,Ophio5|6771,no,no
134,Ophcf2|00151,Ophio5|627,no,no
135,Ophcf2|00152,Ophio5|628,no,no
136,Ophcf2|00154,Ophio5|630,yes,yes
137,Ophcf2|00155,Ophio5|631,no,yes
138,Ophcf2|00156,Ophio5|633,no,no
139,Ophcf2|00157,Ophio5|634,no,no
140,Ophcf2|00158,Ophio5|636,no,no
141,Ophcf2|00161,Ophio5|640,no,no
142,Ophcf2|00162,Ophio5|641,yes,no
143,Ophcf2|00163,Ophio5|642,no,no
144,Ophcf2|00165,Ophio5|644,no,yes
145,Ophcf2|00166,Ophio5|2022,no,yes
146,Ophcf2|00167,Ophio5|2023,no,no
147,Ophcf2|00168,Ophio5|2024,no,yes
148,Ophcf2|00169,Ophio5|2025,no,no
149,Ophcf2|00171,Ophio5|2027,yes,no
150,Ophcf2|00172,Ophio5|2028,yes,yes
151,Ophcf2|00173,Ophio5|2029,no,yes
152,Ophcf2|00174,Ophio5|2030,no,no
153,Ophcf2|00176,Ophio5|2032,no,yes
154,Ophcf2|00177,Ophio5|2033,no,no
155,Ophcf2|00178,Ophio5|2035,no,no
156,Ophcf2|00179,Ophio5|2036,yes,no
157,Ophcf2|00180,Ophio5|8173,no,no
158,Ophcf2|00181,Ophio5|8175,no,no
159,Ophcf2|00182,Ophio5|8176,no,no
160,Ophcf2|00183,Ophio5|1793,yes,no
161,Ophcf2|00184,Ophio5|7243,yes,no
162,Ophcf2|00185,Ophio5|7242,no,no
163,Ophcf2|00187,Ophio5|356,no,no
164,Ophcf2|00188,Ophio5|4394,no,no
165,Ophcf2|00189,Ophio5|4393,no,no
166,Ophcf2|00190,Ophio5|4392,no,no
167,Ophcf2|00191,Ophio5|4391,no,no
168,Ophcf2|00192,Ophio5|4390,no,no
169,Ophcf2|00193,Ophio5|4389,no,no
170,Ophcf2|00194,Ophio5|5172,no,no
171,Ophcf2|00195,Ophio5|6547,no,no
172,Ophcf2|00196,Ophio5|6548,no,no
173,Ophcf2|00197,Ophio5|6549,yes,no
174,Ophcf2|00198,Ophio5|6550,yes,no
175,Ophcf2|00199,Ophio5|6551,no,no
176,Ophcf2|00201,Ophio5|6554,yes,no
177,Ophcf2|00202,Ophio5|6555,no,no
178,Ophcf2|00203,Ophio5|6556,no,yes
179,Ophcf2|00204,Ophio5|6557,no,yes
180,Ophcf2|00205,Ophio5|6558,no,no
181,Ophcf2|00206,Ophio5|4323,no,no
182,Ophcf2|00207,Ophio5|4322,no,no
183,Ophcf2|00208,Ophio5|4321,yes,yes
184,Ophcf2|00209,Ophio5|4319,no,yes
185,Ophcf2|00210,Ophio5|4318,yes,yes
186,Ophcf2|00211,Ophio5|4317,no,no
187,Ophcf2|00212,Ophio5|4316,yes,no
188,Ophcf2|00213,Ophio5|4315,no,no
189,Ophcf2|00214,Ophio5|4314,no,yes
190,Ophcf2|00215,Ophio5|4313,yes,no
191,Ophcf2|00216,Ophio5|5891,yes,no
192,Ophcf2|00218,Ophio5|5889,no,no
193,Ophcf2|00219,Ophio5|5888,no,no
