"start","end","attributes_robin","attributes_ncbi"
7249,9339,"Ophcf2|00001","GQ602_000001"
9796,12754,"Ophcf2|00002","GQ602_000002"
13447,14168,"Ophcf2|00003","GQ602_000003"
14960,17524,"Ophcf2|00004","GQ602_000004"
19119,20048,"Ophcf2|00005","GQ602_000005"
20604,23396,"Ophcf2|00006","GQ602_000006"
24490,25518,"Ophcf2|00007","GQ602_000007"
26915,28263,"Ophcf2|00008","GQ602_000008"
31512,33649,"Ophcf2|00009","GQ602_000009"
33735,35358,"Ophcf2|00010","GQ602_000010"
35683,37482,"Ophcf2|00011","GQ602_000011"
38318,40364,"Ophcf2|00012","GQ602_000012"
42053,43468,"Ophcf2|00013","GQ602_000013"
43934,46756,"Ophcf2|00014","GQ602_000014"
48341,50432,"Ophcf2|00015","GQ602_000015"
51469,53345,"Ophcf2|00016","GQ602_000016"
55941,56279,"Ophcf2|00017","GQ602_000017"
57241,58908,"Ophcf2|00018","GQ602_000018"
59451,60518,"Ophcf2|00019","GQ602_000019"
60779,62020,"Ophcf2|00020","GQ602_000020"
63557,66910,"Ophcf2|00021","GQ602_000021"
67369,69027,"Ophcf2|00022","GQ602_000022"
69091,70159,"Ophcf2|00023","GQ602_000023"
70478,70771,"Ophcf2|00024","GQ602_000024"
70834,71406,"Ophcf2|00025","GQ602_000025"
71971,80132,"Ophcf2|00026","GQ602_000026"
80517,83160,"Ophcf2|00027","GQ602_000027"
84061,86419,"Ophcf2|00028","GQ602_000028"
86571,88115,"Ophcf2|00029","GQ602_000029"
88619,89594,"Ophcf2|00030","GQ602_000030"
90569,91849,"Ophcf2|00031","GQ602_000031"
92538,94237,"Ophcf2|00032","GQ602_000032"
95067,95609,"Ophcf2|00033","GQ602_000033"
96423,97593,"Ophcf2|00034","GQ602_000034"
98345,99853,"Ophcf2|00035","GQ602_000035"
100046,101776,"Ophcf2|00036","GQ602_000036"
104150,104995,"Ophcf2|00037","GQ602_000037"
105259,106245,"Ophcf2|00038","GQ602_000038"
106965,107431,"Ophcf2|00039","GQ602_000039"
107995,109365,"Ophcf2|00040","GQ602_000040"
109550,111126,"Ophcf2|00041","GQ602_000041"
111923,113282,"Ophcf2|00042","GQ602_000042"
113944,115483,"Ophcf2|00043","GQ602_000043"
115999,119769,"Ophcf2|00044","GQ602_000044"
120571,122258,"Ophcf2|00045","GQ602_000045"
122816,123287,"Ophcf2|00046","GQ602_000046"
123743,124311,"Ophcf2|00047","GQ602_000047"
125546,126215,"Ophcf2|00048","GQ602_000048"
126556,127785,"Ophcf2|00049","GQ602_000049"
128116,129623,"Ophcf2|00050","GQ602_000050"
130354,131745,"Ophcf2|00051","GQ602_000051"
132266,133204,"Ophcf2|00052","GQ602_000052"
134190,136466,"Ophcf2|00053","GQ602_000053"
138151,141804,"Ophcf2|00054","GQ602_000054"
142179,144116,"Ophcf2|00055","GQ602_000055"
145256,146862,"Ophcf2|00056","GQ602_000056"
147994,149068,"Ophcf2|00057","GQ602_000057"
149386,150298,"Ophcf2|00058","GQ602_000058"
150696,152482,"Ophcf2|00059","GQ602_000059"
152519,153163,"Ophcf2|00060","GQ602_000060"
154191,159177,"Ophcf2|00061","GQ602_000061"
159448,163156,"Ophcf2|00062","GQ602_000062"
165407,166626,"Ophcf2|00063","GQ602_000063"
167654,169924,"Ophcf2|00064","GQ602_000064"
170598,172284,"Ophcf2|00065","GQ602_000065"
172376,173246,"Ophcf2|00066","GQ602_000066"
173550,174113,"Ophcf2|00067","GQ602_000067"
174346,176160,"Ophcf2|00068","GQ602_000068"
176738,177262,"Ophcf2|00069","GQ602_000069"
177767,179701,"Ophcf2|00070","GQ602_000070"
181019,182999,"Ophcf2|00071","GQ602_000071"
184051,187384,"Ophcf2|00072","GQ602_000072"
188039,188369,"Ophcf2|00073","GQ602_000073"
188526,190412,"Ophcf2|00074","GQ602_000074"
191114,197785,"Ophcf2|00075","GQ602_000075"
199328,200955,"Ophcf2|00076","GQ602_000076"
201392,202347,"Ophcf2|00077","GQ602_000077"
202637,204427,"Ophcf2|00078","GQ602_000078"
233109,234249,"Ophcf2|00079","GQ602_000079"
275467,277287,"Ophcf2|00080","GQ602_000080"
277793,279463,"Ophcf2|00081","GQ602_000081"
349830,351712,"Ophcf2|00082","GQ602_000082"
351926,353071,"Ophcf2|00083","GQ602_000083"
401223,402797,"Ophcf2|00084","GQ602_000084"
434783,435289,"Ophcf2|00085","GQ602_000085"
435510,436043,"Ophcf2|00086","GQ602_000086"
533533,536994,"Ophcf2|00087","GQ602_000087"
590463,592917,"Ophcf2|00088","GQ602_000088"
593178,594964,"Ophcf2|00089","GQ602_000089"
674310,679331,"Ophcf2|00090","GQ602_000090"
690209,692803,"Ophcf2|00091","GQ602_000091"
715388,717010,"Ophcf2|00092","GQ602_000092"
