ophcf2_protein,beau_protein,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
KAF4580299.1,XP_008595855.1,1.77E-71,231,9.84E-93,285
KAF4580300.1,XP_008595854.1,2.62E-146,413,1.73E-144,408
KAF4580349.1,XP_008598074.1,4.97E-101,290,3.41E-101,290
KAF4580351.1,XP_008595778.1,2.83E-71,213,2.02E-71,213
KAF4580358.1,XP_008598037.1,4.69E-40,125,3.24E-40,125
KAF4580359.1,XP_008598036.1,1.11E-103,305,1.56E-105,310
KAF4580361.1,XP_008598034.1,3.39E-157,442,2.80E-153,432
KAF4580362.1,XP_008598033.1,1.00E-121,378,1.17E-123,382
KAF4580365.1,XP_008598077.1,5.88E-157,439,1.87E-148,417
KAF4580366.1,XP_008598076.1,0,994,0,986
KAF4580368.1,XP_008593502.1,4.60E-178,508,6.42E-163,470
KAF4580369.1,XP_008597984.1,0,653,0,664
KAF4580370.1,XP_008597985.1,2.79E-118,331,1.96E-118,331
KAF4580371.1,XP_008597986.1,0,1588,0,1611
KAF4580373.1,XP_008597990.1,3.99E-151,419,2.82E-151,419
KAF4580374.1,XP_008598000.1,1.62E-84,253,1.19E-84,253
KAF4580376.1,XP_008598006.1,0,712,0,726
KAF4580377.1,XP_008598013.1,9.28E-90,269,1.78E-101,298
KAF4580799.1,XP_008602465.1,0,778,0,778
KAF4580800.1,XP_008602466.1,1.21E-179,542,0,570
KAF4580801.1,XP_008602468.1,0,1082,0,1087
KAF4580802.1,XP_008602470.1,0,3914,0,3929
KAF4580803.1,XP_008602471.1,2.51E-35,117,2.50E-36,120
KAF4580804.1,XP_008602472.1,0,810,0,810
KAF4580805.1,XP_008602473.1,0,1054,0,1063
KAF4580806.1,XP_008602475.1,2.09E-106,305,5.18E-107,306
KAF4580807.1,XP_008602476.1,3.74E-30,105,2.66E-30,105
KAF4580808.1,XP_008602479.1,0,618,0,598
KAF4580810.1,XP_008602724.1,2.32E-131,372,1.62E-131,372
KAF4580811.1,XP_008602488.1,0,765,0,765
KAF4580813.1,XP_008602455.1,0,542,1.42E-180,520
KAF4580814.1,XP_008602453.1,1.02E-75,220,6.54E-82,236
KAF4580815.1,XP_008602454.1,0,685,0,685
KAF4580816.1,XP_008602482.1,0,567,0,580
KAF4580818.1,XP_008600614.1,3.71E-179,512,3.58E-173,497
KAF4580819.1,XP_008597387.1,0,623,0,593
KAF4580820.1,XP_008601714.1,1.08E-85,258,1.04E-85,258
