"gene_name","GOs","pfams","signalP","TMHMM","sc16a_ccl_up_down","sc16a_ccd_up_down","ccl_ccd_up_down"
"Ophio5|1","GO:0004096|catalase activity;GO:0055114|oxidation-reduction process;GO:0020037|heme binding","PF00199.14|Catalase","",NA,"Down","Down","Down"
"Ophio5|10","","","",NA,"Down","Down","Down"
"Ophio5|100","","PF00929.19|RNase_T","",NA,"Down","Down","Up"
"Ophio5|1000","GO:0006281|DNA repair;GO:0003913|DNA photolyase activity","PF03441.9|FAD_binding_7;PF00875.13|DNA_photolyase","",NA,"Up","Up","Up"
"Ophio5|1001","GO:0006412|translation;GO:0005840|ribosome;GO:0003735|structural constituent of ribosome;GO:0005622|intracellular","PF01249.13|Ribosomal_S21e","",NA,"Up","Up","Up"
"Ophio5|1002","GO:0005634|nucleus;GO:0006281|DNA repair;GO:0006260|DNA replication;GO:0033557|Slx1-Slx4 complex;GO:0017108|5'-flap endonuclease activity","PF09494.5|Slx4","",NA,"Up","Up","Down"
"Ophio5|1003","","","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|1004","","","",NA,"Down","Down","Up"
"Ophio5|1005","","PF10310.4|DUF2413","",NA,"Down","Down","Up"
"Ophio5|1006","","","",NA,"Down","Up","Up"
"Ophio5|1007","GO:0000398|mRNA splicing, via spliceosome;GO:0030623|U5 snRNA binding;GO:0017070|U6 snRNA binding;GO:0003723|RNA binding","PF08083.6|PROCN;PF12134.3|PRP8_domainIV;PF10596.4|U6-snRNA_bdg;PF08082.6|PRO8NT;PF10597.4|U5_2-snRNA_bdg;PF10598.4|RRM_4;PF08084.6|PROCT","",NA,"Up","Down","Down"
"Ophio5|1008","","","",1,"Down","Down","Up"
"Ophio5|1009","","PF06487.7|SAP18","",NA,"Up","Up","Up"
"Ophio5|101","GO:0006508|proteolysis;GO:0004197|cysteine-type endopeptidase activity","PF00656.17|Peptidase_C14","",NA,"Down","Down","Down"
