"start","end","attributes_robin","attributes_ncbi"
3335,3683,"Beaba1|1","BBA_00001"
5664,7104,"Beaba1|2","BBA_00002"
8108,8869,"Beaba1|3","BBA_00003"
12136,13042,"Beaba1|4","BBA_00004"
15330,20029,"Beaba1|5","BBA_00005"
21184,22451,"Beaba1|6","BBA_00006"
23340,25184,"Beaba1|7","BBA_00007"
25244,26096,"Beaba1|8","BBA_00008"
26627,26932,"Beaba1|9","BBA_00009"
30265,32130,"Beaba1|10","BBA_00010"
33013,35806,"Beaba1|11","BBA_00011"
37116,37424,"Beaba1|12","BBA_00012"
38580,39928,"Beaba1|13","BBA_00013"
42774,44348,"Beaba1|14","BBA_00014"
45678,47093,"Beaba1|15","BBA_00015"
47545,49098,"Beaba1|16","BBA_00016"
50976,55391,"Beaba1|17","BBA_00017"
55812,56743,"Beaba1|18","BBA_00018"
57711,58663,"Beaba1|19","BBA_00019"
63451,64529,"Beaba1|20","BBA_00020"
66572,67074,"Beaba1|21","BBA_00021"
67095,68927,"Beaba1|22","BBA_00022"
71296,72546,"Beaba1|23","BBA_00023"
75584,76846,"Beaba1|24","BBA_00024"
77430,78098,"Beaba1|25","BBA_00025"
78801,79499,"Beaba1|26","BBA_00026"
80124,81112,"Beaba1|27","BBA_00027"
81860,83583,"Beaba1|28","BBA_00028"
85654,87786,"Beaba1|29","BBA_00029"
88075,90170,"Beaba1|30","BBA_00030"
92358,93023,"Beaba1|31","BBA_00031"
94827,95943,"Beaba1|32","BBA_00032"
102128,105545,"Beaba1|33","BBA_00033"
106279,108060,"Beaba1|34","BBA_00034"
109584,109859,"Beaba1|35","BBA_00035"
110439,111308,"Beaba1|36","BBA_00036"
113425,114147,"Beaba1|37","BBA_00037"
116897,117700,"Beaba1|38","BBA_00038"
119294,119569,"Beaba1|39","BBA_00039"
121573,122736,"Beaba1|40","BBA_00040"
123417,124953,"Beaba1|41","BBA_00041"
125824,127043,"Beaba1|42","BBA_00042"
127178,128543,"Beaba1|43","BBA_00043"
129300,130070,"Beaba1|44","BBA_00044"
130880,131608,"Beaba1|45","BBA_00045"
133249,134214,"Beaba1|46","BBA_00046"
135407,136672,"Beaba1|47","BBA_00047"
138249,138827,"Beaba1|48","BBA_00048"
140006,141980,"Beaba1|49","BBA_00049"
143876,146215,"Beaba1|50","BBA_00050"
150227,151027,"Beaba1|51","BBA_00051"
151356,152775,"Beaba1|52","BBA_00052"
153461,155881,"Beaba1|53","BBA_00053"
157526,158122,"Beaba1|54","BBA_00054"
158251,159473,"Beaba1|55","BBA_00055"
160189,160839,"Beaba1|56","BBA_00056"
162045,163104,"Beaba1|57","BBA_00057"
163802,165388,"Beaba1|58","BBA_00058"
166586,167842,"Beaba1|59","BBA_00059"
168317,172112,"Beaba1|60","BBA_00060"
173082,174917,"Beaba1|61","BBA_00061"
175409,177189,"Beaba1|62","BBA_00062"
178123,178827,"Beaba1|63","BBA_00063"
184120,184979,"Beaba1|64","BBA_00064"
186123,187605,"Beaba1|65","BBA_00065"
189192,190440,"Beaba1|66","BBA_00066"
190905,192006,"Beaba1|67","BBA_00067"
194874,196661,"Beaba1|68","BBA_00068"
199580,200518,"Beaba1|69","BBA_00069"
201650,202113,"Beaba1|70","BBA_00070"
204827,207269,"Beaba1|71","BBA_00071"
208955,214143,"Beaba1|72","BBA_00072"
214545,215826,"Beaba1|73","BBA_00073"
217819,219812,"Beaba1|74","BBA_00074"
219885,220517,"Beaba1|75","BBA_00075"
221936,224429,"Beaba1|76","BBA_00076"
225168,226320,"Beaba1|77","BBA_00077"
226883,227794,"Beaba1|78","BBA_00078"
235076,236668,"Beaba1|79","BBA_00079"
237968,238498,"Beaba1|80","BBA_00080"
238868,240350,"Beaba1|81","BBA_00081"
241295,241921,"Beaba1|82","BBA_00082"
244052,244462,"Beaba1|83","BBA_00083"
245731,246768,"Beaba1|84","BBA_00084"
247155,247886,"Beaba1|85","BBA_00085"
249116,250015,"Beaba1|86","BBA_00086"
250501,251633,"Beaba1|87","BBA_00087"
254907,257196,"Beaba1|88","BBA_00088"
260154,260459,"Beaba1|89","BBA_00089"
264531,266367,"Beaba1|90","BBA_00090"
267128,270120,"Beaba1|91","BBA_00091"
270462,271707,"Beaba1|92","BBA_00092"
272643,273604,"Beaba1|93","BBA_00093"
274311,275919,"Beaba1|94","BBA_00094"
277109,278999,"Beaba1|95","BBA_00095"
280245,282308,"Beaba1|96","BBA_00096"
282613,283755,"Beaba1|97","BBA_00097"
286081,287781,"Beaba1|98","BBA_00098"
291414,292137,"Beaba1|99","BBA_00099"
294800,295566,"Beaba1|100","BBA_00100"
297288,298034,"Beaba1|101","BBA_00101"
299134,299745,"Beaba1|102","BBA_00102"
300312,300997,"Beaba1|103","BBA_00103"
303694,304524,"Beaba1|104","BBA_00104"
310431,312301,"Beaba1|105","BBA_00105"
312370,314077,"Beaba1|106","BBA_00106"
314300,317239,"Beaba1|107","BBA_00107"
318113,319339,"Beaba1|108","BBA_00108"
320322,322014,"Beaba1|109","BBA_00109"
325534,326234,"Beaba1|110","BBA_00110"
326717,327056,"Beaba1|111","BBA_00111"
328097,328444,"Beaba1|112","BBA_00112"
329006,329464,"Beaba1|113","BBA_00113"
331123,332403,"Beaba1|114","BBA_00114"
332792,333941,"Beaba1|115","BBA_00115"
335165,337271,"Beaba1|116","BBA_00116"
338056,339025,"Beaba1|117","BBA_00117"
344673,345777,"Beaba1|118","BBA_00118"
346837,347361,"Beaba1|119","BBA_00119"
347854,349183,"Beaba1|120","BBA_00120"
351113,354688,"Beaba1|121","BBA_00121"
355730,356744,"Beaba1|122","BBA_00122"
357091,358248,"Beaba1|123","BBA_00123"
358719,360065,"Beaba1|124","BBA_00124"
362632,368584,"Beaba1|125","BBA_00125"
369658,373338,"Beaba1|126","BBA_00126"
374371,377320,"Beaba1|127","BBA_00127"
377751,380186,"Beaba1|128","BBA_00128"
381016,381507,"Beaba1|129","BBA_00129"
382087,384236,"Beaba1|130","BBA_00130"
384809,386272,"Beaba1|131","BBA_00131"
386775,387826,"Beaba1|132","BBA_00132"
388013,390211,"Beaba1|133","BBA_00133"
390622,391229,"Beaba1|134","BBA_00134"
391624,392157,"Beaba1|135","BBA_00135"
392507,393532,"Beaba1|136","BBA_00136"
396495,397004,"Beaba1|137","BBA_00137"
397279,399447,"Beaba1|138","BBA_00138"
400740,402105,"Beaba1|139","BBA_00139"
403673,405258,"Beaba1|140","BBA_00140"
406623,408684,"Beaba1|141","BBA_00141"
410540,411720,"Beaba1|142","BBA_00142"
412600,414179,"Beaba1|143","BBA_00143"
415281,416591,"Beaba1|144","BBA_00144"
418157,418687,"Beaba1|145","BBA_00145"
421381,423528,"Beaba1|146","BBA_00146"
425367,426164,"Beaba1|147","BBA_00147"
428313,430267,"Beaba1|148","BBA_00148"
431727,433778,"Beaba1|149","BBA_00149"
436466,437431,"Beaba1|150","BBA_00150"
439028,440359,"Beaba1|151","BBA_00151"
440946,442502,"Beaba1|152","BBA_00152"
449807,451058,"Beaba1|153","BBA_00153"
451742,454044,"Beaba1|154","BBA_00154"
456700,457281,"Beaba1|155","BBA_00155"
457639,458577,"Beaba1|156","BBA_00156"
458951,459763,"Beaba1|157","BBA_00157"
460887,462018,"Beaba1|158","BBA_00158"
462812,466262,"Beaba1|159","BBA_00159"
466529,467921,"Beaba1|160","BBA_00160"
474040,478974,"Beaba1|161","BBA_00161"
480325,483012,"Beaba1|162","BBA_00162"
484066,484950,"Beaba1|163","BBA_00163"
488963,490680,"Beaba1|164","BBA_00164"
491080,493572,"Beaba1|165","BBA_00165"
495826,497488,"Beaba1|166","BBA_00166"
498117,499655,"Beaba1|167","BBA_00167"
500472,501228,"Beaba1|168","BBA_00168"
503292,504860,"Beaba1|169","BBA_00169"
505509,508098,"Beaba1|170","BBA_00170"
509005,510510,"Beaba1|171","BBA_00171"
510792,515047,"Beaba1|172","BBA_00172"
516143,518918,"Beaba1|173","BBA_00173"
519382,520539,"Beaba1|174","BBA_00174"
521036,522784,"Beaba1|175","BBA_00175"
523400,524827,"Beaba1|176","BBA_00176"
526873,528858,"Beaba1|177","BBA_00177"
529875,533298,"Beaba1|178","BBA_00178"
533935,535343,"Beaba1|179","BBA_00179"
535520,538890,"Beaba1|180","BBA_00180"
543865,550509,"Beaba1|181","BBA_00181"
551092,551430,"Beaba1|182","BBA_00182"
553452,555406,"Beaba1|183","BBA_00183"
555719,558519,"Beaba1|184","BBA_00184"
560252,562294,"Beaba1|185","BBA_00185"
565917,566684,"Beaba1|186","BBA_00186"
567024,568773,"Beaba1|187","BBA_00187"
568984,570755,"Beaba1|188","BBA_00188"
571042,571540,"Beaba1|189","BBA_00189"
571921,572311,"Beaba1|190","BBA_00190"
574412,575769,"Beaba1|191","BBA_00191"
575965,577084,"Beaba1|192","BBA_00192"
582582,584636,"Beaba1|193","BBA_00193"
587879,589303,"Beaba1|194","BBA_00194"
589723,591214,"Beaba1|195","BBA_00195"
592152,592919,"Beaba1|196","BBA_00196"
593805,594461,"Beaba1|197","BBA_00197"
595755,597031,"Beaba1|198","BBA_00198"
598393,598748,"Beaba1|199","BBA_00199"
599873,600134,"Beaba1|200","BBA_00200"
601443,602224,"Beaba1|201","BBA_00201"
603132,604075,"Beaba1|202","BBA_00202"
604554,607001,"Beaba1|203","BBA_00203"
609662,610897,"Beaba1|204","BBA_00204"
615510,616403,"Beaba1|205","BBA_00205"
623342,623732,"Beaba1|206","BBA_00206"
631395,633122,"Beaba1|207","BBA_00207"
638137,639079,"Beaba1|208","BBA_00208"
639717,640770,"Beaba1|209","BBA_00209"
641537,642007,"Beaba1|210","BBA_00210"
642160,643524,"Beaba1|211","BBA_00211"
647413,648831,"Beaba1|212","BBA_00212"
649237,650332,"Beaba1|213","BBA_00213"
651325,653581,"Beaba1|214","BBA_00214"
653869,656523,"Beaba1|215","BBA_00215"
656751,657454,"Beaba1|216","BBA_00216"
658230,658866,"Beaba1|217","BBA_00217"
659749,661008,"Beaba1|218","BBA_00218"
661895,662847,"Beaba1|219","BBA_00219"
665111,668756,"Beaba1|220","BBA_00220"
669281,670983,"Beaba1|221","BBA_00221"
671971,673275,"Beaba1|222","BBA_00222"
674592,675023,"Beaba1|223","BBA_00223"
675401,676686,"Beaba1|224","BBA_00224"
677496,678050,"Beaba1|225","BBA_00225"
678532,679001,"Beaba1|226","BBA_00226"
679792,681246,"Beaba1|227","BBA_00227"
681702,682168,"Beaba1|228","BBA_00228"
682577,683255,"Beaba1|229","BBA_00229"
683470,684803,"Beaba1|230","BBA_00230"
685527,686783,"Beaba1|231","BBA_00231"
687242,688354,"Beaba1|232","BBA_00232"
689528,690226,"Beaba1|233","BBA_00233"
690819,691847,"Beaba1|234","BBA_00234"
692237,693087,"Beaba1|235","BBA_00235"
695304,697966,"Beaba1|236","BBA_00236"
700153,702435,"Beaba1|237","BBA_00237"
703261,704139,"Beaba1|238","BBA_00238"
704880,706649,"Beaba1|239","BBA_00239"
707782,710057,"Beaba1|240","BBA_00240"
713923,714743,"Beaba1|241","BBA_00241"
717712,719229,"Beaba1|242","BBA_00242"
720003,720896,"Beaba1|243","BBA_00243"
721939,722391,"Beaba1|244","BBA_00244"
723353,724686,"Beaba1|245","BBA_00245"
724953,725832,"Beaba1|246","BBA_00246"
727481,728494,"Beaba1|247","BBA_00247"
730180,731260,"Beaba1|248","BBA_00248"
731501,734121,"Beaba1|249","BBA_00249"
735813,737991,"Beaba1|250","BBA_00250"
738407,739813,"Beaba1|251","BBA_00251"
740720,742743,"Beaba1|252","BBA_00252"
744415,746246,"Beaba1|253","BBA_00253"
