module_identity,kTotal,enriched_in_module,gene_name,gene_desc,rhy_brain_head_cluster1,for24_nur8,ocflo_UP,ocflo_DOWN,beau_UP,beau_DOWN,rhy24_control,rhy24_ocflo_inf,rhy24_beau_inf,signalP,TMHMM,GOs,pfams
C22,69.65,alpha/beta hydrolase fold,LOC105255097,valacyclovir hydrolase isoform X1,no,no,no,no,no,no,no,no,no,0,0,,PF00561|alpha/beta hydrolase fold; PF00561|alpha/beta hydrolase fold
C22,67.17,alpha/beta hydrolase fold,LOC105258819,abhydrolase domain-containing protein 2,no,no,no,no,no,no,no,no,yes,1,1,,PF00561|alpha/beta hydrolase fold
C22,57.82,alpha/beta hydrolase fold,LOC105257563,phospholipase ABHD3,no,no,no,no,no,no,no,no,no,0,0,,PF00561|alpha/beta hydrolase fold
C22,25.36,alpha/beta hydrolase fold,LOC105252425,lipase 3,no,no,no,no,no,no,no,no,no,1,0,,PF00561|alpha/beta hydrolase fold
C22,19.54,alpha/beta hydrolase fold,LOC105250106,probable serine hydrolase isoform X1,no,no,no,no,no,no,no,no,no,0,0,,PF00561|alpha/beta hydrolase fold
C22,43.09,Core histone H2A/H2B/H3/H4,LOC105248517,uncharacterized protein LOC105248517 isoform X2,no,no,no,no,no,no,no,no,no,0,0,GO:0000786|nucleosome; GO:0003677|DNA binding,PF00125|Core histone H2A/H2B/H3/H4
C22,42.69,Core histone H2A/H2B/H3/H4,LOC105252114,histone H2A.V isoform X1,no,no,no,no,no,no,no,no,no,0,0,GO:0000786|nucleosome; GO:0003677|DNA binding,PF16211|C-terminus of histone H2A; PF00125|Core histone H2A/H2B/H3/H4
C22,41.4,Core histone H2A/H2B/H3/H4,LOC105256268,histone H2A,no,no,yes,no,no,no,no,no,no,0,0,GO:0000786|nucleosome; GO:0003677|DNA binding,PF00125|Core histone H2A/H2B/H3/H4; PF16211|C-terminus of histone H2A
C22,32.47,Core histone H2A/H2B/H3/H4,LOC105257118,histone H2B,no,no,yes,no,no,yes,no,no,no,0,0,GO:0000786|nucleosome; GO:0003677|DNA binding,PF00125|Core histone H2A/H2B/H3/H4
C22,28.79,Core histone H2A/H2B/H3/H4,LOC105256267,histone H2B,no,no,yes,no,no,no,no,no,yes,0,0,GO:0000786|nucleosome; GO:0003677|DNA binding,PF00125|Core histone H2A/H2B/H3/H4
C22,25.26,Core histone H2A/H2B/H3/H4,LOC105257120,histone H3,no,no,yes,no,no,no,no,no,no,0,0,GO:0000786|nucleosome; GO:0003677|DNA binding,PF00125|Core histone H2A/H2B/H3/H4
C22,99.97,EF-hand domain pair,LOC105255616,myosin regulatory light chain sqh,no,no,no,no,no,no,no,no,no,0,0,GO:0005509|calcium ion binding,PF13499|EF-hand domain pair
C22,98.47,EF-hand domain pair,LOC105257938,plastin-2,no,no,no,no,no,no,no,no,no,0,0,GO:0005509|calcium ion binding; GO:0051015|actin filament binding; GO:0051017|actin filament bundle assembly,PF00307|Calponin homology (CH) domain; PF00307|Calponin homology (CH) domain; PF00307|Calponin homology (CH) domain; PF00307|Calponin homology (CH) domain; PF13499|EF-hand domain pair
C22,87.62,EF-hand domain pair,LOC105251772,neo-calmodulin isoform X3,no,yes,no,no,no,no,no,no,yes,0,0,GO:0005509|calcium ion binding; GO:0019722|calcium-mediated signaling,PF13499|EF-hand domain pair; PF13499|EF-hand domain pair
C22,78.29,EF-hand domain pair,LOC105254163,calcyphosin-like protein,no,no,no,no,no,no,no,no,no,0,0,GO:0005509|calcium ion binding,PF13202|EF hand; PF13499|EF-hand domain pair
C22,78,EF-hand domain pair,LOC105253427,protein rhomboid isoform X3,no,no,no,no,no,no,no,no,no,0,7,GO:0004252|serine-type endopeptidase activity; GO:0005509|calcium ion binding; GO:0016021|integral component of membrane,PF13499|EF-hand domain pair; PF01694|Rhomboid family
C22,73.36,EF-hand domain pair,LOC105249601,uncharacterized protein LOC105249601 isoform X1,no,no,no,no,no,no,yes,no,no,0,0,GO:0003723|RNA binding; GO:0003824|catalytic activity; GO:0005509|calcium ion binding,PF00857|Isochorismatase family; PF15985|KH domain; PF13499|EF-hand domain pair; PF14382|Exosome complex exonuclease RRP4 N-terminal region
C22,64.2,EF-hand domain pair,LOC105253135,dual oxidase,no,no,no,no,no,no,no,no,no,1,7,GO:0005509|calcium ion binding; GO:0016174|NAD(P)H oxidase activity; GO:0050665|hydrogen peroxide biosynthetic process; GO:0055114|oxidation-reduction process,PF08030|Ferric reductase NAD binding domain; PF13499|EF-hand domain pair; PF03098|Animal haem peroxidase; PF00036|EF hand; PF01794|Ferric reductase like transmembrane component; PF08022|FAD-binding domain
C22,60,EF-hand domain pair,LOC105256195,calcium and integrin-binding protein 1,no,yes,no,no,no,no,yes,no,no,0,0,GO:0005509|calcium ion binding,PF13499|EF-hand domain pair
C22,59.56,EF-hand domain pair,LOC105257991,EF-hand domain-containing protein D2 homolog,no,no,no,no,no,no,no,no,no,0,0,GO:0005509|calcium ion binding,PF13499|EF-hand domain pair
C22,52.77,EF-hand domain pair,LOC105256989,spectrin alpha chain,no,yes,no,no,no,no,no,no,no,0,0,GO:0005509|calcium ion binding; GO:0005515|protein binding,PF00018|SH3 domain; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF00435|Spectrin repeat; PF13499|EF-hand domain pair; PF08726|Ca2+ insensitive EF hand
C22,50.04,EF-hand domain pair,LOC105251012,FK506-binding protein 2 isoform X2,no,no,no,no,no,no,no,no,no,2,1,GO:0003755|peptidyl-prolyl cis-trans isomerase activity; GO:0005509|calcium ion binding,PF13499|EF-hand domain pair; PF00254|FKBP-type peptidyl-prolyl cis-trans isomerase
C22,45.47,EF-hand domain pair,LOC105249651,dual oxidase 2,no,no,no,no,no,no,no,no,no,0,7,GO:0005509|calcium ion binding; GO:0016174|NAD(P)H oxidase activity; GO:0050665|hydrogen peroxide biosynthetic process; GO:0055114|oxidation-reduction process,PF08022|FAD-binding domain; PF13499|EF-hand domain pair; PF00036|EF hand; PF03098|Animal haem peroxidase; PF01794|Ferric reductase like transmembrane component; PF08030|Ferric reductase NAD binding domain
C22,27.12,Helicase associated domain (HA2),LOC105257814,probable ATP-dependent RNA helicase spindle-E,no,no,no,no,no,no,no,no,no,0,0,GO:0003676|nucleic acid binding; GO:0004386|helicase activity; GO:0005524|ATP binding,PF04408|Helicase associated domain (HA2); PF00271|Helicase conserved C-terminal domain; PF00270|DEAD/DEAH box helicase
C22,66.71,Helicase associated domain (HA2); Oligonucleotide/oligosaccharide-binding (OB)-fold,LOC105248048,ATP-dependent RNA helicase DHX33,no,no,no,no,no,no,no,no,no,0,0,GO:0003676|nucleic acid binding; GO:0004386|helicase activity; GO:0005524|ATP binding,PF00271|Helicase conserved C-terminal domain; PF04408|Helicase associated domain (HA2); PF07717|Oligonucleotide/oligosaccharide-binding (OB)-fold; PF00270|DEAD/DEAH box helicase
C22,62.77,Helicase associated domain (HA2); Oligonucleotide/oligosaccharide-binding (OB)-fold,LOC105256612,ATP-dependent RNA helicase DHX8,no,no,no,no,no,no,no,no,no,0,0,GO:0003676|nucleic acid binding; GO:0004386|helicase activity,PF00271|Helicase conserved C-terminal domain; PF04408|Helicase associated domain (HA2); PF00575|S1 RNA binding domain; PF07717|Oligonucleotide/oligosaccharide-binding (OB)-fold
C22,45.54,Helicase associated domain (HA2); Oligonucleotide/oligosaccharide-binding (OB)-fold,LOC105248815,3\'-5\' RNA helicase YTHDC2,no,no,no,no,no,no,no,no,yes,0,0,GO:0003676|nucleic acid binding; GO:0004386|helicase activity; GO:0005524|ATP binding,PF00270|DEAD/DEAH box helicase; PF00271|Helicase conserved C-terminal domain; PF04408|Helicase associated domain (HA2); PF07717|Oligonucleotide/oligosaccharide-binding (OB)-fold; PF01424|R3H domain
C22,39.56,Helicase associated domain (HA2); Oligonucleotide/oligosaccharide-binding (OB)-fold,LOC105256330,putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1,no,no,no,no,no,no,no,no,no,0,0,GO:0004386|helicase activity,PF07717|Oligonucleotide/oligosaccharide-binding (OB)-fold; PF04408|Helicase associated domain (HA2); PF00271|Helicase conserved C-terminal domain
