test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
gene-GQ602_000001	gene-GQ602_000001	GQ602_000001	JAACLJ010000001.1:7248-9339	q1	q2	OK	56.0485	65.9263	0.234177	0.617599	0.5316	0.999014	no
gene-GQ602_000002	gene-GQ602_000002	GQ602_000002	JAACLJ010000001.1:9795-12754	q1	q2	OK	61.4887	67.2332	0.128851	0.337666	0.72885	0.999014	no
gene-GQ602_000003	gene-GQ602_000003	GQ602_000003	JAACLJ010000001.1:13446-14168	q1	q2	OK	1643.26	1329.98	-0.305154	-0.522058	0.5968	0.999014	no
gene-GQ602_000004	gene-GQ602_000004	GQ602_000004	JAACLJ010000001.1:14959-17524	q1	q2	OK	39.7889	33.6317	-0.242546	-0.634406	0.52275	0.999014	no
gene-GQ602_000005	gene-GQ602_000005	GQ602_000005	JAACLJ010000001.1:19118-20048	q1	q2	OK	70.3912	72.0097	0.0327965	0.0799118	0.9352	0.999014	no
gene-GQ602_000006	gene-GQ602_000006	GQ602_000006	JAACLJ010000001.1:20603-23396	q1	q2	OK	334.6	328.061	-0.0284716	-0.0459554	0.9632	0.999014	no
gene-GQ602_000007	gene-GQ602_000007	GQ602_000007	JAACLJ010000001.1:24489-25518	q1	q2	OK	56.2091	57.0666	0.0218446	0.0509843	0.9584	0.999014	no
gene-GQ602_000008	gene-GQ602_000008	GQ602_000008	JAACLJ010000001.1:26914-28263	q1	q2	OK	274.058	257.397	-0.0904851	-0.21199	0.82885	0.999014	no
gene-GQ602_000009	gene-GQ602_000009	GQ602_000009	JAACLJ010000001.1:31511-33649	q1	q2	OK	3.4422	6.67752	0.95598	1.37377	0.17745	0.999014	no
gene-GQ602_000010	gene-GQ602_000010	GQ602_000010	JAACLJ010000001.1:33734-35358	q1	q2	OK	113.186	130.025	0.200101	0.527966	0.5934	0.999014	no
gene-GQ602_000011	gene-GQ602_000011	GQ602_000011	JAACLJ010000001.1:35682-37482	q1	q2	OK	76.2763	66.5128	-0.197604	-0.520891	0.59835	0.999014	no
gene-GQ602_000012	gene-GQ602_000012	GQ602_000012	JAACLJ010000001.1:38317-40364	q1	q2	OK	0.87593	1.78148	1.02419	1.03941	0.30115	0.999014	no
gene-GQ602_000013	gene-GQ602_000013	GQ602_000013	JAACLJ010000001.1:42052-43468	q1	q2	OK	1.28758	1.87063	0.538865	0.53317	0.60235	0.999014	no
gene-GQ602_000014	gene-GQ602_000014	GQ602_000014	JAACLJ010000001.1:43933-46756	q1	q2	OK	115.988	128.99	0.153283	0.348642	0.71925	0.999014	no
gene-GQ602_000015	gene-GQ602_000015	GQ602_000015	JAACLJ010000001.1:48340-50432	q1	q2	OK	140.834	163.392	0.214338	0.524173	0.593	0.999014	no
gene-GQ602_000016	gene-GQ602_000016	GQ602_000016	JAACLJ010000001.1:51468-53345	q1	q2	OK	3534.83	3892.49	0.139051	0.072877	0.9455	0.999014	no
gene-GQ602_000017	gene-GQ602_000017	GQ602_000017	JAACLJ010000001.1:55940-56279	q1	q2	OK	2.17133	0	-inf	-nan	0.0707	0.999014	no
