"start","end","attributes_robin","attributes_ncbi"
116,1058,"Ophio5|1","XA68_10000"
2195,3948,"Ophio5|2","XA68_10011"
4156,5479,"Ophio5|3","XA68_10022"
5972,7052,"Ophio5|4","XA68_10033"
7260,9293,"Ophio5|5","XA68_10044"
9387,11722,"Ophio5|6","XA68_10055"
13657,14766,"Ophio5|7","XA68_10062"
15377,16033,"Ophio5|8","XA68_10063"
16598,19019,"Ophio5|9","XA68_10064"
19943,22307,"Ophio5|10","XA68_10001"
22397,23358,"Ophio5|11","XA68_10002"
24354,26325,"Ophio5|12","XA68_10003"
26854,27129,"Ophio5|13","XA68_10004"
27284,27791,"Ophio5|14","XA68_10005"
32088,32858,"Ophio5|15","XA68_10006"
34368,35747,"Ophio5|16","XA68_10007"
36283,38834,"Ophio5|17","XA68_10008"
39451,40457,"Ophio5|18","XA68_10009"
40730,41245,"Ophio5|19","XA68_10010"
41309,42925,"Ophio5|20","XA68_10012"
43790,46571,"Ophio5|21","XA68_10013"
47142,48174,"Ophio5|22","XA68_10014"
49358,50320,"Ophio5|23","XA68_10015"
54318,55491,"Ophio5|24","XA68_10016"
56198,57287,"Ophio5|25","XA68_10017"
60919,62274,"Ophio5|26","XA68_10018"
63627,64415,"Ophio5|27","XA68_10019"
64995,65506,"Ophio5|28","XA68_10020"
67311,67967,"Ophio5|29","XA68_10021"
68273,69004,"Ophio5|30","XA68_10023"
70540,71343,"Ophio5|31","XA68_10024"
72486,77327,"Ophio5|32","XA68_10025"
78585,79683,"Ophio5|33","XA68_10026"
81537,82682,"Ophio5|34","XA68_10027"
83686,84462,"Ophio5|35","XA68_10028"
84566,84983,"Ophio5|36","XA68_10029"
85451,88124,"Ophio5|37","XA68_10030"
89965,90836,"Ophio5|38","XA68_10031"
90876,91502,"Ophio5|39","XA68_10032"
92055,92741,"Ophio5|40","XA68_10034"
95001,95267,"Ophio5|41","XA68_10035"
96967,98825,"Ophio5|42","XA68_10036"
99058,100533,"Ophio5|43","XA68_10037"
100759,101574,"Ophio5|44","XA68_10038"
102048,103538,"Ophio5|45","XA68_10039"
103957,106446,"Ophio5|46","XA68_10040"
108683,108979,"Ophio5|47","XA68_10041"
110596,112913,"Ophio5|48","XA68_10042"
114428,116797,"Ophio5|49","XA68_10043"
117703,120294,"Ophio5|50","XA68_10045"
121767,123209,"Ophio5|51","XA68_10046"
123776,125730,"Ophio5|52","XA68_10047"
126924,129637,"Ophio5|53","XA68_10048"
130410,131666,"Ophio5|54","XA68_10049"
132467,134065,"Ophio5|55","XA68_10050"
135953,136782,"Ophio5|56","XA68_10051"
137803,141208,"Ophio5|57","XA68_10052"
143253,144863,"Ophio5|58","XA68_10053"
145531,146750,"Ophio5|59","XA68_10054"
148708,149688,"Ophio5|60","XA68_10056"
150186,153575,"Ophio5|61","XA68_10057"
154191,155335,"Ophio5|62","XA68_10058"
156045,156750,"Ophio5|63","XA68_10059"
158080,161899,"Ophio5|64","XA68_10060"
165517,167359,"Ophio5|65","XA68_10061"
438,2195,"Ophio5|66","XA68_10069"
2793,4576,"Ophio5|67","XA68_10070"
5214,7658,"Ophio5|68","XA68_10071"
7976,9010,"Ophio5|69","XA68_10072"
10063,13277,"Ophio5|70","XA68_10073"
13988,14819,"Ophio5|71","XA68_10074"
15051,18736,"Ophio5|72","XA68_10075"
19103,21058,"Ophio5|73","XA68_10076"
21201,22691,"Ophio5|74","XA68_10077"
23545,23927,"Ophio5|75","XA68_10078"
24429,25623,"Ophio5|76","XA68_10079"
25986,27976,"Ophio5|77","XA68_10080"
28137,29035,"Ophio5|78","XA68_10081"
29337,30266,"Ophio5|79","XA68_10082"
30554,31570,"Ophio5|80","XA68_10083"
32354,33612,"Ophio5|81","XA68_10084"
35112,38084,"Ophio5|82","XA68_10085"
39055,39514,"Ophio5|83","XA68_10086"
39958,41998,"Ophio5|84","XA68_10087"
43058,43741,"Ophio5|85","XA68_10088"
43946,48225,"Ophio5|86","XA68_10089"
49181,50372,"Ophio5|87","XA68_10090"
50870,52271,"Ophio5|88","XA68_10091"
52307,52914,"Ophio5|89","XA68_10092"
54205,56112,"Ophio5|90","XA68_10093"
57179,58892,"Ophio5|91","XA68_10094"
60307,63093,"Ophio5|92","XA68_10095"
63619,64618,"Ophio5|93","XA68_10096"
65514,68045,"Ophio5|94","XA68_10097"
71523,71868,"Ophio5|95","XA68_10098"
72278,73405,"Ophio5|96","XA68_10099"
75504,77223,"Ophio5|97","XA68_10100"
78199,79848,"Ophio5|98","XA68_10101"
82043,85003,"Ophio5|99","XA68_10102"
85553,86825,"Ophio5|100","XA68_10065"
89024,91092,"Ophio5|101","XA68_10066"
91614,95671,"Ophio5|102","XA68_10067"
96369,98398,"Ophio5|103","XA68_10068"
859,2842,"Ophio5|104","XA68_10103"
4197,5542,"Ophio5|105","XA68_10104"
7182,9155,"Ophio5|106","XA68_10105"
9585,10403,"Ophio5|107","XA68_10106"
10803,12607,"Ophio5|108","XA68_10107"
13396,15435,"Ophio5|109","XA68_10108"
16009,16804,"Ophio5|110","XA68_10109"
17581,18792,"Ophio5|111","XA68_10110"
19383,20603,"Ophio5|112","XA68_10111"
20642,23907,"Ophio5|113","XA68_10112"
25341,26338,"Ophio5|114","XA68_10113"
26963,32107,"Ophio5|115","XA68_10114"
32373,32630,"Ophio5|116","XA68_10115"
35377,37023,"Ophio5|117","XA68_10116"
37520,38111,"Ophio5|118","XA68_10117"
38508,40819,"Ophio5|119","XA68_10118"
43582,45228,"Ophio5|120","XA68_10119"
544,1255,"Ophio5|121","XA68_10120"
2557,4462,"Ophio5|122","XA68_10121"
1727,2090,"Ophio5|123","XA68_10122"
1075,3077,"Ophio5|124","XA68_10123"
1118,2506,"Ophio5|125","XA68_10124"
2956,4452,"Ophio5|126","XA68_10125"
1126,1984,"Ophio5|127","XA68_10126"
3596,4342,"Ophio5|128","XA68_10127"
745,2994,"Ophio5|129","XA68_10128"
3427,4163,"Ophio5|130","XA68_10129"
533,1006,"Ophio5|131","XA68_10130"
1608,2966,"Ophio5|132","XA68_10131"
1898,2592,"Ophio5|133","XA68_10132"
2773,3681,"Ophio5|134","XA68_10133"
1182,1656,"Ophio5|135","XA68_10134"
2722,4505,"Ophio5|136","XA68_10135"
925,3153,"Ophio5|137","XA68_10136"
3213,4227,"Ophio5|138","XA68_10137"
9496,11449,"Ophio5|139","XA68_10138"
12416,13201,"Ophio5|140","XA68_10139"
14697,17725,"Ophio5|141","XA68_10140"
17797,18761,"Ophio5|142","XA68_10141"
21374,23369,"Ophio5|143","XA68_10142"
24486,25812,"Ophio5|144","XA68_10143"
25984,26628,"Ophio5|145","XA68_10144"
27202,28082,"Ophio5|146","XA68_10145"
28666,29583,"Ophio5|147","XA68_10146"
33957,35830,"Ophio5|148","XA68_10147"
36318,38341,"Ophio5|149","XA68_10148"
41838,44384,"Ophio5|150","XA68_10149"
483,2304,"Ophio5|151","XA68_10150"
3014,4274,"Ophio5|152","XA68_10151"
502,3965,"Ophio5|153","XA68_10152"
4140,4478,"Ophio5|154","XA68_10153"
80,1554,"Ophio5|155","XA68_10154"
829,2310,"Ophio5|156","XA68_10155"
3239,3911,"Ophio5|157","XA68_10156"
75,1558,"Ophio5|158","XA68_10157"
276,3276,"Ophio5|159","XA68_10158"
59,3054,"Ophio5|160","XA68_10159"
3701,4290,"Ophio5|161","XA68_10160"
4923,6031,"Ophio5|162","XA68_10161"
7550,20816,"Ophio5|163","XA68_10162"
21723,22292,"Ophio5|164","XA68_10163"
32956,34557,"Ophio5|165","XA68_10164"
35940,36930,"Ophio5|166","XA68_10165"
39185,40543,"Ophio5|167","XA68_10166"
41127,44311,"Ophio5|168","XA68_10167"
367,2385,"Ophio5|169","XA68_10168"
2763,3706,"Ophio5|170","XA68_10169"
3936,4250,"Ophio5|171","XA68_10170"
72,1308,"Ophio5|172","XA68_10171"
2311,3994,"Ophio5|173","XA68_10172"
2244,4059,"Ophio5|174","XA68_10173"
731,2464,"Ophio5|175","XA68_10174"
1811,3460,"Ophio5|176","XA68_10175"
341,1381,"Ophio5|177","XA68_10176"
506,3422,"Ophio5|178","XA68_10177"
375,1922,"Ophio5|179","XA68_10178"
2341,3685,"Ophio5|180","XA68_10179"
174,825,"Ophio5|181","XA68_10180"
2542,4469,"Ophio5|182","XA68_10181"
4844,21171,"Ophio5|183","XA68_10182"
21396,22030,"Ophio5|184","XA68_10183"
22302,23184,"Ophio5|185","XA68_10184"
23320,24601,"Ophio5|186","XA68_10185"
24869,26452,"Ophio5|187","XA68_10186"
26894,29073,"Ophio5|188","XA68_10187"
29273,30521,"Ophio5|189","XA68_10188"
31037,34579,"Ophio5|190","XA68_10189"
31052,31444,"Ophio5|191",NA
34664,35062,"Ophio5|192","XA68_10190"
35587,38074,"Ophio5|193","XA68_10191"
40231,41298,"Ophio5|194","XA68_10192"
41611,42905,"Ophio5|195","XA68_10193"
43631,44026,"Ophio5|196","XA68_10194"
235,2152,"Ophio5|197","XA68_10195"
2321,3621,"Ophio5|198","XA68_10196"
624,1968,"Ophio5|199","XA68_10197"
2387,3934,"Ophio5|200","XA68_10198"
668,3270,"Ophio5|201","XA68_10199"
647,1464,"Ophio5|202","XA68_10200"
2446,3418,"Ophio5|203","XA68_10201"
1752,2771,"Ophio5|204","XA68_10202"
575,1683,"Ophio5|205","XA68_10203"
2082,3859,"Ophio5|206","XA68_10204"
