ProteinId.t1,Name,SC16a,CcL,CcD,PFAM annotation,GO annotation (terminal nodes only),KEGG annotation,SignalP/SmallSecretedProteins,Transcription factors,Transmembrane domains,MEROPS proteases,Manual annotations,Secondary metabolism,SC16a -> CcL: Up/Down,SC16a -> CcL: q value,"SC16a -> CcL: : q-value <= 0.05, fold change >= 2, and >= 1 sample with >= 4 expression value?",SC16a -> CcD: Up/Down,SC16a -> CcD: q value,"SC16a -> CcD: : q-value <= 0.05, fold change >= 2, and >= 1 sample with >= 4 expression value?",CcL -> CcD: Up/Down,CcL -> CcD: q value,"CcL -> CcD: : q-value <= 0.05, fold change >= 2, and >= 1 sample with >= 4 expression value?"
Ophio5|1.t1,,1518.86,102.429,21.8357,PF00199.14|Catalase,GO:0004096|catalase activity;GO:0055114|oxidation-reduction process;GO:0020037|heme binding,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Down,0.000285532,Yes
Ophio5|10.t1,,61.9413,58.1801,49.9574,,,,,,,,,,Down,0.824521,No,Down,0.372354,No,Down,0.56086,No
Ophio5|100.t1,,128.422,75.0866,77.0644,PF00929.19|RNase_T,,,,,,,,,Down,0.0202827,No,Down,0.0198816,No,Up,0.930939,No
Ophio5|1000.t1,,43.7889,45.5083,57.5471,PF03441.9|FAD_binding_7;PF00875.13|DNA_photolyase,GO:0006281|DNA repair;GO:0003913|DNA photolyase activity,,,,,,,,Up,0.893697,No,Up,0.248517,No,Up,0.320717,No
Ophio5|1001.t1,,312.616,401.711,474.48,PF01249.13|Ribosomal_S21e,GO:0006412|translation;GO:0005840|ribosome;GO:0003735|structural constituent of ribosome;GO:0005622|intracellular,,,,,,,,Up,0.322861,No,Up,0.073798,No,Up,0.527295,No
Ophio5|1002.t1,,18.6948,20.3357,19.0743,PF09494.5|Slx4,GO:0005634|nucleus;GO:0006281|DNA repair;GO:0006260|DNA replication;GO:0033557|Slx1-Slx4 complex;GO:0017108|5'-flap endonuclease activity,,,,,,,,Up,0.765768,No,Up,0.943727,No,Down,0.821842,No
Ophio5|1003.t1,,0.0746448,0.950832,0.0931146,,,,SignalP: has predicted secretion signal,,,,,,Up,1,No,Up,1,No,Down,1,No
Ophio5|1004.t1,,48.9609,27.0972,36.2013,,,,,,,,,,Down,0.0798521,No,Down,0.338989,No,Up,0.428623,No
Ophio5|1005.t1,,153.069,115.136,128.386,PF10310.4|DUF2413,,,,,,,,,Down,0.254248,No,Down,0.494889,No,Up,0.689557,No
Ophio5|1006.t1,,1.64916,1.13745,1.87762,,,,,,,,,,Down,0.342629,No,Up,0.749835,No,Up,0.172418,No
Ophio5|1007.t1,,32.7206,39.1967,31.3172,PF08083.6|PROCN;PF12134.3|PRP8_domainIV;PF10596.4|U6-snRNA_bdg;PF08082.6|PRO8NT;PF10597.4|U5_2-snRNA_bdg;PF10598.4|RRM_4;PF08084.6|PROCT,"GO:0000398|mRNA splicing, via spliceosome;GO:0030623|U5 snRNA binding;GO:0017070|U6 snRNA binding;GO:0003723|RNA binding",,,,,,,,Up,0.508318,No,Down,0.88766,No,Down,0.387061,No
Ophio5|1008.t1,,238.684,150.838,161.842,,,,,,1,,,,Down,0.185168,No,Down,0.238356,No,Up,0.870156,No
Ophio5|1009.t1,,87.5212,116.8,138.022,PF06487.7|SAP18,,,,,,,,,Up,0.229485,No,Up,0.0401064,No,Up,0.505776,No
Ophio5|101.t1,,159.657,138.644,81.8355,PF00656.17|Peptidase_C14,GO:0006508|proteolysis;GO:0004197|cysteine-type endopeptidase activity,,,,,C14A;C14B,,,Down,0.637182,No,Down,0.00262723,No,Down,0.0456353,No
Ophio5|1010.t1,,28.7412,39.4759,43.8554,PF02840.10|Prp18;PF08799.6|PRP4,GO:0008380|RNA splicing;GO:0005681|spliceosomal complex,,,,,,,,Up,0.217346,No,Up,0.0906482,No,Up,0.700409,No
Ophio5|1011.t1,,89.5805,48.8569,79.4223,PF10602.4|RPN7;PF01399.22|PCI,GO:0005515|protein binding,,,,,,,,Down,0.00533195,No,Down,0.640194,No,Up,0.0257318,No
Ophio5|1012.t1,,51.1066,47.642,34.701,PF04082.13|Fungal_trans;PF00172.13|Zn_clus,"GO:0000981|sequence-specific DNA binding RNA polymerase II transcription factor activity;GO:0006355|regulation of transcription, DNA-templated;GO:0003677|DNA binding;GO:0005634|nucleus;GO:0008270|zinc ion binding;GO:0006351|transcription, DNA-templated",,,Zn2Cys6,,,,,Down,0.811366,No,Down,0.0918048,No,Down,0.20731,No
Ophio5|1013.t1,,0.674307,0,0.0395503,,,,SignalP: has predicted secretion signal,,,,,,Down,1,No,Down,1,No,Up,1,No
Ophio5|1014.t1,,2.79193,23.2857,23.173,,,,,,,,,,Up,0.0517165,No,Up,0.0517165,No,Down,0.985311,No
Ophio5|1015.t1,,1.56561,9.89484,10.3703,,,,,,,,,,Up,0.00338933,Yes,Up,0.00185084,Yes,Up,0.925392,No
Ophio5|1016.t1,,81.4676,50.0526,44.0089,PF00557.19|Peptidase_M24;PF05195.11|AMP_N,GO:0004177|aminopeptidase activity;GO:0030145|manganese ion binding,,,,,M24B,,,Down,0.0295895,No,Down,0.0049881,No,Down,0.621995,No
Ophio5|1017.t1,,105.122,56.6371,86.0094,PF03388.8|Lectin_leg-like,GO:0016020|membrane,,SignalP: has predicted secretion signal,,1,,,,Down,0.00533195,No,Down,0.410952,No,Up,0.0728231,No
Ophio5|1018.t1,,56.0912,44.1674,48.0887,PF03155.10|Alg6_Alg8,"GO:0005789|endoplasmic reticulum membrane;GO:0016758|transferase activity, transferring hexosyl groups",,,,7,,,,Down,0.327714,No,Down,0.539547,No,Up,0.755239,No
Ophio5|1019.t1,,51.0676,1880.33,728.062,,,,,,4,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.0155274,Yes
Ophio5|102.t1,,19.3807,39.1221,51.8674,PF07989.6|Microtub_assoc;PF10495.4|PACT_coil_coil,,,,,,,,,Up,0.010908,Yes,Up,0.000285532,Yes,Up,0.327126,No
Ophio5|1020.t1,,214.888,96.3916,73.9644,PF06419.6|COG6;PF06419.6|COG6,GO:0017119|Golgi transport complex;GO:0006891|intra-Golgi vesicle-mediated transport,,,,,,,,Down,0.000997454,Yes,Down,0.000285532,Yes,Down,0.286596,No
Ophio5|1021.t1,,5.92468,8.21849,13.0737,PF02146.12|SIR2,GO:0070403|NAD+ binding,,,,,,,,Up,0.337633,No,Up,0.00842804,Yes,Up,0.131362,No
Ophio5|1022.t1,,34.6965,25.4792,37.2878,PF10294.4|Methyltransf_16;PF13489.1|Methyltransf_23,,,,,,,,,Down,0.309781,No,Up,0.820568,No,Up,0.201125,No
Ophio5|1023.t1,,121.059,153.538,186.614,PF00406.17|ADK;PF05191.9|ADK_lid,GO:0004017|adenylate kinase activity,,,,,,,,Up,0.320103,No,Up,0.0568598,No,Up,0.423769,No
Ophio5|1024.t1,,364.888,447.258,210.291,PF08569.6|Mo25;PF08569.6|Mo25;PF08569.6|Mo25,,,,,,,,,Up,0.494331,No,Down,0.0209229,No,Down,0.00618144,Yes
Ophio5|1025.t1,,34.4954,16.5234,20.2213,,,,,,,,,,Down,0.0196205,Yes,Down,0.0754894,No,Up,0.585874,No
Ophio5|1026.t1,,10.2159,67.6721,27.0545,PF04042.11|DNA_pol_E_B,GO:0003677|DNA binding;GO:0006260|DNA replication;GO:0003887|DNA-directed DNA polymerase activity,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.000285532,Yes
Ophio5|1027.t1,,73.9505,2.61071,1.70456,PF13515.1|FUSC_2,,,,,10,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Down,0.245983,No
Ophio5|1028.t1,,79.5914,4.7186,6.7915,PF13419.1|HAD_2;PF13242.1|Hydrolase_like,,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Up,0.433886,No
Ophio5|1029.t1,,93.1625,58.3713,74.0117,PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr,GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,,,,,,,,Down,0.0368881,No,Down,0.339627,No,Up,0.325377,No
Ophio5|103.t1,,39.7096,40.5668,35.5736,PF13369.1|Transglut_core2;PF08755.6|YccV-like,GO:0003677|DNA binding,,,,,,,,Up,0.941393,No,Down,0.675199,No,Down,0.612308,No
Ophio5|1030.t1,,9.34421,5.90952,12.1523,,,,,,,,,,Down,0.330568,No,Up,0.568461,No,Up,0.105989,No
Ophio5|1031.t1,,19.8057,9.86386,10.8501,,,,,,,,,,Down,0.0620688,No,Down,0.118816,No,Up,0.842739,No
Ophio5|1032.t1,,43.894,55.0347,49.3884,PF14633.1|SH2_2;PF14878.1|DLD;PF14639.1|YqgF;PF14635.1|HHH_7;PF14632.1|SPT6_acidic;PF14641.1|HTH_44,GO:0003677|DNA binding;GO:0005515|protein binding,,,,,,,,Up,0.397626,No,Up,0.664388,No,Down,0.70909,No
Ophio5|1033.t1,,530.985,2053.42,1050.75,,,,,,,,,,Up,0.000285532,Yes,Up,0.00281521,No,Down,0.00965978,No
Ophio5|1034.t1,,43.7056,188.635,205.674,PF05700.6|BCAS2,GO:0006397|mRNA processing,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Up,0.754862,No
Ophio5|1035.t1,,99.8548,150.51,119.754,PF00027.24|cNMP_binding;PF00027.24|cNMP_binding,,,,,,,,,Up,0.0734058,No,Up,0.467574,No,Down,0.363667,No
Ophio5|1036.t1,,29.0646,32.4225,27.7149,PF12767.2|SAGA-Tad1,GO:0070461|SAGA-type complex,,,,,,,,Up,0.717435,No,Down,0.885445,No,Down,0.588281,No
Ophio5|1037.t1,,13.9321,38.0631,25.3863,PF04130.8|Spc97_Spc98,GO:0000226|microtubule cytoskeleton organization;GO:0000922|spindle pole;GO:0005815|microtubule organizing center,,,,,,,,Up,0.000285532,Yes,Up,0.0087289,No,Down,0.0846476,No
Ophio5|1038.t1,,120.494,271.571,166.373,,,,,,,,,,Up,0.00682395,Yes,Up,0.340834,No,Down,0.105908,No
Ophio5|1039.t1,,44.3072,95.2895,58.2896,,,,,,,,,,Up,0.0119339,Yes,Up,0.429633,No,Down,0.0997938,No
Ophio5|104.t1,,10.1911,11.4385,12.9979,,,,SignalP: has predicted secretion signal,,1,,,,Up,0.733054,No,Up,0.419095,No,Up,0.699263,No
Ophio5|1040.t1,,19.1412,240.09,63.4389,,,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.000285532,Yes
Ophio5|1041.t1,,34.287,4.20021,6.82771,,,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Up,0.224014,No
Ophio5|1042.t1,,0.694052,128.164,70.3158,,,,,,,,,,Up,0.0291094,Yes,Up,0.0291094,Yes,Down,0.0129849,No
Ophio5|1043.t1,,126.321,33.085,32.2157,PF01636.18|APH,,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Down,0.940432,No
Ophio5|1044.t1,,56.6264,57.9474,39.8067,,,,,,,,,,Up,0.937159,No,Down,0.120631,No,Down,0.0945922,No
Ophio5|1045.t1,,301.116,232.264,168.014,PF00198.18|2-oxoacid_dh;PF00364.17|Biotin_lipoyl,"GO:0016746|transferase activity, transferring acyl groups;GO:0008152|metabolic process",,,,,,,,Down,0.305312,No,Down,0.0116538,No,Down,0.168988,No
Ophio5|1046.t1,,230.69,144.055,123.594,PF00557.19|Peptidase_M24,,,,,,M24A;M24B;M24X,,,Down,0.0513761,No,Down,0.00682395,No,Down,0.559508,No
Ophio5|1047.t1,,275.039,334.55,360.084,PF02953.10|zf-Tim10_DDP,,,,,,,,,Up,0.412377,No,Up,0.256177,No,Up,0.78658,No
Ophio5|1048.t1,,28.5282,39.4581,47.4632,PF10487.4|Nup188,,,,,,,,,Up,0.207206,No,Up,0.0291094,No,Up,0.507361,No
Ophio5|1049.t1,,49.1976,29.0437,32.6884,PF00218.16|IGPS;PF00117.23|GATase;PF00697.17|PRAI;PF07722.8|Peptidase_C26,GO:0006541|glutamine metabolic process;GO:0016787|hydrolase activity;GO:0004640|phosphoribosylanthranilate isomerase activity;GO:0004425|indole-3-glycerol-phosphate synthase activity;GO:0006568|tryptophan metabolic process,,,,,C26,,,Down,0.0189472,No,Down,0.0652803,No,Up,0.655656,No
Ophio5|105.t1,,3.98505,13.3905,20.4715,PF00264.15|Tyrosinase,GO:0016491|oxidoreductase activity;GO:0008152|metabolic process,,SignalP: has predicted secretion signal,,,,,,Up,0.000997454,Yes,Up,0.000285532,Yes,Up,0.15691,No
Ophio5|1050.t1,,0.0866738,0,0.22188,,,,,,,,,,Down,1,No,Up,1,No,Up,1,No
Ophio5|1051.t1,,65.1081,25.1714,30.4442,,,,,,1,,,,Down,0.000285532,Yes,Down,0.00121735,Yes,Up,0.513564,No
Ophio5|1052.t1,,88.6537,130.177,119.555,PF08312.7|cwf21,,,,,,,,,Up,0.134939,No,Up,0.249165,No,Down,0.775927,No
Ophio5|1053.t1,,52.2835,71.0996,66.3635,PF07065.9|D123,,,,,,,,,Up,0.194151,No,Up,0.317677,No,Down,0.79816,No
Ophio5|1054.t1,,7.61489,6.59492,4.22465,PF12511.3|DUF3716,,,,,,,,,Down,0.678996,No,Down,0.0592537,No,Down,0.172349,No
Ophio5|1055.t1,,247.581,296.759,268.573,PF00503.15|G-alpha;PF00025.16|Arf,GO:0031683|G-protein beta/gamma-subunit complex binding;GO:0019001|guanyl nucleotide binding;GO:0005525|GTP binding;GO:0004871|signal transducer activity;GO:0003924|GTPase activity;GO:0007186|G-protein coupled receptor signaling pathway,,,,,,,,Up,0.512742,No,Up,0.784048,No,Down,0.742365,No
Ophio5|1056.t1,,101.285,92.9684,98.5079,,,,,,,,,,Down,0.833343,No,Down,0.946484,No,Up,0.888827,No
Ophio5|1057.t1,,11.3509,6.89377,8.68679,,,,,,,,,,Down,0.280821,No,Down,0.56575,No,Up,0.651656,No
Ophio5|1058.t1,,462.384,677.227,590.268,PF02939.11|UcrQ,GO:0008121|ubiquinol-cytochrome-c reductase activity,,,,1,,,,Up,0.0934356,No,Up,0.303259,No,Down,0.596351,No
Ophio5|1059.t1,,318.295,333.52,456.523,PF01145.20|Band_7,,,,,,,,,Up,0.876921,No,Up,0.141587,No,Up,0.213931,No
Ophio5|106.t1,,12.8602,22.0891,9.69927,,,,,,,,,,Up,0.0367957,No,Down,0.352759,No,Down,0.00185084,Yes
Ophio5|1060.t1,,43.8276,23.0916,19.9332,,,,,,,,,,Down,0.00429103,No,Down,0.000997454,Yes,Down,0.599301,No
Ophio5|1061.t1,,33.4489,58.5613,42.0044,PF05057.9|DUF676;PF12697.2|Abhydrolase_6;PF12695.2|Abhydrolase_5,,,,,1,,,,Up,0.0167501,No,Up,0.361628,No,Down,0.16714,No
Ophio5|1062.t1,,261.472,95.2473,105.191,PF04707.9|PRELI,,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Up,0.708127,No
Ophio5|1063.t1,,71.4572,66.7413,93.4204,PF01451.16|LMWPc,,,,,,,,,Down,0.840803,No,Up,0.349734,No,Up,0.240571,No
Ophio5|1064.t1,,278.26,118.543,157.003,PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr,GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,,,,,,,,Down,0.000285532,Yes,Down,0.0166192,No,Up,0.236015,No
Ophio5|1065.t1,,5.96744,4515.41,4694.5,PF11937.3|DUF3455,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Up,0.944611,No
Ophio5|1066.t1,,5.53359,49.656,3.11081,,,,,,6,,,,Up,0.000285532,Yes,Down,0.155624,No,Down,0.000285532,Yes
Ophio5|1067.t1,,0.48416,1.86587,0.990326,,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,,Up,1,No,Up,1,No,Down,1,No
Ophio5|1068.t1,,106.753,104.494,91.6373,PF04124.7|Dor1;PF04124.7|Dor1,GO:0017119|Golgi transport complex,,,,,,,,Down,0.939644,No,Down,0.547638,No,Down,0.613347,No
Ophio5|1069.t1,,658.136,3.26361,2.687,,,,SignalP: has predicted secretion signal,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Down,0.654422,No
Ophio5|107.t1,,82.36,54.5285,67.5305,PF01121.15|CoaE,GO:0015937|coenzyme A biosynthetic process;GO:0004140|dephospho-CoA kinase activity;GO:0005524|ATP binding,,,,1,,,,Down,0.0843727,No,Down,0.434789,No,Up,0.419808,No
Ophio5|1070.t1,,4.06736,3.06388,1.85354,PF00149.23|Metallophos,GO:0016787|hydrolase activity,,,,,,,,Down,0.536899,No,Down,0.067041,No,Down,0.279897,No
Ophio5|1071.t1,,71.8333,34.2888,41.3023,PF03901.12|Glyco_transf_22,"GO:0016757|transferase activity, transferring glycosyl groups",,,,10,,,,Down,0.000770107,Yes,Down,0.0117917,No,Up,0.467998,No
Ophio5|1072.t1,,19.4481,3.96102,5.58571,PF00520.26|Ion_trans,GO:0016020|membrane;GO:0005216|ion channel activity;GO:0006811|ion transport;GO:0055085|transmembrane transport,,,,5,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Up,0.349976,No
Ophio5|1073.t1,,34.3562,24.5479,30.8186,PF04410.9|Gar1,GO:0042254|ribosome biogenesis;GO:0001522|pseudouridine synthesis,,,,,,,,Down,0.145081,No,Down,0.67393,No,Up,0.329263,No
Ophio5|1074.t1,,0.151078,163.631,148.595,PF04389.12|Peptidase_M28,GO:0006508|proteolysis;GO:0008233|peptidase activity,,SignalP: has predicted secretion signal,,,M28A;M28E,,,Up,0.115944,No,Up,0.115944,No,Down,0.785683,No
Ophio5|1075.t1,,13.408,66.2459,52.9076,,,,,,,,,,Up,0.000285532,Yes,Up,0.000535012,Yes,Down,0.510442,No
Ophio5|1076.t1,,27.558,115.701,101.318,PF05916.6|Sld5,,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.634424,No
Ophio5|1077.t1,,8.27445,6.09647,5.67639,PF00172.13|Zn_clus,"GO:0000981|sequence-specific DNA binding RNA polymerase II transcription factor activity;GO:0008270|zinc ion binding;GO:0006355|regulation of transcription, DNA-templated;GO:0005634|nucleus",,,Zn2Cys6,,,,,Down,0.462361,No,Down,0.300894,No,Down,0.88411,No
Ophio5|1078.t1,,54.4238,23.6249,22.3584,,,,,,,,,,Down,0.000997454,Yes,Down,0.000285532,Yes,Down,0.878722,No
Ophio5|1079.t1,,90.1813,470.782,194.357,PF00587.20|tRNA-synt_2b;PF09180.6|ProRS-C_1;PF03129.15|HGTP_anticodon,GO:0004827|proline-tRNA ligase activity;GO:0005737|cytoplasm;GO:0004812|aminoacyl-tRNA ligase activity;GO:0005524|ATP binding;GO:0000166|nucleotide binding;GO:0006418|tRNA aminoacylation for protein translation;GO:0006433|prolyl-tRNA aminoacylation,,,,,,,,Up,0.000285532,Yes,Up,0.000770107,Yes,Down,0.00223648,Yes
Ophio5|108.t1,,121.701,147.986,133.698,PF01532.15|Glyco_hydro_47,"GO:0004571|mannosyl-oligosaccharide 1,2-alpha-mannosidase activity;GO:0016020|membrane;GO:0005509|calcium ion binding",,,,1,,,,Up,0.450389,No,Up,0.736033,No,Down,0.722987,No
Ophio5|1080.t1,,152.139,322.433,308.805,PF00118.19|Cpn60_TCP1,GO:0044267|cellular protein metabolic process;GO:0005524|ATP binding,,,,,,,,Up,0.00714526,Yes,Up,0.00778228,Yes,Down,0.904556,No
Ophio5|1081.t1,,259.811,367.198,446.251,PF00355.21|Rieske;PF02921.9|UCR_TM,"GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0008121|ubiquinol-cytochrome-c reductase activity;GO:0051537|2 iron, 2 sulfur cluster binding",,,,,,,,Up,0.160096,No,Up,0.0190912,No,Up,0.465832,No
Ophio5|1082.t1,,36.0338,38.3905,24.2334,PF10433.4|MMS1_N;PF03178.10|CPSF_A,GO:0003676|nucleic acid binding;GO:0005634|nucleus,,,,,,,,Up,0.831361,No,Down,0.0800484,No,Down,0.0552742,No
Ophio5|1083.t1,,9.06171,5.30038,1.99628,,,,,,,,,,Down,0.102071,No,Down,0.000770107,Yes,Down,0.015407,Yes
Ophio5|1084.t1,,2.33347,26.7738,14.343,,,,,,1,,,,Up,0.000285532,Yes,Up,0.00429103,Yes,Down,0.0978434,No
Ophio5|1085.t1,,190.021,382.141,346.926,PF02434.11|Fringe;PF04646.7|DUF604,"GO:0016757|transferase activity, transferring glycosyl groups;GO:0016020|membrane",,,,1,,,,Up,0.00584804,Yes,Up,0.0167501,No,Down,0.771558,No
Ophio5|1086.t1,,198.307,208.29,171.298,PF08153.7|NGP1NT,,,,,,,,,Up,0.869223,No,Down,0.567859,No,Down,0.434023,No
Ophio5|1087.t1,,49.084,18.3794,11.4841,,,,,,1,,,,Down,0.00584804,Yes,Down,0.000535012,Yes,Down,0.262009,No
Ophio5|1088.t1,,18.9781,27.4833,21.0941,,,,,,,,,,Up,0.409282,No,Up,0.828343,No,Down,0.569354,No
