test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
gene-XA68_10000	gene-XA68_10000	XA68_10000	LAZP02000001.1:115-1058	q1	q2	OK	503.14	452.994	-0.151466	-0.386574	0.69675	0.997914	no
gene-XA68_10001	gene-XA68_10001	XA68_10001	LAZP02000001.1:19942-22307	q1	q2	OK	80.658	57.2131	-0.495472	-1.26589	0.2102	0.997914	no
gene-XA68_10002	gene-XA68_10002	XA68_10002	LAZP02000001.1:22396-23358	q1	q2	OK	122.134	57.0778	-1.09747	-1.68106	0.10145	0.997914	no
gene-XA68_10003	gene-XA68_10003	XA68_10003	LAZP02000001.1:24353-26325	q1	q2	OK	14.5913	4.53767	-1.68509	-3.11916	0.0038	0.245424	no
gene-XA68_10004	gene-XA68_10004	XA68_10004	LAZP02000001.1:26853-27129	q1	q2	NOTEST	0	0	0	0	1	1	no
gene-XA68_10005	gene-XA68_10005	XA68_10005	LAZP02000001.1:27283-27791	q1	q2	NOTEST	0	0.792414	inf	0	1	1	no
gene-XA68_10006	gene-XA68_10006	XA68_10006	LAZP02000001.1:32087-32858	q1	q2	NOTEST	0	0	0	0	1	1	no
gene-XA68_10007	gene-XA68_10007	XA68_10007	LAZP02000001.1:34367-35747	q1	q2	OK	4.71097	4.55328	-0.0491193	-0.0609932	0.95425	0.997914	no
gene-XA68_10008	gene-XA68_10008	XA68_10008	LAZP02000001.1:36282-38834	q1	q2	OK	24.7783	26.169	0.078783	0.188849	0.8485	0.997914	no
gene-XA68_10009	gene-XA68_10009	XA68_10009	LAZP02000001.1:39450-40457	q1	q2	OK	26.1089	40.2483	0.624385	1.1692	0.2423	0.997914	no
gene-XA68_10010	gene-XA68_10010	XA68_10010	LAZP02000001.1:40729-41245	q1	q2	OK	13.2457	8.86987	-0.578539	-0.644807	0.5271	0.997914	no
gene-XA68_10011	gene-XA68_10011	XA68_10011	LAZP02000001.1:2194-3948	q1	q2	OK	290.702	245.775	-0.242208	-0.5582	0.57355	0.997914	no
gene-XA68_10012	gene-XA68_10012	XA68_10012	LAZP02000001.1:41308-42925	q1	q2	OK	8.40655	12.1085	0.526433	0.856103	0.38285	0.997914	no
gene-XA68_10013	gene-XA68_10013	XA68_10013	LAZP02000001.1:43789-46571	q1	q2	OK	27.0913	20.0873	-0.431541	-1.0513	0.29925	0.997914	no
gene-XA68_10014	gene-XA68_10014	XA68_10014	LAZP02000001.1:47141-48174	q1	q2	NOTEST	0.178206	0.0569936	-1.64468	0	1	1	no
