id	proteinId	PFAM	short_name	long_name	Evalue	start	end
1	Beaba1|9068	PF12796	Ank_2	Ankyrin repeats (3 copies)	9.7e-09	180	249
2	Beaba1|9068	PF12796	Ank_2	Ankyrin repeats (3 copies)	6.3e-14	230	316
3	Beaba1|9068	PF13857	Ank_5	Ankyrin repeats (many copies)	2.8e-08	241	293
4	Beaba1|9068	PF13857	Ank_5	Ankyrin repeats (many copies)	1.2e-06	280	326
5	Beaba1|9068	PF13637	Ank_4	Ankyrin repeats (many copies)	1.6e-08	185	238
6	Beaba1|9068	PF13637	Ank_4	Ankyrin repeats (many copies)	9.5e-10	219	272
7	Beaba1|9068	PF00023	Ank	Ankyrin repeat	0.0014	184	215
8	Beaba1|9068	PF00023	Ank	Ankyrin repeat	0.00021	251	283
9	Beaba1|9069	PF12520	DUF3723	Protein of unknown function (DUF3723)	1.2e-05	12	48
10	Beaba1|9071	PF12520	DUF3723	Protein of unknown function (DUF3723)	4.3e-47	62	223
11	Beaba1|9073	PF10551	MULE	MULE transposase domain	2e-24	226	319
12	Beaba1|9073	PF08022	FAD_binding_8	FAD-binding domain	1.3e-09	749	819
13	Beaba1|9074	PF00004	AAA	ATPase family associated with various cellular activities (AAA)	6.9e-06	256	327
14	Beaba1|9074	PF08740	BCS1_N	BCS1 N terminal	7.8e-10	122	184
15	Beaba1|9078	PF00728	Glyco_hydro_20	Glycosyl hydrolase family 20, catalytic domain	2e-20	31	190
16	Beaba1|9078	PF07859	Abhydrolase_3	alpha/beta hydrolase fold	7.6e-14	581	630
17	Beaba1|9079	PF07690	MFS_1	Major Facilitator Superfamily	5.1e-34	83	449
18	Beaba1|908	PF04479	RTA1	RTA1 like protein	1.1e-64	69	279
19	Beaba1|9080	PF11410	Antifungal_pept	Antifungal peptide	1.9e-18	29	61
20	Beaba1|9081	PF01546	Peptidase_M20	Peptidase family M20/M25/M40	2.2e-30	108	439
21	Beaba1|9081	PF07687	M20_dimer	Peptidase dimerisation domain	1.5e-07	245	344
22	Beaba1|9082	PF07687	M20_dimer	Peptidase dimerisation domain	8.9e-19	14	140
23	Beaba1|9084	PF09949	DUF2183	Uncharacterized conserved protein (DUF2183)	2.5e-20	390	483
24	Beaba1|9085	PF07969	Amidohydro_3	Amidohydrolase family	6.5e-66	58	543
25	Beaba1|9085	PF01979	Amidohydro_1	Amidohydrolase family	9.6e-09	196	538
26	Beaba1|9086	PF00172	Zn_clus	Fungal Zn(2)-Cys(6) binuclear cluster domain	6.7e-06	19	50
27	Beaba1|9086	PF04082	Fungal_trans	Fungal specific transcription factor domain	7.4e-06	231	374
28	Beaba1|9087	PF00933	Glyco_hydro_3	Glycosyl hydrolase family 3 N terminal domain	4.5e-89	7	329
29	Beaba1|9088	PF01755	Glyco_transf_25	Glycosyltransferase family 25 (LPS biosynthesis protein)	1.6e-13	79	319
30	Beaba1|9089	PF01375	Enterotoxin_a	Heat-labile enterotoxin alpha chain	5.4e-20	42	205
31	Beaba1|909	PF02127	Peptidase_M18	Aminopeptidase I zinc metalloprotease (M18)	5.4e-164	13	481
32	Beaba1|9091	PF10058	zinc_ribbon_10	Predicted integral membrane zinc-ribbon metal-binding protein	1.4e-16	246	302
33	Beaba1|9092	PF00069	Pkinase	Protein kinase domain	7.2e-23	60	202
34	Beaba1|9092	PF00069	Pkinase	Protein kinase domain	7.9e-16	326	485
35	Beaba1|9092	PF07714	Pkinase_Tyr	Protein tyrosine kinase	4.1e-10	62	212
36	Beaba1|9094	PF08711	Med26	TFIIS helical bundle-like domain	3.2e-12	277	325
37	Beaba1|9095	PF10104	Brr6_like_C_C	Di-sulfide bridge nucleocytoplasmic transport domain	1.6e-38	247	374
38	Beaba1|9096	PF04082	Fungal_trans	Fungal specific transcription factor domain	1.3e-22	331	562
39	Beaba1|9096	PF00172	Zn_clus	Fungal Zn(2)-Cys(6) binuclear cluster domain	6e-08	75	109
40	Beaba1|9099	PF08610	Pex16	Peroxisomal membrane protein (Pex16)	2.9e-140	28	390
41	Beaba1|91	PF00106	adh_short	short chain dehydrogenase	6.6e-24	4	214
42	Beaba1|91	PF13561	adh_short_C2	Enoyl-(Acyl carrier protein) reductase	6.5e-16	9	214
43	Beaba1|91	PF01231	IDO	Indoleamine 2,3-dioxygenase	1.6e-07	390	662
44	Beaba1|910	PF08528	Whi5	Whi5 like	1.5e-09	192	215
45	Beaba1|9101	PF14420	Clr5	Clr5 domain	6.4e-18	20	70
46	Beaba1|9103	PF13468	Glyoxalase_3	Glyoxalase-like domain	9.6e-19	7	218
47	Beaba1|9105	PF07366	SnoaL	SnoaL-like polyketide cyclase	1e-23	12	145
48	Beaba1|9105	PF12680	SnoaL_2	SnoaL-like domain	4.2e-14	14	131
49	Beaba1|9109	PF00199	Catalase	Catalase	1.2e-167	65	450
50	Beaba1|9109	PF06628	Catalase-rel	Catalase-related immune-responsive	4.9e-08	480	542
51	Beaba1|9110	PF11951	Fungal_trans_2	Fungal specific transcription factor domain	1.8e-19	167	368
52	Beaba1|9111	PF00732	GMC_oxred_N	GMC oxidoreductase	7.6e-49	9	310
53	Beaba1|9111	PF05199	GMC_oxred_C	GMC oxidoreductase	2.6e-32	428	566
54	Beaba1|9113	PF12697	Abhydrolase_6	Alpha/beta hydrolase family	1.8e-19	31	311
55	Beaba1|9113	PF00561	Abhydrolase_1	alpha/beta hydrolase fold	6.1e-19	30	146
56	Beaba1|9113	PF12146	Hydrolase_4	Serine aminopeptidase, S33	9.4e-09	27	153
57	Beaba1|9113	PF03096	Ndr	Ndr family	1.4e-08	73	134
58	Beaba1|9114	PF10601	zf-LITAF-like	LITAF-like zinc ribbon domain	5.7e-13	95	161
59	Beaba1|9115	PF00190	Cupin_1	Cupin	2.9e-17	86	212
60	Beaba1|9115	PF00190	Cupin_1	Cupin	1.2e-18	256	392
61	Beaba1|9115	PF07883	Cupin_2	Cupin domain	3.6e-10	109	173
62	Beaba1|9115	PF07883	Cupin_2	Cupin domain	1.2e-12	288	363
63	Beaba1|9117	PF13419	HAD_2	Haloacid dehalogenase-like hydrolase	4.5e-08	12	206
64	Beaba1|9118	PF14226	DIOX_N	non-haem dioxygenase in morphine synthesis N-terminal	7e-30	9	128
65	Beaba1|9118	PF03171	2OG-FeII_Oxy	2OG-Fe(II) oxygenase superfamily	1.1e-18	177	297
66	Beaba1|9119	PF04185	Phosphoesterase	Phosphoesterase family	1.8e-30	51	281
67	Beaba1|9120	PF00561	Abhydrolase_1	alpha/beta hydrolase fold	1.2e-26	38	279
68	Beaba1|9120	PF12697	Abhydrolase_6	Alpha/beta hydrolase family	2.7e-16	39	278
69	Beaba1|9123	PF00005	ABC_tran	ABC transporter	1.7e-15	587	720
70	Beaba1|9123	PF00005	ABC_tran	ABC transporter	1.1e-19	1189	1337
71	Beaba1|9123	PF00664	ABC_membrane	ABC transporter transmembrane region	1e-23	888	1114
72	Beaba1|9124	PF00069	Pkinase	Protein kinase domain	2.8e-30	63	408
73	Beaba1|9125	PF04082	Fungal_trans	Fungal specific transcription factor domain	1e-19	223	500
74	Beaba1|9125	PF00172	Zn_clus	Fungal Zn(2)-Cys(6) binuclear cluster domain	3.2e-07	26	62
75	Beaba1|9127	PF07993	NAD_binding_4	Male sterility protein	8.3e-32	677	912
76	Beaba1|9127	PF00501	AMP-binding	AMP-binding enzyme	1.3e-23	23	344
77	Beaba1|9127	PF01370	Epimerase	NAD dependent epimerase/dehydratase family	3e-11	675	915
78	Beaba1|9127	PF00550	PP-binding	Phosphopantetheine attachment site	0.00034	567	628
79	Beaba1|9129	PF01532	Glyco_hydro_47	Glycosyl hydrolase family 47	4.8e-141	39	509
80	Beaba1|9130	PF00069	Pkinase	Protein kinase domain	4e-09	226	400
81	Beaba1|9132	PF13489	Methyltransf_23	Methyltransferase domain	1.5e-19	29	192
82	Beaba1|9132	PF08242	Methyltransf_12	Methyltransferase domain	3.1e-15	46	140
83	Beaba1|9132	PF13649	Methyltransf_25	Methyltransferase domain	4.1e-15	45	139
84	Beaba1|9132	PF13847	Methyltransf_31	Methyltransferase domain	9.8e-14	41	154
85	Beaba1|9132	PF08241	Methyltransf_11	Methyltransferase domain	3.2e-13	46	142
86	Beaba1|9132	PF01209	Ubie_methyltran	ubiE/COQ5 methyltransferase family	9.4e-06	40	142
87	Beaba1|9132	PF05219	DREV	DREV methyltransferase	3.6e-05	42	140
88	Beaba1|9132	PF05958	tRNA_U5-meth_tr	tRNA (Uracil-5-)-methyltransferase	0.00012	42	101
89	Beaba1|9133	PF17667	Pkinase_fungal	Fungal protein kinase	3.5e-102	104	481
90	Beaba1|9134	PF00241	Cofilin_ADF	Cofilin/tropomyosin-type actin-binding protein	3.9e-22	10	130
91	Beaba1|9135	PF13520	AA_permease_2	Amino acid permease	1.2e-46	51	501
92	Beaba1|9135	PF00324	AA_permease	Amino acid permease	6e-28	55	514
93	Beaba1|9136	PF14815	NUDIX_4	NUDIX domain	8.7e-20	452	572
94	Beaba1|9136	PF00730	HhH-GPD	HhH-GPD superfamily base excision DNA repair protein	9.7e-19	151	280
95	Beaba1|9137	PF09273	Rubis-subs-bind	Rubisco LSMT substrate-binding	1.6e-20	272	395
96	Beaba1|9137	PF01753	zf-MYND	MYND finger	8.4e-10	426	472
97	Beaba1|9137	PF00856	SET	SET domain	1.6e-08	25	240
98	Beaba1|9139	PF00067	p450	Cytochrome P450	4.9e-49	65	503
99	Beaba1|914	PF08450	SGL	SMP-30/Gluconolactonase/LRE-like region	1.8e-59	66	321
100	Beaba1|9143	PF01794	Ferric_reduct	Ferric reductase like transmembrane component	3.2e-17	143	259
101	Beaba1|9143	PF08022	FAD_binding_8	FAD-binding domain	1.3e-11	322	410
102	Beaba1|9143	PF08030	NAD_binding_6	Ferric reductase NAD binding domain	1.6e-07	416	619
103	Beaba1|9145	PF00005	ABC_tran	ABC transporter	1.2e-14	694	829
104	Beaba1|9145	PF00005	ABC_tran	ABC transporter	3.9e-27	1301	1443
105	Beaba1|9145	PF00664	ABC_membrane	ABC transporter transmembrane region	1.7e-19	1005	1217
106	Beaba1|9146	PF00324	AA_permease	Amino acid permease	2e-120	59	525
107	Beaba1|9146	PF13520	AA_permease_2	Amino acid permease	1.9e-22	63	506
108	Beaba1|9149	PF12906	RINGv	RING-variant domain	7.7e-17	39	85
109	Beaba1|915	PF02823	ATP-synt_DE_N	ATP synthase, Delta/Epsilon chain, beta-sandwich domain	6.4e-19	36	107
110	Beaba1|9150	PF04880	NUDE_C	NUDE protein, C-terminal conserved region	3.4e-39	130	268
111	Beaba1|9151	PF08326	ACC_central	Acetyl-CoA carboxylase, central region	3.2e-274	760	1507
112	Beaba1|9151	PF01039	Carboxyl_trans	Carboxyl transferase domain	9e-186	1609	2160
113	Beaba1|9151	PF02786	CPSase_L_D2	Carbamoyl-phosphate synthase L chain, ATP binding domain	1.5e-53	222	405
114	Beaba1|9151	PF00289	Biotin_carb_N	Biotin carboxylase, N-terminal domain	2.6e-27	52	173
115	Beaba1|9151	PF02785	Biotin_carb_C	Biotin carboxylase C-terminal domain	1.4e-19	449	556
116	Beaba1|9151	PF00364	Biotin_lipoyl	Biotin-requiring enzyme	3.1e-15	694	758
117	Beaba1|9151	PF07478	Dala_Dala_lig_C	D-ala D-ala ligase C-terminus	0.00017	232	306
118	Beaba1|9152	PF01722	BolA	BolA-like protein	5.9e-08	98	147
119	Beaba1|9153	PF00082	Peptidase_S8	Subtilase family	1.4e-43	158	579
120	Beaba1|9153	PF06280	fn3_5	Fn3-like domain	1.3e-20	620	732
121	Beaba1|9153	PF02225	PA	PA domain	3.8e-06	393	461
122	Beaba1|5787	PF01428	zf-AN1	AN1-like Zinc finger	5e-13	8	47
123	Beaba1|5788	PF07519	Tannase	Tannase and feruloyl esterase	4.5e-89	53	518
124	Beaba1|5789	PF00441	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	1.8e-12	436	616
125	Beaba1|5789	PF18158	AidB_N	Adaptive response protein AidB N-terminal domain	6.2e-10	141	278
126	Beaba1|5789	PF02770	Acyl-CoA_dh_M	Acyl-CoA dehydrogenase, middle domain	1.3e-09	305	426
127	Beaba1|579	PF09814	HECT_2	HECT-like Ubiquitin-conjugating enzyme (E2)-binding	1.1e-97	17	389
128	Beaba1|5791	PF00962	A_deaminase	Adenosine/AMP deaminase	5.7e-22	387	531
129	Beaba1|5794	PF00069	Pkinase	Protein kinase domain	1.8e-08	179	244
130	Beaba1|5795	PF12998	ING	Inhibitor of growth proteins N-terminal histone-binding	4.7e-22	26	128
131	Beaba1|5797	PF13233	Complex1_LYR_2	Complex1_LYR-like	4.1e-19	29	109
132	Beaba1|5797	PF05347	Complex1_LYR	Complex 1 protein (LYR family)	1.7e-11	30	82
133	Beaba1|5798	PF04408	HA2	Helicase associated domain (HA2)	9.5e-16	535	630
134	Beaba1|5798	PF07717	OB_NTP_bind	Oligonucleotide/oligosaccharide-binding (OB)-fold	5.9e-11	699	770
135	Beaba1|5798	PF00271	Helicase_C	Helicase conserved C-terminal domain	3.2e-10	346	473
136	Beaba1|58	PF01866	Diphthamide_syn	Putative diphthamide synthesis protein	3.3e-86	61	380
137	Beaba1|580	PF14027	Questin_oxidase	Questin oxidase-like	9.3e-64	65	373
138	Beaba1|580	PF03215	Rad17	Rad17 P-loop domain	2.7e-27	623	780
139	Beaba1|5800	PF01633	Choline_kinase	Choline/ethanolamine kinase	4.9e-49	77	302
140	Beaba1|5800	PF01636	APH	Phosphotransferase enzyme family	7.1e-08	121	311
141	Beaba1|5800	PF02958	EcKinase	Ecdysteroid kinase	1.2e-06	143	283
142	Beaba1|5801	PF03178	CPSF_A	CPSF A subunit region	1.5e-68	1058	1406
143	Beaba1|5801	PF10433	MMS1_N	Mono-functional DNA-alkylating methyl methanesulfonate N-term	4.9e-12	142	751
144	Beaba1|5802	PF12796	Ank_2	Ankyrin repeats (3 copies)	2.1e-10	805	868
145	Beaba1|5802	PF13637	Ank_4	Ankyrin repeats (many copies)	6.2e-07	806	858
146	Beaba1|5802	PF13637	Ank_4	Ankyrin repeats (many copies)	3.6e-08	838	891
147	Beaba1|5802	PF13857	Ank_5	Ankyrin repeats (many copies)	6.9e-08	833	878
148	Beaba1|5802	PF13606	Ank_3	Ankyrin repeat	0.00017	837	865
149	Beaba1|5802	PF00023	Ank	Ankyrin repeat	0.00011	837	868
150	Beaba1|5802	PF05729	NACHT	NACHT domain	2.2e-07	377	493
151	Beaba1|5805	PF03031	NIF	NLI interacting factor-like phosphatase	5.7e-43	253	400
152	Beaba1|5807	PF04652	Vta1	Vta1 like	4.3e-50	14	156
153	Beaba1|5807	PF18097	Vta1_C	Vta1 C-terminal domain	1.3e-17	328	363
154	Beaba1|5808	PF12296	HsbA	Hydrophobic surface binding protein A	2.9e-21	23	138
155	Beaba1|5809	PF07690	MFS_1	Major Facilitator Superfamily	1.6e-36	51	415
156	Beaba1|5811	PF08623	TIP120	TATA-binding protein interacting (TIP20)	6.5e-70	1163	1337
157	Beaba1|5812	PF00083	Sugar_tr	Sugar (and other) transporter	1.4e-120	42	539
158	Beaba1|5812	PF07690	MFS_1	Major Facilitator Superfamily	9.3e-14	43	371
159	Beaba1|5812	PF07690	MFS_1	Major Facilitator Superfamily	2.6e-10	342	534
160	Beaba1|5813	PF00291	PALP	Pyridoxal-phosphate dependent enzyme	3.3e-56	45	366
161	Beaba1|5813	PF01546	Peptidase_M20	Peptidase family M20/M25/M40	1.9e-26	453	756
162	Beaba1|5813	PF07687	M20_dimer	Peptidase dimerisation domain	1.2e-15	552	659
163	Beaba1|5814	PF05920	Homeobox_KN	Homeobox KN domain	4.7e-17	248	287
164	Beaba1|5814	PF00046	Homeodomain	Homeodomain	5e-10	238	289
165	Beaba1|5815	PF13578	Methyltransf_24	Methyltransferase domain	3.9e-12	82	194
166	Beaba1|5815	PF01596	Methyltransf_3	O-methyltransferase	5.7e-05	59	194
167	Beaba1|5816	PF07690	MFS_1	Major Facilitator Superfamily	1.6e-13	209	616
168	Beaba1|5817	PF13602	ADH_zinc_N_2	Zinc-binding dehydrogenase	7.9e-14	220	370
169	Beaba1|5817	PF00107	ADH_zinc_N	Zinc-binding dehydrogenase	1.2e-10	186	280
170	Beaba1|5818	PF00209	SNF	Sodium:neurotransmitter symporter family	4.8e-78	169	595
171	Beaba1|5819	PF01521	Fe-S_biosyn	Iron-sulphur cluster biosynthesis	1.1e-18	149	248
172	Beaba1|582	PF13472	Lipase_GDSL_2	GDSL-like Lipase/Acylhydrolase family	1.9e-18	13	188
173	Beaba1|582	PF00657	Lipase_GDSL	GDSL-like Lipase/Acylhydrolase	1.3e-07	11	194
174	Beaba1|5820	PF11951	Fungal_trans_2	Fungal specific transcription factor domain	1.4e-17	164	595
175	Beaba1|5820	PF00172	Zn_clus	Fungal Zn(2)-Cys(6) binuclear cluster domain	6.3e-06	15	43
176	Beaba1|5821	PF01408	GFO_IDH_MocA	Oxidoreductase family, NAD-binding Rossmann fold	1.1e-26	6	124
177	Beaba1|5821	PF02894	GFO_IDH_MocA_C	Oxidoreductase family, C-terminal alpha/beta domain	2.3e-11	138	218
178	Beaba1|5821	PF03447	NAD_binding_3	Homoserine dehydrogenase, NAD binding domain	1.6e-05	30	120
179	Beaba1|5821	PF01118	Semialdhyde_dh	Semialdehyde dehydrogenase, NAD binding domain	8.1e-05	7	95
180	Beaba1|5822	PF07690	MFS_1	Major Facilitator Superfamily	4.7e-25	115	491
181	Beaba1|5823	PF13460	NAD_binding_10	NAD(P)H-binding	1.2e-08	12	130
182	Beaba1|5824	PF13279	4HBT_2	Thioesterase-like superfamily	1.8e-21	108	240
183	Beaba1|5825	PF00722	Glyco_hydro_16	Glycosyl hydrolases family 16	1.1e-14	76	267
184	Beaba1|5826	PF00106	adh_short	short chain dehydrogenase	5.9e-35	13	208
185	Beaba1|5826	PF13561	adh_short_C2	Enoyl-(Acyl carrier protein) reductase	4.3e-24	18	207
186	Beaba1|5826	PF08659	KR	KR domain	6e-06	13	182
187	Beaba1|5827	PF07690	MFS_1	Major Facilitator Superfamily	1.6e-11	69	354
188	Beaba1|5827	PF06609	TRI12	Fungal trichothecene efflux pump (TRI12)	2.2e-08	102	482
189	Beaba1|5828	PF12776	Myb_DNA-bind_3	Myb/SANT-like DNA-binding domain	6.9e-25	29	123
190	Beaba1|5829	PF17304	DUF5353	Family of unknown function (DUF5353)	2.6e-09	145	205
191	Beaba1|583	PF01399	PCI	PCI domain	9.3e-11	295	362
