id	proteinId	clusterId	secmet_type
1	Beaba1|962	1	Decorating
2	Beaba1|963	1	NRPS-like
3	Beaba1|964	1	
4	Beaba1|965	1	Decorating
5	Beaba1|966	1	Decorating
6	Beaba1|967	1	PKS
7	Beaba1|1009	2	Decorating
8	Beaba1|1010	2	PKS
9	Beaba1|1805	3	Decorating
10	Beaba1|1806	3	
11	Beaba1|1807	3	
12	Beaba1|1808	3	Decorating
13	Beaba1|1809	3	
14	Beaba1|1810	3	NRPS
15	Beaba1|1811	3	
16	Beaba1|1812	3	
17	Beaba1|1813	3	
18	Beaba1|1814	3	Decorating
19	Beaba1|1836	4	Decorating
20	Beaba1|1837	4	
21	Beaba1|1838	4	
22	Beaba1|1839	4	
23	Beaba1|1840	4	
24	Beaba1|1841	4	PKS
25	Beaba1|2625	5	Decorating
26	Beaba1|2626	5	
27	Beaba1|2627	5	
28	Beaba1|2628	5	
29	Beaba1|2629	5	
30	Beaba1|2630	5	NRPS
31	Beaba1|3613	6	Decorating
32	Beaba1|3614	6	
33	Beaba1|3615	6	Decorating
34	Beaba1|3616	6	PKS
35	Beaba1|3617	6	Decorating
36	Beaba1|3662	7	Decorating
37	Beaba1|3663	7	
38	Beaba1|3664	7	
39	Beaba1|3665	7	
40	Beaba1|3666	7	Decorating
41	Beaba1|3667	7	
42	Beaba1|3668	7	
43	Beaba1|3669	7	Decorating
44	Beaba1|3670	7	Decorating
45	Beaba1|3671	7	NRPS
46	Beaba1|3799	8	Decorating
47	Beaba1|3800	8	
48	Beaba1|3801	8	
49	Beaba1|3802	8	
50	Beaba1|3803	8	
51	Beaba1|3804	8	
52	Beaba1|3805	8	Decorating
53	Beaba1|3806	8	Decorating
54	Beaba1|3807	8	Decorating
55	Beaba1|3808	8	Decorating
56	Beaba1|3809	8	
57	Beaba1|3810	8	PKS
58	Beaba1|3811	8	Decorating
59	Beaba1|4024	9	Decorating
60	Beaba1|4025	9	
61	Beaba1|4026	9	
62	Beaba1|4027	9	
63	Beaba1|4028	9	NRPS-like
64	Beaba1|4322	10	Decorating
65	Beaba1|4323	10	
66	Beaba1|4324	10	
67	Beaba1|4325	10	
68	Beaba1|4326	10	
69	Beaba1|4327	10	PKS-like
70	Beaba1|4328	10	Decorating
71	Beaba1|4370	11	Decorating
72	Beaba1|4371	11	Decorating
73	Beaba1|4372	11	
74	Beaba1|4373	11	
75	Beaba1|4374	11	PKS
76	Beaba1|4375	11	Decorating
77	Beaba1|4825	12	Decorating
78	Beaba1|4826	12	
79	Beaba1|4827	12	NRPS
80	Beaba1|4828	12	Decorating
81	Beaba1|4829	12	Decorating
82	Beaba1|5011	13	Decorating
83	Beaba1|5012	13	
84	Beaba1|5013	13	Decorating
85	Beaba1|5014	13	
86	Beaba1|5015	13	Decorating
87	Beaba1|5016	13	
88	Beaba1|5017	13	
89	Beaba1|5018	13	
90	Beaba1|5019	13	
91	Beaba1|5020	13	NRPS
92	Beaba1|5173	14	Decorating
93	Beaba1|5174	14	
94	Beaba1|5175	14	
95	Beaba1|5176	14	PKS-NRPS hybrid
96	Beaba1|5178	15	Decorating
97	Beaba1|5179	15	NRPS-like
98	Beaba1|5939	16	Decorating
99	Beaba1|5940	16	
100	Beaba1|5941	16	PKS-like
101	Beaba1|5942	16	
102	Beaba1|5943	16	
103	Beaba1|5944	16	
104	Beaba1|5945	16	
105	Beaba1|5946	16	
106	Beaba1|5947	16	Decorating
107	Beaba1|6613	17	PKS
108	Beaba1|6614	17	
109	Beaba1|6615	17	
110	Beaba1|6616	17	Decorating
111	Beaba1|6617	17	
112	Beaba1|6618	17	
113	Beaba1|6619	17	
114	Beaba1|6620	17	Decorating
115	Beaba1|6725	18	Decorating
116	Beaba1|6726	18	Decorating
117	Beaba1|6727	18	NRPS
118	Beaba1|6883	19	Decorating
119	Beaba1|6884	19	
120	Beaba1|6885	19	
121	Beaba1|6886	19	
122	Beaba1|6887	19	PKS-like
123	Beaba1|6888	19	
124	Beaba1|6889	19	
125	Beaba1|6890	19	Decorating
126	Beaba1|6991	20	Decorating
127	Beaba1|6992	20	Decorating
128	Beaba1|6993	20	Decorating
129	Beaba1|6994	20	Decorating
130	Beaba1|6995	20	
131	Beaba1|6996	20	
