"","gene_ID_robin","gene_ID_ncbi","cluster"
"1","Ophcf2|00001","GQ602_000001",NA
"2","Ophcf2|00002","GQ602_000002",NA
"3","Ophcf2|00003","GQ602_000003",NA
"4","Ophcf2|00004","GQ602_000004",NA
"5","Ophcf2|00005","GQ602_000005",NA
"6","Ophcf2|00006","GQ602_000006",NA
"7","Ophcf2|00007","GQ602_000007",NA
"8","Ophcf2|00008","GQ602_000008",NA
"9","Ophcf2|00009","GQ602_000009",NA
"10","Ophcf2|00010","GQ602_000010",1
"11","Ophcf2|00011","GQ602_000011",NA
"12","Ophcf2|00012","GQ602_000012",NA
"13","Ophcf2|00013","GQ602_000013",NA
"14","Ophcf2|00014","GQ602_000014",NA
"15","Ophcf2|00015","GQ602_000015",NA
"16","Ophcf2|00016","GQ602_000016",NA
"17","Ophcf2|00017","GQ602_000017",NA
"18","Ophcf2|00018","GQ602_000018",NA
"19","Ophcf2|00019","GQ602_000019",NA
"20","Ophcf2|00020","GQ602_000020",NA
"21","Ophcf2|00021","GQ602_000021",NA
"22","Ophcf2|00022","GQ602_000022",NA
"23","Ophcf2|00023","GQ602_000023",NA
"24","Ophcf2|00024","GQ602_000024",NA
"25","Ophcf2|00025","GQ602_000025",NA
"26","Ophcf2|00026","GQ602_000026",NA
"27","Ophcf2|00027","GQ602_000027",NA
"28","Ophcf2|00028","GQ602_000028",NA
"29","Ophcf2|00029","GQ602_000029",NA
"30","Ophcf2|00030","GQ602_000030",NA
"31","Ophcf2|00031","GQ602_000031",NA
"32","Ophcf2|00032","GQ602_000032",NA
"33","Ophcf2|00033","GQ602_000033",NA
"34","Ophcf2|00034","GQ602_000034",NA
"35","Ophcf2|00035","GQ602_000035",NA
"36","Ophcf2|00036","GQ602_000036",NA
"37","Ophcf2|00037","GQ602_000037",NA
"38","Ophcf2|00038","GQ602_000038",NA
"39","Ophcf2|00039","GQ602_000039",NA
"40","Ophcf2|00040","GQ602_000040",NA
"41","Ophcf2|00041","GQ602_000041",NA
"42","Ophcf2|00042","GQ602_000042",NA
"43","Ophcf2|00043","GQ602_000043",NA
"44","Ophcf2|00044","GQ602_000044",NA
"45","Ophcf2|00045","GQ602_000045",NA
"46","Ophcf2|00046","GQ602_000046",NA
"47","Ophcf2|00047","GQ602_000047",NA
"48","Ophcf2|00048","GQ602_000048",NA
"49","Ophcf2|00049","GQ602_000049",NA
"50","Ophcf2|00050","GQ602_000050",NA
"51","Ophcf2|00051","GQ602_000051",NA
"52","Ophcf2|00052","GQ602_000052",NA
"53","Ophcf2|00053","GQ602_000053",NA
"54","Ophcf2|00054","GQ602_000054",NA
"55","Ophcf2|00055","GQ602_000055",NA
"56","Ophcf2|00056","GQ602_000056",NA
"57","Ophcf2|00057","GQ602_000057",NA
"58","Ophcf2|00058","GQ602_000058",NA
"59","Ophcf2|00059","GQ602_000059",NA
"60","Ophcf2|00060","GQ602_000060",NA
"61","Ophcf2|00061","GQ602_000061",1
"62","Ophcf2|00062","GQ602_000062",NA
"63","Ophcf2|00063","GQ602_000063",NA
"64","Ophcf2|00064","GQ602_000064",NA
"65","Ophcf2|00065","GQ602_000065",NA
"66","Ophcf2|00066","GQ602_000066",NA
"67","Ophcf2|00067","GQ602_000067",NA
"68","Ophcf2|00068","GQ602_000068",NA
"69","Ophcf2|00069","GQ602_000069",NA
"70","Ophcf2|00070","GQ602_000070",NA
"71","Ophcf2|00071","GQ602_000071",NA
"72","Ophcf2|00072","GQ602_000072",NA
"73","Ophcf2|00073","GQ602_000073",2
"74","Ophcf2|00074","GQ602_000074",NA
"75","Ophcf2|00075","GQ602_000075",NA
"76","Ophcf2|00076","GQ602_000076",NA
"77","Ophcf2|00077","GQ602_000077",NA
"78","Ophcf2|00078","GQ602_000078",NA
"79","Ophcf2|00079","GQ602_000079",NA
"80","Ophcf2|00080","GQ602_000080",NA
"81","Ophcf2|00081","GQ602_000081",NA
"82","Ophcf2|00082","GQ602_000082",NA
"83","Ophcf2|00083","GQ602_000083",NA
"84","Ophcf2|00084","GQ602_000084",NA
"85","Ophcf2|00085","GQ602_000085",NA
"86","Ophcf2|00086","GQ602_000086",NA
"87","Ophcf2|00087","GQ602_000087",NA
"88","Ophcf2|00088","GQ602_000088",NA
"89","Ophcf2|00089","GQ602_000089",NA
"90","Ophcf2|00090","GQ602_000090",NA
"91","Ophcf2|00091","GQ602_000091",NA
"92","Ophcf2|00092","GQ602_000092",NA
"93","Ophcf2|00093","GQ602_000093",NA
"94","Ophcf2|00094","GQ602_000094",NA
"95","Ophcf2|00095","GQ602_000095",NA
"96","Ophcf2|00096","GQ602_000096",NA
"97","Ophcf2|00097","GQ602_000097",NA
"98","Ophcf2|00098","GQ602_000098",NA
"99","Ophcf2|00099","GQ602_000099",NA
"100","Ophcf2|00100","GQ602_000100",NA
"101","Ophcf2|00101","GQ602_000101",NA
"102","Ophcf2|00102","GQ602_000102",3
"103","Ophcf2|00103","GQ602_000103",NA
"104","Ophcf2|00104","GQ602_000104",NA
"105","Ophcf2|00105","GQ602_000105",NA
"106","Ophcf2|00106","GQ602_000106",NA
"107","Ophcf2|00107","GQ602_000107",NA
"108","Ophcf2|00108","GQ602_000108",NA
"109","Ophcf2|00109","GQ602_000109",NA
"110","Ophcf2|00110","GQ602_000110",NA
"111","Ophcf2|00111","GQ602_000111",NA
"112","Ophcf2|00112","GQ602_000112",NA
"113","Ophcf2|00113","GQ602_000113",NA
"114","Ophcf2|00114","GQ602_000114",NA
"115","Ophcf2|00115","GQ602_000115",NA
"116","Ophcf2|00116","GQ602_000116",NA
"117","Ophcf2|00117","GQ602_000117",NA
"118","Ophcf2|00118","GQ602_000118",NA
"119","Ophcf2|00119","GQ602_000119",1
"120","Ophcf2|00120","GQ602_000120",NA
"121","Ophcf2|00121","GQ602_000121",NA
"122","Ophcf2|00122","GQ602_000122",NA
"123","Ophcf2|00123","GQ602_000123",NA
"124","Ophcf2|00124","GQ602_000124",NA
"125","Ophcf2|00125","GQ602_000125",NA
"126","Ophcf2|00126","GQ602_000126",NA
"127","Ophcf2|00127","GQ602_000127",NA
"128","Ophcf2|00128","GQ602_000128",NA
