"ophio_gene","beau_gene","ophio_desc","beau_desc","ophcf2_protein","beau_protein","evalue_ab","bitscore_ab","evalue_ba","bitscore_ba"
"GQ602_007450","BBA_02536","hypothetical protein GQ602_007450","micro-fibrillar-associated protein 1","KAF4580299.1","XP_008595855.1",1.77e-71,231,9.84e-93,285
"GQ602_007419","BBA_04717","GTP-binding protein EsdC","GTP-binding protein EsdC","KAF4580359.1","XP_008598036.1",1.11e-103,305,1.56e-105,310
"GQ602_007422","BBA_04714","hypothetical protein GQ602_007422","hypothetical protein BBA_04714","KAF4580362.1","XP_008598033.1",1e-121,378,1.17e-123,382
"GQ602_006936","BBA_09146","amino acid permease","amino acid permease","KAF4580799.1","XP_008602465.1",0,778,0,778
"GQ602_006937","BBA_09147","transcription factor hoxa13","transcription factor hoxa13","KAF4580800.1","XP_008602466.1",1.21e-179,542,0,570
"GQ602_006938","BBA_09149","RING finger membrane protein","RING finger membrane protein","KAF4580801.1","XP_008602468.1",0,1082,0,1087
"GQ602_006939","BBA_09151","Acetyl-CoA carboxylase","acetyl-CoA carboxylase","KAF4580802.1","XP_008602470.1",0,3914,0,3929
"GQ602_006940","BBA_09152","Altered inheritance of mitochondria protein 1","BolA-like protein","KAF4580803.1","XP_008602471.1",2.51e-35,117,2.5e-36,120
"GQ602_006941","BBA_09153","subtilisin-like serine protease PR1C","subtilisin-like serine protease PR1C","KAF4580804.1","XP_008602472.1",0,810,0,810
"GQ602_006942","BBA_09154","HET-s/LopB domain-containing protein","HET-s/LopB domain-containing protein","KAF4580805.1","XP_008602473.1",0,1054,0,1063
"GQ602_006943","BBA_09156","Coiled-coil domain-containing protein 25","coiled-coil domain-containing protein","KAF4580806.1","XP_008602475.1",2.09e-106,305,5.18e-107,306
"GQ602_006944","BBA_09157","velvet factor domain-containing protein","hypothetical protein BBA_09157","KAF4580807.1","XP_008602476.1",3.74e-30,105,2.66e-30,105
"GQ602_006945","BBA_09160","Peptidase M24, structural domain protein","metallopeptidase family M24","KAF4580808.1","XP_008602479.1",0,618,0,598
"GQ602_006947","BBA_09405","hypothetical protein GQ602_006947","alkaline phytoceramidase","KAF4580810.1","XP_008602724.1",2.32e-131,372,1.62e-131,372
