gene_ID_robin,gene_ID_ncbi,module_identity,GCN,start,end
Ophcf2|00002,GQ602_000002,brown,ophio_cflo,9796,12754
Ophcf2|00009,GQ602_000009,brown,ophio_cflo,31512,33649
Ophcf2|00010,GQ602_000010,brown,ophio_cflo,33735,35358
Ophcf2|00012,GQ602_000012,brown,ophio_cflo,38318,40364
Ophcf2|00016,GQ602_000016,brown,ophio_cflo,51469,53345
Ophcf2|00018,GQ602_000018,brown,ophio_cflo,57241,58908
Ophcf2|00022,GQ602_000022,brown,ophio_cflo,67369,69027
Ophcf2|00030,GQ602_000030,brown,ophio_cflo,88619,89594
Ophcf2|00034,GQ602_000034,brown,ophio_cflo,96423,97593
Ophcf2|00035,GQ602_000035,brown,ophio_cflo,98345,99853
Ophcf2|00037,GQ602_000037,brown,ophio_cflo,104150,104995
Ophcf2|00049,GQ602_000049,brown,ophio_cflo,126556,127785
Ophcf2|00056,GQ602_000056,brown,ophio_cflo,145256,146862
Ophcf2|00064,GQ602_000064,brown,ophio_cflo,167654,169924
Ophcf2|00068,GQ602_000068,brown,ophio_cflo,174346,176160
Ophcf2|00070,GQ602_000070,brown,ophio_cflo,177767,179701
Ophcf2|00075,GQ602_000075,brown,ophio_cflo,191114,197785
Ophcf2|00076,GQ602_000076,brown,ophio_cflo,199328,200955
Ophcf2|00082,GQ602_000082,brown,ophio_cflo,349830,351712
Ophcf2|00091,GQ602_000091,brown,ophio_cflo,690209,692803
Ophcf2|00092,GQ602_000092,brown,ophio_cflo,715388,717010
Ophcf2|00112,GQ602_000112,brown,ophio_cflo,872023,874200
Ophcf2|00113,GQ602_000113,brown,ophio_cflo,876364,880301
Ophcf2|00120,GQ602_000120,brown,ophio_cflo,893296,894699
Ophcf2|00127,GQ602_000127,brown,ophio_cflo,945124,946799
Ophcf2|00135,GQ602_000135,brown,ophio_cflo,967672,969780
Ophcf2|00140,GQ602_000140,brown,ophio_cflo,986454,987836
Ophcf2|00142,GQ602_000142,brown,ophio_cflo,990825,992729
Ophcf2|00157,GQ602_000157,brown,ophio_cflo,1044189,1044836
Ophcf2|00161,GQ602_000161,brown,ophio_cflo,1058470,1059231
Ophcf2|00165,GQ602_000165,brown,ophio_cflo,1064905,1065652
Ophcf2|00173,GQ602_000173,brown,ophio_cflo,1080611,1081948
Ophcf2|00178,GQ602_000178,brown,ophio_cflo,1095790,1099884
Ophcf2|00180,GQ602_000180,brown,ophio_cflo,1102337,1102998
Ophcf2|00189,GQ602_000189,brown,ophio_cflo,1125561,1129159
Ophcf2|00194,GQ602_000194,brown,ophio_cflo,1145984,1148428
Ophcf2|00205,GQ602_000205,brown,ophio_cflo,1175138,1176991
Ophcf2|00217,GQ602_000217,brown,ophio_cflo,1204904,1205503
Ophcf2|00229,GQ602_000229,brown,ophio_cflo,1236132,1236904
Ophcf2|00256,GQ602_000256,brown,ophio_cflo,1302015,1303002
Ophcf2|00257,GQ602_000257,brown,ophio_cflo,1303714,1305013
Ophcf2|00264,GQ602_000264,brown,ophio_cflo,1321710,1322519
Ophcf2|00282,GQ602_000282,brown,ophio_cflo,1364099,1365333
Ophcf2|00301,GQ602_000301,brown,ophio_cflo,1417308,1419344
Ophcf2|00302,GQ602_000302,brown,ophio_cflo,1419579,1421247
Ophcf2|00305,GQ602_000305,brown,ophio_cflo,1428789,1430432
Ophcf2|00307,GQ602_000307,brown,ophio_cflo,1436354,1437101
Ophcf2|00308,GQ602_000308,brown,ophio_cflo,1438982,1440611
Ophcf2|00325,GQ602_000325,brown,ophio_cflo,1487115,1489569
Ophcf2|00326,GQ602_000326,brown,ophio_cflo,1490929,1492271
Ophcf2|00328,GQ602_000328,brown,ophio_cflo,1495258,1496983
Ophcf2|00332,GQ602_000332,brown,ophio_cflo,1504767,1505153
Ophcf2|00340,GQ602_000340,brown,ophio_cflo,1519943,1520867
Ophcf2|00344,GQ602_000344,brown,ophio_cflo,1529031,1531357
Ophcf2|00345,GQ602_000345,brown,ophio_cflo,1533550,1534736
Ophcf2|00356,GQ602_000356,brown,ophio_cflo,1555182,1556544
Ophcf2|00369,GQ602_000369,brown,ophio_cflo,1587663,1588436
Ophcf2|00381,GQ602_000381,brown,ophio_cflo,1627826,1628659
Ophcf2|00391,GQ602_000391,brown,ophio_cflo,1655871,1659058
Ophcf2|00406,GQ602_000406,brown,ophio_cflo,1702309,1703876
Ophcf2|00411,GQ602_000411,brown,ophio_cflo,1721721,1725485
