module_identity,kTotal,enriched_in_module,gene_name,gene_desc,rhy_ocflo_okim,rhy_ocflo_beau_cluster3,rhy_ocflo_beau_cluster4,inf_v_control,abs_log2FC,control_rhy24,inf_rhy24,signalP,SSP,TMHMM,arb2_gene,GOs,pfams,sc16a_homolog,BH_pval,control_pval,inf_pval
OC1,271.87,Abhydrolase_3,GQ602_002171,Alpha/beta hydrolase fold-3,yes,yes,no,NA,0.481625449,yes,NA,NA,NA,NA,Ophcf2|02171,GO:0003824|catalytic activity; GO:0003674|molecular_function; GO:0016787|hydrolase activity;,PF07859|Abhydrolase_3;,Ophio5|4491,0.05190568,0.002997003,NA
OC1,233.45,Abhydrolase_3,GQ602_001250,AB hydrolase superfamily protein C4A8.06c,no,no,no,NA,0.215702522,NA,yes,NA,NA,NA,Ophcf2|01250,GO:0003824|catalytic activity; GO:0003674|molecular_function; GO:0016787|hydrolase activity;,PF10340|Say1_Mug180; PF07859|Abhydrolase_3;,Ophio5|2200,0.011138798,NA,0.014518351
OC1,232.2,Abhydrolase_3,GQ602_003677,Hormone-sensitive lipase,yes,no,no,NA,0.74663528,yes,NA,NA,NA,NA,Ophcf2|03677,GO:0003824|catalytic activity; GO:0003674|molecular_function; GO:0016787|hydrolase activity;,PF07859|Abhydrolase_3;,Ophio5|6087,1.43E-08,0.0136888,NA
OC1,126.71,Abhydrolase_3,GQ602_004096,carboxylesterase domain-containing protein,no,no,no,down,1.865775484,NA,NA,Has signal peptide;,NA,NA,Ophcf2|04096,GO:0003824|catalytic activity; GO:0003674|molecular_function; GO:0016787|hydrolase activity;,PF07859|Abhydrolase_3; PF00135|COesterase;,Ophio5|3990,2.54E-10,NA,NA
OC1,115.95,Abhydrolase_3,GQ602_003180,Kynurenine formamidase,no,no,no,NA,0.215755633,NA,NA,Has signal peptide;,Small secreted protein;,NA,Ophcf2|03180,GO:0003824|catalytic activity; GO:0003674|molecular_function; GO:0016787|hydrolase activity;,PF07859|Abhydrolase_3;,Ophio5|422,0.405722994,NA,NA
OC1,92.81,Abhydrolase_3,GQ602_001658,related to lipase 2,no,no,no,up,5.305130684,yes,NA,NA,NA,NA,Ophcf2|01658,"GO:0003674|molecular_function; GO:0033015|tetrapyrrole catabolic process; GO:0009056|catabolic process; GO:0046149|pigment catabolic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:1901361|organic cyclic compound catabolic process; GO:0016787|hydrolase activity; GO:0052689|carboxylic ester hydrolase activity; GO:0006787|porphyrin-containing compound catabolic process; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0015994|chlorophyll metabolic process; GO:0006725|cellular aromatic compound metabolic process; GO:0019439|aromatic compound catabolic process; GO:0046483|heterocycle metabolic process; GO:0006778|porphyrin-containing compound metabolic process; GO:0003824|catalytic activity; GO:0016788|hydrolase activity, acting on ester bonds; GO:0042440|pigment metabolic process; GO:1901575|organic substance catabolic process; GO:0034641|cellular nitrogen compound metabolic process; GO:0051186|cofactor metabolic process; GO:1901565|organonitrogen compound catabolic process; GO:0033013|tetrapyrrole metabolic process; GO:0008150|biological_process; GO:0044270|cellular nitrogen compound catabolic process; GO:0046700|heterocycle catabolic process; GO:1901360|organic cyclic compound metabolic process; GO:0047746|chlorophyllase activity; GO:1901564|organonitrogen compound metabolic process; GO:0051187|cofactor catabolic process; GO:0008152|metabolic process; GO:0044248|cellular catabolic process; GO:0015996|chlorophyll catabolic process;",PF07859|Abhydrolase_3; PF07224|Chlorophyllase;,Ophio5|3691,2.74E-09,0.03420442,NA
OC1,252.98,Enterotoxin_a,GQ602_003537,putative enterotoxin,yes,no,no,down,2.329986654,yes,NA,Has signal peptide;,NA,NA,Ophcf2|03537,GO:0044419|interspecies interaction between organisms; GO:0005575|cellular_component; GO:0003674|molecular_function; GO:0044421|extracellular region part; GO:0008150|biological_process; GO:0009405|pathogenesis; GO:0051704|multi-organism process; GO:0090729|toxin activity; GO:0005615|extracellular space;,PF01375|Enterotoxin_a;,Ophio5|8387,1.19E-09,0.021846184,NA
OC1,251.69,Enterotoxin_a,GQ602_006320,putative enterotoxin,yes,no,no,NA,0.756317296,yes,NA,NA,NA,NA,Ophcf2|06320,GO:0044419|interspecies interaction between organisms; GO:0005575|cellular_component; GO:0003674|molecular_function; GO:0044421|extracellular region part; GO:0008150|biological_process; GO:0009405|pathogenesis; GO:0051704|multi-organism process; GO:0090729|toxin activity; GO:0005615|extracellular space;,PF01375|Enterotoxin_a;,Ophio5|956,0.001213553,0.021846184,NA
OC1,247.06,Enterotoxin_a,GQ602_007020,putative enterotoxin,no,no,no,NA,0.56295391,yes,NA,Has signal peptide;,Small secreted protein;,NA,Ophcf2|07020,GO:0044419|interspecies interaction between organisms; GO:0005575|cellular_component; GO:0003674|molecular_function; GO:0044421|extracellular region part; GO:0008150|biological_process; GO:0009405|pathogenesis; GO:0051704|multi-organism process; GO:0090729|toxin activity; GO:0005615|extracellular space;,PF01375|Enterotoxin_a;,Ophio5|6913,1.36E-05,0.03420442,NA
OC1,244.35,Enterotoxin_a,GQ602_004973,putative enterotoxin,no,no,no,down,4.433418814,yes,NA,NA,NA,NA,Ophcf2|04973,GO:0044419|interspecies interaction between organisms; GO:0005575|cellular_component; GO:0003674|molecular_function; GO:0044421|extracellular region part; GO:0008150|biological_process; GO:0009405|pathogenesis; GO:0051704|multi-organism process; GO:0090729|toxin activity; GO:0005615|extracellular space;,PF01375|Enterotoxin_a;,Ophio5|576,2.74E-17,0.021846184,NA
OC1,237.17,Enterotoxin_a,GQ602_004085,putative enterotoxin,no,no,no,down,1.073650006,yes,NA,Has signal peptide;,NA,NA,Ophcf2|04085,GO:0044419|interspecies interaction between organisms; GO:0005575|cellular_component; GO:0003674|molecular_function; GO:0044421|extracellular region part; GO:0008150|biological_process; GO:0009405|pathogenesis; GO:0051704|multi-organism process; GO:0090729|toxin activity; GO:0005615|extracellular space;,PF01375|Enterotoxin_a;,Ophio5|373,0.001511647,0.001787129,NA
OC1,236.78,Enterotoxin_a,GQ602_000452,protein-tyrosine phosphatase,no,no,no,down,4.186397969,yes,NA,NA,NA,1;,Ophcf2|00452,GO:0044419|interspecies interaction between organisms; GO:0005575|cellular_component; GO:0003674|molecular_function; GO:0044421|extracellular region part; GO:0008150|biological_process; GO:0009405|pathogenesis; GO:0051704|multi-organism process; GO:0090729|toxin activity; GO:0005615|extracellular space;,PF01375|Enterotoxin_a;,Ophio5|3590,1.48E-21,0.005101588,NA
OC1,157.87,Enterotoxin_a,GQ602_000135,putative enterotoxin,no,no,no,NA,0.034654743,NA,NA,Has signal peptide;,NA,1;,Ophcf2|00135,GO:0044419|interspecies interaction between organisms; GO:0005575|cellular_component; GO:0003674|molecular_function; GO:0044421|extracellular region part; GO:0008150|biological_process; GO:0009405|pathogenesis; GO:0051704|multi-organism process; GO:0090729|toxin activity; GO:0005615|extracellular space;,PF01375|Enterotoxin_a;,Ophio5|3803,0.791588583,NA,NA
OC1,135.85,Enterotoxin_a,GQ602_001143,Ran-binding-domain-containing protein,no,no,no,NA,0.355776744,yes,NA,NA,NA,NA,Ophcf2|01143,GO:0044419|interspecies interaction between organisms; GO:0005575|cellular_component; GO:0003674|molecular_function; GO:0044421|extracellular region part; GO:0008150|biological_process; GO:0009405|pathogenesis; GO:0051704|multi-organism process; GO:0090729|toxin activity; GO:0005615|extracellular space;,PF01375|Enterotoxin_a; PF05508|Ran-binding;,Ophio5|6433,0.002051215,0.03420442,NA
