proteinId	Cmax	Cmax_pos	Ymax	Ymax_pos	Smax	Smax_pos	Smean	D	signal_predicted	Dmaxcut	networks_used	SSP
Beaba1|1	0.124	25	0.144	17	0.21	4	0.169	0.158	N	0.45	SignalP-noTM	N
Beaba1|10	0.125	26	0.115	26	0.148	7	0.109	0.112	N	0.45	SignalP-noTM	N
Beaba1|100	0.325	47	0.191	47	0.163	18	0.119	0.152	N	0.45	SignalP-noTM	N
Beaba1|1000	0.112	59	0.111	14	0.137	10	0.114	0.113	N	0.45	SignalP-noTM	N
Beaba1|10000	0.119	32	0.109	32	0.126	30	0.102	0.105	N	0.45	SignalP-noTM	N
Beaba1|10001	0.11	47	0.119	47	0.138	50	0.115	0.117	N	0.45	SignalP-noTM	N
Beaba1|10002	0.186	34	0.143	34	0.164	33	0.109	0.124	N	0.45	SignalP-noTM	N
Beaba1|10003	0.176	37	0.169	27	0.292	15	0.243	0.199	N	0.5	SignalP-TM	N
Beaba1|10004	0.11	40	0.129	12	0.168	3	0.146	0.138	N	0.45	SignalP-noTM	N
Beaba1|10005	0.137	51	0.118	51	0.128	47	0.099	0.108	N	0.45	SignalP-noTM	N
Beaba1|10006	0.132	51	0.125	68	0.188	60	0.107	0.118	N	0.5	SignalP-TM	N
Beaba1|10007	0.112	36	0.138	57	0.209	54	0.129	0.135	N	0.5	SignalP-TM	N
Beaba1|10008	0.116	30	0.108	30	0.112	52	0.099	0.103	N	0.45	SignalP-noTM	N
Beaba1|10009	0.117	29	0.115	12	0.152	3	0.115	0.115	N	0.45	SignalP-noTM	N
Beaba1|1001	0.122	38	0.133	30	0.214	26	0.134	0.133	N	0.5	SignalP-TM	N
Beaba1|10010	0.227	28	0.203	11	0.466	2	0.375	0.272	N	0.5	SignalP-TM	N
Beaba1|10011	0.152	22	0.13	22	0.182	21	0.111	0.12	N	0.45	SignalP-noTM	N
Beaba1|10012	0.113	31	0.106	55	0.125	30	0.099	0.102	N	0.45	SignalP-noTM	N
Beaba1|10013	0.11	51	0.114	16	0.143	3	0.122	0.118	N	0.45	SignalP-noTM	N
Beaba1|10014	0.109	69	0.107	11	0.124	1	0.102	0.104	N	0.45	SignalP-noTM	N
Beaba1|10015	0.11	67	0.111	45	0.124	25	0.105	0.108	N	0.45	SignalP-noTM	N
Beaba1|10016	0.206	37	0.195	37	0.332	12	0.2	0.198	N	0.45	SignalP-noTM	N
Beaba1|10017	0.121	34	0.111	34	0.123	33	0.101	0.106	N	0.45	SignalP-noTM	N
Beaba1|10018	0.11	69	0.104	69	0.108	4	0.096	0.1	N	0.45	SignalP-noTM	N
Beaba1|10019	0.179	23	0.163	23	0.331	22	0.148	0.155	N	0.45	SignalP-noTM	N
Beaba1|1002	0.161	21	0.154	21	0.185	1	0.143	0.148	N	0.45	SignalP-noTM	N
Beaba1|10020	0.283	21	0.493	21	0.941	3	0.855	0.689	Y	0.45	SignalP-noTM	N
Beaba1|10021	0.126	9	0.113	33	0.128	34	0.103	0.108	N	0.45	SignalP-noTM	N
Beaba1|10022	0.108	66	0.106	46	0.11	29	0.097	0.101	N	0.45	SignalP-noTM	N
Beaba1|10023	0.141	42	0.13	42	0.188	41	0.11	0.12	N	0.45	SignalP-noTM	N
Beaba1|10024	0.126	32	0.13	32	0.212	21	0.138	0.134	N	0.45	SignalP-noTM	N
Beaba1|10025	0.111	15	0.113	15	0.136	8	0.115	0.114	N	0.45	SignalP-noTM	N
Beaba1|10026	0.154	37	0.162	37	0.347	32	0.165	0.164	N	0.45	SignalP-noTM	N
Beaba1|10027	0.109	27	0.108	27	0.127	13	0.105	0.106	N	0.45	SignalP-noTM	N
Beaba1|10028	0.11	39	0.102	39	0.106	57	0.095	0.098	N	0.45	SignalP-noTM	N
Beaba1|10029	0.113	32	0.127	15	0.225	26	0.155	0.142	N	0.45	SignalP-noTM	N
Beaba1|1003	0.212	23	0.348	23	0.777	17	0.571	0.469	Y	0.45	SignalP-noTM	N
Beaba1|10030	0.11	22	0.113	12	0.134	1	0.105	0.109	N	0.45	SignalP-noTM	N
Beaba1|10031	0.125	24	0.222	20	0.579	17	0.418	0.328	N	0.45	SignalP-noTM	N
Beaba1|10032	0.13	32	0.115	32	0.129	46	0.1	0.107	N	0.45	SignalP-noTM	N
Beaba1|10033	0.112	49	0.11	15	0.134	13	0.112	0.111	N	0.45	SignalP-noTM	N
Beaba1|10034	0.111	52	0.106	52	0.13	2	0.099	0.102	N	0.45	SignalP-noTM	N
Beaba1|10035	0.109	29	0.102	41	0.117	3	0.097	0.099	N	0.45	SignalP-noTM	N
Beaba1|10036	0.119	53	0.115	53	0.156	28	0.107	0.111	N	0.45	SignalP-noTM	N
Beaba1|10037	0.115	29	0.13	11	0.199	2	0.143	0.137	N	0.45	SignalP-noTM	N
Beaba1|10038	0.138	18	0.122	18	0.163	24	0.103	0.112	N	0.45	SignalP-noTM	N
Beaba1|10039	0.117	60	0.115	24	0.167	21	0.124	0.12	N	0.45	SignalP-noTM	N
Beaba1|1004	0.149	23	0.122	23	0.137	5	0.1	0.11	N	0.45	SignalP-noTM	N
Beaba1|10040	0.182	49	0.233	49	0.569	45	0.192	0.211	N	0.45	SignalP-noTM	N
Beaba1|10041	0.111	21	0.108	38	0.114	23	0.102	0.104	N	0.45	SignalP-noTM	N
Beaba1|10042	0.109	25	0.105	45	0.116	2	0.1	0.102	N	0.45	SignalP-noTM	N
Beaba1|10043	0.117	30	0.166	11	0.465	18	0.221	0.196	N	0.45	SignalP-noTM	N
Beaba1|10044	0.11	44	0.11	11	0.126	1	0.102	0.106	N	0.45	SignalP-noTM	N
Beaba1|10045	0.721	39	0.413	39	0.397	36	0.21	0.303	N	0.45	SignalP-noTM	N
Beaba1|10046	0.108	17	0.117	11	0.146	8	0.126	0.122	N	0.45	SignalP-noTM	N
Beaba1|10047	0.112	30	0.116	36	0.149	25	0.114	0.115	N	0.45	SignalP-noTM	N
Beaba1|10048	0.11	23	0.121	23	0.174	13	0.133	0.127	N	0.45	SignalP-noTM	N
Beaba1|10049	0.129	17	0.133	17	0.162	19	0.14	0.137	N	0.45	SignalP-noTM	N
Beaba1|1005	0.11	66	0.115	12	0.135	1	0.106	0.11	N	0.45	SignalP-noTM	N
Beaba1|10050	0.117	20	0.114	70	0.161	66	0.11	0.113	N	0.5	SignalP-TM	N
Beaba1|10051	0.111	26	0.108	36	0.117	24	0.104	0.106	N	0.45	SignalP-noTM	N
Beaba1|10052	0.795	22	0.781	22	0.882	21	0.763	0.771	Y	0.45	SignalP-noTM	Y
Beaba1|10053	0.852	24	0.903	24	0.984	16	0.956	0.932	Y	0.45	SignalP-noTM	N
Beaba1|10054	0.116	46	0.11	46	0.116	36	0.101	0.105	N	0.45	SignalP-noTM	N
Beaba1|10055	0.249	18	0.47	18	0.944	14	0.901	0.702	Y	0.45	SignalP-noTM	N
Beaba1|10056	0.112	36	0.109	15	0.142	13	0.113	0.111	N	0.45	SignalP-noTM	N
Beaba1|10057	0.118	38	0.106	38	0.106	2	0.094	0.099	N	0.45	SignalP-noTM	N
Beaba1|10058	0.438	21	0.576	21	0.902	11	0.747	0.668	Y	0.45	SignalP-noTM	N
Beaba1|10059	0.149	20	0.203	20	0.432	5	0.271	0.24	N	0.45	SignalP-noTM	N
Beaba1|1006	0.109	69	0.116	11	0.144	2	0.122	0.12	N	0.45	SignalP-noTM	N
Beaba1|10060	0.293	50	0.18	50	0.168	49	0.103	0.138	N	0.45	SignalP-noTM	N
Beaba1|10061	0.142	53	0.171	59	0.286	46	0.128	0.154	N	0.5	SignalP-TM	N
Beaba1|10062	0.127	32	0.16	24	0.294	19	0.231	0.198	N	0.45	SignalP-noTM	N
Beaba1|10063	0.204	23	0.34	23	0.736	5	0.568	0.463	Y	0.45	SignalP-noTM	N
Beaba1|10064	0.203	49	0.236	49	0.402	31	0.211	0.226	N	0.5	SignalP-TM	N
Beaba1|10065	0.111	33	0.108	33	0.141	12	0.105	0.106	N	0.45	SignalP-noTM	N
Beaba1|10066	0.109	19	0.112	19	0.134	17	0.111	0.111	N	0.45	SignalP-noTM	N
Beaba1|10067	0.11	26	0.137	12	0.206	1	0.155	0.146	N	0.45	SignalP-noTM	N
Beaba1|10068	0.185	34	0.23	34	0.397	30	0.264	0.244	N	0.5	SignalP-TM	N
Beaba1|10069	0.113	24	0.128	24	0.17	2	0.145	0.137	N	0.45	SignalP-noTM	N
Beaba1|1007	0.11	58	0.107	58	0.116	1	0.098	0.102	N	0.45	SignalP-noTM	N
Beaba1|10070	0.117	18	0.158	14	0.306	7	0.23	0.197	N	0.45	SignalP-noTM	N
Beaba1|10071	0.217	30	0.144	30	0.256	2	0.111	0.126	N	0.45	SignalP-noTM	N
Beaba1|10072	0.113	40	0.109	11	0.123	1	0.098	0.103	N	0.45	SignalP-noTM	N
Beaba1|10073	0.239	42	0.181	42	0.262	35	0.124	0.15	N	0.45	SignalP-noTM	N
Beaba1|10074	0.114	8	0.106	12	0.13	11	0.106	0.106	N	0.45	SignalP-noTM	N
