#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","JAACLJ010000006.1",562646,563369,"+",,,"GQ602_005562","KAF4584189.1",218,"macro domain-containing protein"
"Un","JAACLJ010000006.1",563488,565703,"-",,,"GQ602_005563","KAF4584190.1",664,"potassium ion channel Yvc1"
"Un","JAACLJ010000006.1",566446,570270,"+",,,"GQ602_005564","KAF4584191.1",1076,"AAA family ATPase"
"Un","JAACLJ010000006.1",572678,573688,"+",,,"GQ602_005565","KAF4584192.1",336,"hypothetical protein GQ602_005565"
"Un","JAACLJ010000006.1",574507,575790,"-",,,"GQ602_005566","KAF4584193.1",107,"hypothetical protein GQ602_005566"
"Un","JAACLJ010000006.1",576145,577669,"-",,,"GQ602_005567","KAF4584194.1",485,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"
"Un","JAACLJ010000006.1",579105,584855,"+",,,"GQ602_005568","KAF4584195.1",1887,"SEC7-like protein"
"Un","JAACLJ010000006.1",585585,586703,"-",,,"GQ602_005569","KAF4584196.1",372,"hypothetical protein GQ602_005569"
"Un","JAACLJ010000006.1",586881,587805,"+",,,"GQ602_005570","KAF4584197.1",291,"hypothetical protein GQ602_005570"
"Un","JAACLJ010000006.1",588532,589928,"-",,,"GQ602_005571","KAF4584198.1",437,"nucleoporin NUP49/NSP49"
"Un","JAACLJ010000006.1",590299,591484,"+",,,"GQ602_005572","KAF4584199.1",339,"Pre-mRNA polyadenylation factor Fip1"
"Un","JAACLJ010000006.1",592102,592963,"+",,,"GQ602_005573","KAF4584200.1",266,"peptidase m50B-like domain-containing protein"
"Un","JAACLJ010000006.1",593454,594627,"-",,,"GQ602_005574","KAF4584201.1",351,"class III chitinase"
"Un","JAACLJ010000006.1",596171,599222,"-",,,"GQ602_005575","KAF4584202.1",901,"Heat-labile enterotoxin, A chain"
"Un","JAACLJ010000006.1",601190,602575,"+",,,"GQ602_005576","KAF4584203.1",461,"F-box domain, cyclin-like protein"
"Un","JAACLJ010000006.1",602730,603279,"-",,,"GQ602_005577","KAF4584204.1",119,"hypothetical protein GQ602_005577"
"Un","JAACLJ010000006.1",604785,605886,"+",,,"GQ602_005578","KAF4584205.1",265,"oxidoreductase"
"Un","JAACLJ010000006.1",606547,608081,"-",,,"GQ602_005579","KAF4584206.1",471,"5-phospho-ribosyl-1-pyrophosphate synthetase"
"Un","JAACLJ010000006.1",608390,610206,"+",,,"GQ602_005580","KAF4584207.1",560,"DNA replication initiation factor cdc45"
"Un","JAACLJ010000006.1",610318,613294,"-",,,"GQ602_005581","KAF4584208.1",952,"Poly(A) RNA polymerase cid13"
"Un","JAACLJ010000006.1",614369,616508,"+",,,"GQ602_005582","KAF4584209.1",670,"Transcription initiation factor IIF subunit alpha"
"Un","JAACLJ010000006.1",616684,617652,"-",,,"GQ602_005583","KAF4584210.1",322,"pre-mrna-splicing factor cwc26"
"Un","JAACLJ010000006.1",618010,620337,"+",,,"GQ602_005584","KAF4584211.1",775,"cis-Golgi transport protein particle complex subunit"
"Un","JAACLJ010000006.1",620769,622200,"+",,,"GQ602_005585","KAF4584212.1",444,"hypothetical protein GQ602_005585"
"Un","JAACLJ010000006.1",622495,622920,"-",,,"GQ602_005586","KAF4584213.1",141,"DNA repair protein rad18"
"Un","JAACLJ010000006.1",624062,625609,"+",,,"GQ602_005587","KAF4584214.1",449,"DNA polymerase subunit Cdc27"
"Un","JAACLJ010000006.1",625810,627102,"-",,,"GQ602_005588","KAF4584215.1",109,"Aspartate/tyrosine/aromatic aminotransferase"
"Un","JAACLJ010000006.1",628175,629889,"-",,,"GQ602_005589","KAF4584216.1",533,"DUF1237 domain protein"
"Un","JAACLJ010000006.1",630617,631597,"-",,,"GQ602_005590","KAF4584217.1",326,"hypothetical protein GQ602_005590"
"Un","JAACLJ010000006.1",633725,634333,"-",,,"GQ602_005591","KAF4584218.1",202,"precorrin 3B synthase CobZ"
"Un","JAACLJ010000006.1",634947,636517,"+",,,"GQ602_005592","KAF4584219.1",502,"Histone acetyltransferase ESA1"
"Un","JAACLJ010000006.1",637169,638024,"-",,,"GQ602_005593","KAF4584220.1",207,"Ras-related protein Rab-6B"
"Un","JAACLJ010000006.1",638592,639977,"+",,,"GQ602_005594","KAF4584221.1",442,"P60-like protein"
"Un","JAACLJ010000006.1",640215,642333,"-",,,"GQ602_005595","KAF4584222.1",681,"NADH-ubiquinone oxidoreductase subunit"
"Un","JAACLJ010000006.1",642857,644658,"-",,,"GQ602_005596","KAF4584223.1",452,"Uridine kinase"
"Un","JAACLJ010000006.1",645498,646697,"+",,,"GQ602_005597","KAF4584224.1",252,"ran binding protein in the microtubule-organising centre"
"Un","JAACLJ010000006.1",647048,647745,"-",,,"GQ602_005598","KAF4584225.1",198,"NADH-ubiquinone oxidoreductase 21 kDa subunit, mitochondrial"
"Un","JAACLJ010000006.1",647969,648625,"+",,,"GQ602_005599","KAF4584226.1",101,"mitochondrial F1F0 ATP synthase subunit F Atp17"
"Un","JAACLJ010000006.1",649832,653726,"+",,,"GQ602_005600","KAF4584227.1",1229,"hypothetical protein GQ602_005600"
"Un","JAACLJ010000006.1",654363,657261,"-",,,"GQ602_005601","KAF4584228.1",923,"putative replication licensing factor"
"Un","JAACLJ010000006.1",657893,658504,"-",,,"GQ602_005602","KAF4584229.1",160,"ribonuclease H2 subunit C"
"Un","JAACLJ010000006.1",659244,660878,"+",,,"GQ602_005603","KAF4584230.1",481,"cyclopropane-fatty-acyl-phospholipid synthase"
"Un","JAACLJ010000006.1",660977,661969,"-",,,"GQ602_005604","KAF4584231.1",330,"RNA exonuclease 4"
"Un","JAACLJ010000006.1",662475,663311,"+",,,"GQ602_005605","KAF4584232.1",260,"Inositol phoshorylceramide synthase regulatory subunit kei1"
"Un","JAACLJ010000006.1",663761,668547,"+",,,"GQ602_005606","KAF4584233.1",1531,"sulfite reductase beta subunit"
"Un","JAACLJ010000006.1",668833,671923,"-",,,"GQ602_005607","KAF4584234.1",978,"class 2 chitin synthase"
"Un","JAACLJ010000006.1",672592,674059,"-",,,"GQ602_005608","KAF4584235.1",471,"argininosuccinate lyase"
"Un","JAACLJ010000006.1",674782,676398,"+",,,"GQ602_005609","KAF4584236.1",514,"beta-fructofuranosidase"
"Un","JAACLJ010000006.1",676844,683007,"-",,,"GQ602_005610","KAF4584237.1",1514,"AMP deaminase"
"Un","JAACLJ010000006.1",683349,685430,"+",,,"GQ602_005611","KAF4584238.1",613,"phd finger domain-containing protein"
"Un","JAACLJ010000006.1",686893,688491,"+",,,"GQ602_005612","KAF4584239.1",479,"HMG box protein"
"Un","JAACLJ010000006.1",689396,691478,"+",,,"GQ602_005613","KAF4584240.1",666,"nucleoside diphosphatase"
"Un","JAACLJ010000006.1",691907,692713,"+",,,"GQ602_005614","KAF4584241.1",268,"hypothetical protein GQ602_005614"
"Un","JAACLJ010000006.1",692904,693633,"+",,,"GQ602_005615","KAF4584242.1",223,"hypothetical protein GQ602_005615"
"Un","JAACLJ010000006.1",693754,695307,"-",,,"GQ602_005616","KAF4584243.1",431,"hypothetical protein GQ602_005616"
"Un","JAACLJ010000006.1",697291,697793,"-",,,"GQ602_005617","KAF4584244.1",144,"magnesium transporter"
"Un","JAACLJ010000006.1",730223,731966,"-",,,"GQ602_005618","KAF4584245.1",480,"protein phosphatase PP2A regulatory subunit B"
"Un","JAACLJ010000006.1",733978,736019,"+",,,"GQ602_005619","KAF4584246.1",261,"ER to Golgi protein transport"
"Un","JAACLJ010000006.1",785964,786848,"+",,,"GQ602_005620","KAF4584247.1",233,"tRNA nucleotidyltransferase"
"Un","JAACLJ010000006.1",788510,789960,"-",,,"GQ602_005621","KAF4584248.1",407,"Polyphosphoinositide phosphatase"
"Un","JAACLJ010000006.1",837839,838907,"-",,,"GQ602_005622","KAF4584249.1",139,"tRNA-splicing endonuclease subunit sen34"
