gene_ID_robin,gene_ID_ncbi,module_identity,GCN,start,end
Beaba1|5,BBA_00005,brown,beau,15330,20029
Beaba1|10,BBA_00010,brown,beau,30265,32130
Beaba1|11,BBA_00011,brown,beau,33013,35806
Beaba1|20,BBA_00020,brown,beau,63451,64529
Beaba1|23,BBA_00023,brown,beau,71296,72546
Beaba1|24,BBA_00024,brown,beau,75584,76846
Beaba1|25,BBA_00025,brown,beau,77430,78098
Beaba1|28,BBA_00028,brown,beau,81860,83583
Beaba1|41,BBA_00041,brown,beau,123417,124953
Beaba1|42,BBA_00042,brown,beau,125824,127043
Beaba1|43,BBA_00043,brown,beau,127178,128543
Beaba1|46,BBA_00046,brown,beau,133249,134214
Beaba1|48,BBA_00048,brown,beau,138249,138827
Beaba1|50,BBA_00050,brown,beau,143876,146215
Beaba1|51,BBA_00051,brown,beau,150227,151027
Beaba1|52,BBA_00052,brown,beau,151356,152775
Beaba1|53,BBA_00053,brown,beau,153461,155881
Beaba1|59,BBA_00059,brown,beau,166586,167842
Beaba1|65,BBA_00065,brown,beau,186123,187605
Beaba1|66,BBA_00066,brown,beau,189192,190440
Beaba1|67,BBA_00067,brown,beau,190905,192006
Beaba1|68,BBA_00068,brown,beau,194874,196661
Beaba1|71,BBA_00071,brown,beau,204827,207269
Beaba1|94,BBA_00094,brown,beau,274311,275919
Beaba1|95,BBA_00095,brown,beau,277109,278999
Beaba1|96,BBA_00096,brown,beau,280245,282308
Beaba1|98,BBA_00098,brown,beau,286081,287781
Beaba1|104,BBA_00104,brown,beau,303694,304524
Beaba1|105,BBA_00105,brown,beau,310431,312301
Beaba1|112,BBA_00112,brown,beau,328097,328444
Beaba1|115,BBA_00115,brown,beau,332792,333941
Beaba1|119,BBA_00119,brown,beau,346837,347361
Beaba1|121,BBA_00121,brown,beau,351113,354688
Beaba1|124,BBA_00124,brown,beau,358719,360065
Beaba1|125,BBA_00125,brown,beau,362632,368584
Beaba1|126,BBA_00126,brown,beau,369658,373338
Beaba1|127,BBA_00127,brown,beau,374371,377320
Beaba1|128,BBA_00128,brown,beau,377751,380186
Beaba1|132,BBA_00132,brown,beau,386775,387826
Beaba1|139,BBA_00139,brown,beau,400740,402105
Beaba1|140,BBA_00140,brown,beau,403673,405258
Beaba1|142,BBA_00142,brown,beau,410540,411720
Beaba1|143,BBA_00143,brown,beau,412600,414179
Beaba1|145,BBA_00145,brown,beau,418157,418687
Beaba1|146,BBA_00146,brown,beau,421381,423528
Beaba1|149,BBA_00149,brown,beau,431727,433778
Beaba1|151,BBA_00151,brown,beau,439028,440359
Beaba1|158,BBA_00158,brown,beau,460887,462018
Beaba1|159,BBA_00159,brown,beau,462812,466262
Beaba1|161,BBA_00161,brown,beau,474040,478974
Beaba1|163,BBA_00163,brown,beau,484066,484950
Beaba1|164,BBA_00164,brown,beau,488963,490680
Beaba1|165,BBA_00165,brown,beau,491080,493572
Beaba1|166,BBA_00166,brown,beau,495826,497488
Beaba1|167,BBA_00167,brown,beau,498117,499655
Beaba1|168,BBA_00168,brown,beau,500472,501228
Beaba1|171,BBA_00171,brown,beau,509005,510510
Beaba1|178,BBA_00178,brown,beau,529875,533298
Beaba1|185,BBA_00185,brown,beau,560252,562294
Beaba1|204,BBA_00204,brown,beau,609662,610897
Beaba1|205,BBA_00205,brown,beau,615510,616403
Beaba1|207,BBA_00207,brown,beau,631395,633122
Beaba1|209,BBA_00209,brown,beau,639717,640770
Beaba1|210,BBA_00210,brown,beau,641537,642007
Beaba1|222,BBA_00222,brown,beau,671971,673275
Beaba1|223,BBA_00223,brown,beau,674592,675023
Beaba1|224,BBA_00224,brown,beau,675401,676686
Beaba1|232,BBA_00232,brown,beau,687242,688354
Beaba1|234,BBA_00234,brown,beau,690819,691847
Beaba1|236,BBA_00236,brown,beau,695304,697966
Beaba1|237,BBA_00237,brown,beau,700153,702435
Beaba1|240,BBA_00240,brown,beau,707782,710057
Beaba1|246,BBA_00246,brown,beau,724953,725832
Beaba1|247,BBA_00247,brown,beau,727481,728494
Beaba1|248,BBA_00248,brown,beau,730180,731260
Beaba1|250,BBA_00250,brown,beau,735813,737991
Beaba1|251,BBA_00251,brown,beau,738407,739813
Beaba1|252,BBA_00252,brown,beau,740720,742743
Beaba1|254,BBA_00254,brown,beau,746821,747319
Beaba1|255,BBA_00255,brown,beau,749238,750569
Beaba1|259,BBA_00259,brown,beau,758403,758732
Beaba1|260,BBA_00260,brown,beau,768897,774238
Beaba1|262,BBA_00262,brown,beau,776871,778109
Beaba1|264,BBA_00264,brown,beau,779840,782222
Beaba1|265,BBA_00265,brown,beau,782947,786360
Beaba1|267,BBA_00267,brown,beau,791555,794170
Beaba1|273,BBA_00273,brown,beau,805157,806439
Beaba1|277,BBA_00277,brown,beau,815717,819246
Beaba1|278,BBA_00278,brown,beau,819973,820799
Beaba1|280,BBA_00280,brown,beau,823466,824872
Beaba1|289,BBA_00289,brown,beau,843527,846000
Beaba1|292,BBA_00292,brown,beau,863592,869210
Beaba1|294,BBA_00294,brown,beau,870932,875887
Beaba1|296,BBA_00296,brown,beau,878761,880143
Beaba1|297,BBA_00297,brown,beau,887187,891663
Beaba1|302,BBA_00302,brown,beau,909286,911808
Beaba1|318,BBA_00318,brown,beau,961148,962933
Beaba1|320,BBA_00320,brown,beau,966653,969260
Beaba1|328,BBA_00328,brown,beau,993318,997355
Beaba1|329,BBA_00329,brown,beau,1001463,1002385
Beaba1|333,BBA_00333,brown,beau,1009277,1010971
Beaba1|334,BBA_00334,brown,beau,1015404,1016414
Beaba1|339,BBA_00339,brown,beau,1031139,1032851
Beaba1|347,BBA_00347,brown,beau,1048794,1050290
Beaba1|348,BBA_00348,brown,beau,1051469,1052507
Beaba1|353,BBA_00353,brown,beau,1060696,1062809
Beaba1|355,BBA_00355,brown,beau,1064927,1066375
Beaba1|356,BBA_00356,brown,beau,1066393,1068221
Beaba1|357,BBA_00357,brown,beau,1068983,1071043
Beaba1|358,BBA_00358,brown,beau,1071787,1087440
Beaba1|359,BBA_00359,brown,beau,1089378,1091380
Beaba1|360,BBA_00360,brown,beau,1097730,1100312
Beaba1|361,BBA_00361,brown,beau,1100722,1101171
Beaba1|364,BBA_00364,brown,beau,1108814,1110832
Beaba1|365,BBA_00365,brown,beau,1112018,1117658
Beaba1|366,BBA_00366,brown,beau,1119866,1124275
Beaba1|367,BBA_00367,brown,beau,1124521,1126176
Beaba1|368,BBA_00368,brown,beau,1127339,1128385
Beaba1|369,BBA_00369,brown,beau,1129569,1131160
Beaba1|374,BBA_00374,brown,beau,1142634,1144289
Beaba1|376,BBA_00376,brown,beau,1148513,1149162
Beaba1|378,BBA_00378,brown,beau,1152335,1153416
Beaba1|381,BBA_00381,brown,beau,1160642,1163421
Beaba1|388,BBA_00388,brown,beau,1186723,1190481
Beaba1|390,BBA_00390,brown,beau,1193529,1195993
Beaba1|391,BBA_00391,brown,beau,1201832,1203745
Beaba1|394,BBA_00394,brown,beau,1210124,1211664
Beaba1|398,BBA_00398,brown,beau,1222118,1227271
Beaba1|404,BBA_00404,brown,beau,1235229,1237046
Beaba1|406,BBA_00406,brown,beau,1240659,1241631
Beaba1|407,BBA_00407,brown,beau,1242362,1243660
Beaba1|408,BBA_00408,brown,beau,1244022,1246037
Beaba1|415,BBA_00415,brown,beau,1259736,1261781
Beaba1|418,BBA_00418,brown,beau,1280776,1282137
Beaba1|421,BBA_00421,brown,beau,1290018,1292895
Beaba1|422,BBA_00422,brown,beau,1293774,1295983
Beaba1|424,BBA_00424,brown,beau,1300064,1301324
Beaba1|425,BBA_00425,brown,beau,1302058,1304103
Beaba1|427,BBA_00427,brown,beau,1308824,1309455
Beaba1|431,BBA_00431,brown,beau,1314498,1315356
Beaba1|433,BBA_00433,brown,beau,1322312,1325386
Beaba1|434,BBA_00434,brown,beau,1326207,1328321
Beaba1|437,BBA_00437,brown,beau,1331771,1334683
Beaba1|440,BBA_00440,brown,beau,1337472,1338990
Beaba1|441,BBA_00441,brown,beau,1339624,1339944
Beaba1|442,BBA_00442,brown,beau,1341211,1341762
Beaba1|443,BBA_00443,brown,beau,1347118,1348458
Beaba1|444,BBA_00444,brown,beau,1351035,1354397
Beaba1|445,BBA_00445,brown,beau,1355244,1356056
Beaba1|447,BBA_00447,brown,beau,1357647,1358615
Beaba1|449,BBA_00449,brown,beau,1361618,1363162
Beaba1|450,BBA_00450,brown,beau,1364260,1365405
Beaba1|451,BBA_00451,brown,beau,1365443,1367304
