ophio_kim_ID,PFAM annotation,GO annotation (terminal nodes only),SignalP/SmallSecretedProteins,Transcription factors,Transmembrane domains,MEROPS proteases,Secondary metabolism,Description Blastp result,# aminoacids,# blastp hits,e-value ,sim mean %,LD BH.Q,LD ADJ.P,LD PER,LD LAG,LD AMP,ZT4,ZT8,ZT12,ZT16,ZT20,ZT24,ZT28,ZT32,ZT36,ZT40,ZT44,ZT48,DD BH.Q,DD ADJ.P,DD PER,DD LAG,LD AMP,CT4,CT8,CT12,CT16,CT20,CT24,CT28,CT32,CT36,CT40,CT44,CT48,Clustered_Activity
Ophio5|3466,,,,,,,,hypothetical protein XA68_3161,123,1,1.05E-15,100,0.826219487,9.57E-05,28,26,0.891780772,2.715720676,1.389053001,1.20904756,0.69834477,1.519434753,2.024395772,4.943156157,2.377013674,1.931001002,0.914503415,1.089364026,1.814513473,1,1,16,0,0.566928152,2.739705911,1.919977144,0.789494626,2.538821817,1.747179188,0.958101499,1.567589847,2.663794488,1.438210126,1.913730668,0,0.873839601,night-active
Ophio5|1446,PF00550.20|PP-binding;PF00550.20|PP-binding;PF07993.7|NAD_binding_4;PF00106.20|adh_short,GO:0016491|oxidoreductase activity;GO:0008152|metabolic process,,,,,,Type I Iterative Polyketide synthase (PKS),703,20,0,77.55,1,0.000294162,24,4,0.330922832,0.605893742,1.223313722,0.511097378,0.393612507,0.123520483,0.461443154,1.169962208,0.942026726,0.340119495,0.241615959,0.159897182,0.399502256,1,1,28,6,0.178594816,0.361921378,0.953046506,0.33374091,0.499788119,0.341935321,0.112504343,0.106195991,0.281514645,0.350752295,0.354818485,0,0.263854165,night-active
Ophio5|3328,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,hypothetical protein XA68_2643,197,1,9.66E-110,96,1,0.001933622,28,0,15.48339547,38.89058309,30.7948841,17.11229738,3.236369499,16.90858161,8.054280503,32.21477337,32.56388682,29.11655434,19.83040612,7.959326383,14.14770656,1,0.039672068,28,0,17.87584908,32.31377039,26.23439844,8.405326627,4.582852455,5.592542137,5.400208449,38.66478018,25.15698277,31.03941294,13.87734519,3.450740556,10.94506167,night-active
Ophio5|3430,,,,,1,,,hypothetical protein XA68_1337,598,20,0,66.4,1,0.001933622,28,18,3.176438043,25.07349186,17.56931746,24.90355392,29.31788914,29.42165786,32.41657414,25.83810005,23.52707816,20.32523001,29.72212435,33.33805522,35.83467209,1,1,28,12,11.19171521,25.89990207,18.82504226,26.21491205,38.33538669,38.25839525,13.32171622,15.3268294,18.88118879,15.29855158,24.85411673,16.79030116,15.42776008,day-active
Ophio5|368,PF00046.24|Homeobox,"GO:0006355|regulation of transcription, DNA-templated;GO:0043565|sequence-specific DNA binding;GO:0003700|sequence-specific DNA binding transcription factor activity",,Homeobox,,,,Homeodomain,552,20,0,64.3,1,0.001933622,24,16,27.40068155,67.18748608,34.69768993,58.45056255,218.0371283,101.1894088,82.56244378,46.31080318,38.47602829,69.0787472,70.84838211,95.91656538,85.62600486,1,0.3029569,24,18,20.82224044,63.12222968,27.86633932,59.87138923,97.88331511,76.22152582,81.17239186,47.15547501,25.70807347,46.06673657,34.2165645,103.9819826,45.15071205,day-active
Ophio5|3829,,,,,,,,hypothetical protein XA68_2101,1851,20,0,59.85,1,0.001933622,24,18,16.18122718,43.1301021,30.57026644,33.44100207,49.79665783,80.7918219,74.63618769,49.46926248,39.06189438,37.88181879,40.90946095,84.13396007,49.90205979,1,1,28,16,47.10144101,33.96623876,33.54022512,61.67743462,66.0545248,130.6296319,139.5248241,29.92093822,33.28074642,36.39945195,31.85794861,73.34940334,28.41798642,day-active
Ophio5|4671,,,,,3,,,hypothetical protein XA68_3040,180,20,4.19E-101,58.55,1,0.001933622,24,6,43.85849663,87.56723787,292.2414027,97.24215889,87.36022992,73.82657732,44.86961053,94.18624197,229.9169759,170.144741,162.5795077,42.91251659,82.54131564,1,0.039672068,24,4,86.60386503,111.677073,299.4200017,14.81981736,16.88147364,4.78785015,7.110771715,162.2458822,229.5749335,107.245367,117.2367322,7.247699059,21.72253519,night-active
Ophio5|5066,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,hypothetical protein XA68_4494,143,1,7.62E-41,100,1,0.001933622,24,2,3.61092479,12.16039369,8.612128605,5.413846296,3.608114644,3.723913807,4.819517384,13.30189591,11.38573043,11.8954613,3.34682847,4.533973422,8.124988107,1,0.039672068,24,4,2.768665895,6.09457727,12.32470177,4.486961126,3.729413095,2.841862445,7.150276002,6.749345173,10.82684471,8.097614704,5.550938077,0.854058288,3.869861092,night-active
Ophio5|6046,PF09421.5|FRQ,"GO:0007623|circadian rhythm;GO:0006355|regulation of transcription, DNA-templated;GO:0005737|cytoplasm;GO:0005634|nucleus",,,,,,Frequency clock,1012,20,0,76.35,1,0.001933622,24,16,34.97588503,34.72762442,22.52926042,34.88311079,141.0306229,80.84929742,109.981081,29.10081899,29.40586486,37.98304924,72.35726156,80.78643319,60.38120481,1,0.3029569,28,18,2.644985091,26.04658874,24.18588816,49.98272554,36.78099864,30.27447399,96.4432094,26.17038218,20.0468811,24.63337559,17.38435444,80.62714921,61.03149141,day-active
Ophio5|4554,PF12417.3|DUF3669,,,,,,,hypothetical protein XA68_3979,304,20,0,64.6,1,0.003127029,24,6,0.686727027,0.44163851,1.863608157,1.08140385,0.340700662,0.332627835,0.145241124,1.067640695,3.865569777,1.147399334,0,0,0.848359414,1,1,20,6,0.560141539,0.464103187,2.625590205,0.128389946,0.121432558,0.315701595,0.259682155,1.764872907,1.256262948,0.359824576,0.655192691,0.716848923,0.355265936,night-active
Ophio5|1247,PF01738.13|DLH;PF12695.2|Abhydrolase_5,GO:0016787|hydrolase activity,,,,,,dienelactone hydrolase,298,20,0,82.4,1,0.004320437,20,12,10.93984229,65.02228518,72.12297668,81.42915098,132.1800822,77.89419201,62.42291868,102.0517895,80.34147219,99.67084975,79.54956295,56.77323241,75.6269796,1,0.461567736,28,0,27.83139877,99.3227386,78.3939102,44.65951943,83.54986392,47.82245644,38.87307241,85.86375587,63.14564923,60.97537326,60.10886207,30.30050272,32.0978445,--
Ophio5|1775,,,,,,,,---NA---,77,,,,1,0.004320437,24,16,1.349324592,1.726919814,0,1.729868047,4.662794309,3.158746015,2.08241013,0.245573463,0.472355281,2.361381896,2.362467155,3.463618954,2.451919488,1,0.984211769,28,18,1.904621399,0.725904985,0.277479214,1.75713163,4.748324364,4.62927819,2.79241548,0.191697378,0.677560034,0.351751589,0.320246428,0.700765774,2.182998564,day-active
Ophio5|2303,PF06687.7|SUR7,,SignalP: has predicted secretion signal,,4,,,pH signal transduction,540,20,0,67.3,1,0.004320437,28,16,19.95918146,58.17900284,45.36888452,65.87141409,130.6124162,85.86005396,84.36647916,61.85455361,51.04318318,63.563512,70.29759014,70.661668,72.82336845,1,0.3029569,28,18,11.79538594,60.6499653,45.16705096,60.76511024,77.3599463,69.23551884,105.8114781,55.11104722,50.18766073,44.65424654,51.64373212,76.40743275,60.05795513,day-active
Ophio5|2327,,,SignalP: has predicted secretion signal,,,,,ribosomal s17,485,20,0,66,1,0.004320437,28,16,2.83052914,5.912746031,5.493333061,7.156765474,9.692910451,10.58650171,10.96829488,6.779040286,5.155087267,5.836403154,7.058235205,10.42292741,9.745356106,1,1,28,16,3.808006942,7.98047394,5.43311153,6.284767099,10.78338601,11.83799781,11.97824014,5.753287965,5.246907792,5.165537223,5.036962329,5.988951942,3.822085029,day-active
Ophio5|3092,PF00445.13|Ribonuclease_T2,GO:0033897|ribonuclease T2 activity;GO:0003723|RNA binding,,,,,,Ribonuclease Trv,264,20,0,74.9,1,0.004320437,24,18,60.82045928,33.29371068,20.27912547,24.440098,112.0830179,111.1317666,56.66870188,33.03287419,20.36831622,26.27282408,97.40496657,164.5611111,291.0986305,1,1,28,6,5.077912354,25.31901802,18.53979988,17.06738421,25.64632703,18.71276527,5.006230977,15.23451613,11.81639131,12.16529552,11.31134552,3.042381221,4.030496835,day-active
Ophio5|4319,,,,,1,,,hypothetical protein XA68_2043,129,20,7.29E-67,61.85,1,0.004320437,24,8,21.92566059,52.49836235,79.76156031,59.27681176,72.33992314,42.02990286,23.62588947,54.95934101,83.4651782,128.7897686,58.22572897,28.22849447,56.76914767,1,0.069996234,24,4,34.25074805,65.54922015,94.73140376,18.9770216,30.05689323,6.295818339,2.589330718,83.04330402,80.49413201,46.53673522,62.44805337,7.042696033,32.50683317,night-active
Ophio5|4326,PF02463.14|SMC_N;PF13476.1|AAA_23,,,,,,,structural maintenance of chromosomes 5 smc5,1096,20,0,80.5,1,0.004320437,28,18,5.055894356,24.86481173,18.99849701,24.88676164,30.58049837,31.58881518,35.75111807,27.86777507,22.51933351,25.47063575,26.7990349,27.82893114,31.25793055,1,1,24,18,4.035417575,22.71017237,23.93201311,26.02266408,27.65108998,27.16630928,45.34140379,20.8679284,17.41582523,20.20856166,22.24676322,32.38726049,20.55929849,day-active
Ophio5|4660,PF13419.1|HAD_2;PF00702.21|Hydrolase;PF13242.1|Hydrolase_like,,,,,,,2-deoxyglucose-6-phosphate phosphatase,236,20,1.28E-140,82.2,1,0.004320437,20,12,53.28253208,188.8827655,192.0831722,212.7372747,441.742846,223.0832033,146.7895454,197.5281029,249.2780257,264.235645,395.8179148,176.2134411,232.8319377,1,1,28,0,80.29693557,308.1880152,171.4119065,90.13163799,285.6688106,85.52249632,56.31103438,197.5356548,267.6490784,134.5204937,300.0141501,102.8617711,60.67680935,--
Ophio5|4731,PF02919.10|Topoisom_I_N;PF01028.15|Topoisom_I;PF14370.1|Topo_C_assoc,GO:0005694|chromosome;GO:0003677|DNA binding;GO:0003918|DNA topoisomerase type II (ATP-hydrolyzing) activity;GO:0003917|DNA topoisomerase type I activity;GO:0006265|DNA topological change,,,,,,topoisomerase I,912,20,0,88.1,1,0.004320437,24,18,7.940733162,48.09651373,40.29683834,48.0472587,58.27362026,59.32157985,60.90847464,57.82085014,41.82749992,49.56729406,51.68446765,68.45294677,57.59301537,1,0.683105342,24,18,26.00138025,43.03908943,45.84698186,77.11693578,53.3039716,96.07805758,198.6148955,36.57031661,37.68361818,36.79753123,39.34295761,112.1033354,66.2581255,day-active
Ophio5|474,,,,,,,,ring finger,257,20,5.71E-149,64.2,1,0.004320437,24,18,8.05372016,41.33228625,33.18006137,40.26971896,43.1631203,52.97273241,61.06788776,41.57615838,33.34498736,40.05013526,40.65641151,54.27678849,45.69760753,1,0.984211769,24,20,3.668488991,36.10111187,32.6328462,31.03876703,45.00417662,42.07977989,45.58780621,34.59914764,30.7777706,25.25658211,34.51586206,39.82957099,22.55919024,day-active
Ophio5|4806,PF00348.12|polyprenyl_synt,GO:0008299|isoprenoid biosynthetic process,,,,,,Geranylgeranyl pyrophosphate synthase,432,20,0,79.6,1,0.004320437,24,6,39.03014803,101.1025803,133.1001493,88.94904261,87.95466903,73.97155794,50.94843948,170.7557927,142.6949305,132.3769967,85.14702639,57.55766785,76.7233288,1,0.11836677,24,4,35.93974537,109.2528914,161.2506691,54.75920141,55.6409307,43.91934135,27.84911193,119.3083749,96.66731789,78.06448196,67.87079426,41.68908999,67.35167017,night-active
Ophio5|5079,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,hypothetical protein XA68_4505,224,2,3.54E-129,73,1,0.004320437,28,2,3.689892861,9.678426159,7.272464156,3.931285311,3.617736283,3.413923144,3.41262848,16.77103036,10.88936375,5.730286733,3.779947449,2.301382371,1.999997073,1,0.039672068,28,0,4.327568221,7.046117721,14.62130473,1.479337486,0.411521445,0.962889864,0.264010191,6.047413275,6.811736873,4.877622033,4.718297366,0.546597304,1.169558019,night-active
Ophio5|55,PF00018.23|SH3_1;PF14604.1|SH3_9;PF07653.12|SH3_2,GO:0005515|protein binding,,,,,,SH3 domain containing,532,20,0,78.15,1,0.004320437,28,16,8.477278181,26.61983714,19.64793318,29.22492522,64.17434676,38.28563319,34.82380754,34.24851369,23.50255546,29.4078438,32.04622427,36.45247752,37.06373562,1,1,28,16,7.577497225,24.91093449,22.57733314,27.80798558,39.05207258,35.40833269,31.31715632,23.45253772,20.84736543,17.6562139,24.27624138,27.6118807,18.47078164,day-active
