id	proteinId	TF
1	Beaba1|9086	Fungal Specific TF
2	Beaba1|9096	Fungal Specific TF
3	Beaba1|9110	Fungal Specific TF
4	Beaba1|9125	Fungal Specific TF
5	Beaba1|5814	Homeodomain
6	Beaba1|5820	Fungal Specific TF
7	Beaba1|5846	Fungal Specific TF
8	Beaba1|5855	Fungal Specific TF
9	Beaba1|5861	C2H2 zinc finger
10	Beaba1|5872	bZIP
11	Beaba1|2634	Fungal Specific TF
12	Beaba1|2647	Fungal Specific TF
13	Beaba1|2662	Fungal Specific TF
14	Beaba1|7284	Fungal Specific TF
15	Beaba1|7288	Fungal Specific TF
16	Beaba1|7300	Fungal Specific TF
17	Beaba1|7334	Fungal Specific TF
18	Beaba1|7339	Fungal Specific TF
19	Beaba1|7341	Fungal Specific TF
20	Beaba1|7342	Fungal Specific TF
21	Beaba1|7355	Fungal Specific TF
22	Beaba1|7054	Fungal Specific TF
23	Beaba1|7066	Fungal Specific TF
24	Beaba1|7069	Fungal Specific TF
25	Beaba1|7070	Fungal Specific TF
26	Beaba1|7071	Fungal Specific TF
27	Beaba1|1626	Helix-loop-helix
28	Beaba1|1641	Fungal Specific TF
29	Beaba1|1667	Forkhead
30	Beaba1|1669	Fungal Specific TF
31	Beaba1|5898	Fungal Specific TF
32	Beaba1|5924	Centromere protein B, DNA-binding region
33	Beaba1|5939	Fungal Specific TF
34	Beaba1|5945	Fungal Specific TF
35	Beaba1|5953	Fungal Specific TF
36	Beaba1|5962	Fungal Specific TF
37	Beaba1|1414	Fungal Specific TF
38	Beaba1|1479	Fungal Specific TF
39	Beaba1|148	Homeodomain
40	Beaba1|1486	Fungal Specific TF
41	Beaba1|1492	Zinc finger, GRF-type
42	Beaba1|1499	Fungal Specific TF
43	Beaba1|1502	Fungal Specific TF
44	Beaba1|6883	Fungal Specific TF
45	Beaba1|6902	Fungal Specific TF
46	Beaba1|4393	Fungal Specific TF
47	Beaba1|4426	HMG
48	Beaba1|4445	Histone-like TF
49	Beaba1|4448	Fungal Specific TF
50	Beaba1|4449	Helix-loop-helix
51	Beaba1|1333	Bromodomain transcription factor
52	Beaba1|1403	GATA type zinc finger
53	Beaba1|1404	Fungal Specific TF
54	Beaba1|1157	CCAAT-binding TF
55	Beaba1|1180	Homeodomain
56	Beaba1|1203	C2H2 zinc finger
57	Beaba1|1214	HMG
58	Beaba1|2194	SART1
59	Beaba1|2200	Fungal Specific TF
60	Beaba1|2201	Fungal Specific TF
61	Beaba1|2226	Fungal Specific TF
62	Beaba1|2557	Fungal Specific TF
63	Beaba1|2567	Fungal Specific TF
64	Beaba1|2591	Fungal Specific TF
65	Beaba1|2599	Fungal Specific TF
66	Beaba1|300	TEA/ATTS
67	Beaba1|5136	C2H2 zinc finger
68	Beaba1|5156	Fungal Specific TF
69	Beaba1|5163	GATA type zinc finger
70	Beaba1|517	Fungal Specific TF
71	Beaba1|5178	Fungal Specific TF
72	Beaba1|5187	Histone-like TF
73	Beaba1|5197	Fungal Specific TF
74	Beaba1|521	HMG
75	Beaba1|5223	Fungal Specific TF
76	Beaba1|9641	Fungal Specific TF
77	Beaba1|971	C2H2 zinc finger
78	Beaba1|9716	C2H2 zinc finger
79	Beaba1|9537	Fungal Specific TF
80	Beaba1|9560	GATA type zinc finger
81	Beaba1|96	Fungal Specific TF
82	Beaba1|7864	Transcription factor TFIIS
83	Beaba1|7891	bZIP
84	Beaba1|7909	Bromodomain transcription factor
85	Beaba1|3269	Fungal Specific TF
86	Beaba1|3279	DDT
87	Beaba1|3307	Fungal Specific TF
88	Beaba1|3328	Fungal Specific TF
89	Beaba1|5334	Fungal Specific TF
90	Beaba1|5338	MADS-box
91	Beaba1|5367	Fungal Specific TF
92	Beaba1|5373	C2H2 zinc finger
93	Beaba1|5373	Fungal Specific TF
94	Beaba1|5407	Fungal Specific TF
95	Beaba1|6544	C2H2 zinc finger
96	Beaba1|6544	Fungal Specific TF
97	Beaba1|6549	C2H2 zinc finger
98	Beaba1|656	bZIP
99	Beaba1|6572	Fungal Specific TF
100	Beaba1|6593	Fungal Specific TF
101	Beaba1|6597	AT-rich interaction region
102	Beaba1|7945	Fungal Specific TF
103	Beaba1|7964	Helix-loop-helix
104	Beaba1|899	bZIP
105	Beaba1|9004	C2H2 zinc finger
106	Beaba1|9023	Fungal Specific TF
107	Beaba1|9057	Fungal Specific TF
108	Beaba1|7483	bZIP
109	Beaba1|1787	Histone-like TF
110	Beaba1|1830	Helix-turn-helix
111	Beaba1|8070	Fungal Specific TF
112	Beaba1|8083	Helix-loop-helix
113	Beaba1|8096	Fungal Specific TF
114	Beaba1|8340	Forkhead
115	Beaba1|8353	bZIP
116	Beaba1|8369	Fungal Specific TF
117	Beaba1|8378	Fungal Specific TF
118	Beaba1|8385	Fungal Specific TF
119	Beaba1|7768	Helix-turn-helix
120	Beaba1|7768	Centromere protein B, DNA-binding region
121	Beaba1|7784	Fungal Specific TF
122	Beaba1|6761	C2H2 zinc finger
123	Beaba1|6763	MADS-box
124	Beaba1|677	Fungal Specific TF
125	Beaba1|6785	Transcription factor TFIIS
126	Beaba1|6350	Fungal Specific TF
127	Beaba1|6378	Fungal Specific TF
128	Beaba1|6381	Fungal Specific TF
129	Beaba1|6391	Zinc finger, MIZ-type
130	Beaba1|6398	Fungal Specific TF
131	Beaba1|6424	Fungal Specific TF
132	Beaba1|6429	Fungal Specific TF
133	Beaba1|6440	bZIP
134	Beaba1|1980	Fungal Specific TF
135	Beaba1|1981	Fungal Specific TF
136	Beaba1|1991	Fungal Specific TF
137	Beaba1|2041	Fungal Specific TF
138	Beaba1|8510	Fungal Specific TF
139	Beaba1|8523	Fungal Specific TF
140	Beaba1|859	Fungal Specific TF
141	Beaba1|3822	Fungal Specific TF
142	Beaba1|3856	GATA type zinc finger
143	Beaba1|3901	Fungal Specific TF
144	Beaba1|6928	C2H2 zinc finger
145	Beaba1|6928	Fungal Specific TF
146	Beaba1|6939	Fungal Specific TF
147	Beaba1|6946	Bromodomain transcription factor
148	Beaba1|6961	C2H2 zinc finger
149	Beaba1|6983	Fungal Specific TF
150	Beaba1|5610	Histone-like TF
151	Beaba1|5623	C2H2 zinc finger
152	Beaba1|5636	Helix-loop-helix
153	Beaba1|5660	Fungal Specific TF
154	Beaba1|5668	Fungal Specific TF
155	Beaba1|5671	Fungal Specific TF
156	Beaba1|5678	Fungal Specific TF
157	Beaba1|10354	Zinc finger, CCHC-type
158	Beaba1|10360	Fungal Specific TF
159	Beaba1|3177	Fungal Specific TF
160	Beaba1|3180	Fungal Specific TF
161	Beaba1|3181	C2H2 zinc finger
162	Beaba1|3208	Fungal Specific TF
163	Beaba1|3244	Helix-loop-helix
164	Beaba1|8712	Fungal Specific TF
165	Beaba1|8727	Fungal Specific TF
166	Beaba1|8755	Fungal Specific TF
167	Beaba1|8777	Fungal Specific TF
168	Beaba1|8256	Fungal Specific TF
169	Beaba1|8290	Fungal Specific TF
170	Beaba1|8304	Fungal Specific TF
171	Beaba1|3650	bZIP
172	Beaba1|3659	C2H2 zinc finger
173	Beaba1|369	Fungal Specific TF
174	Beaba1|3694	bZIP
175	Beaba1|3710	Fungal Specific TF
176	Beaba1|3727	Fungal Specific TF
177	Beaba1|5985	Fungal Specific TF
178	Beaba1|6027	Fungal Specific TF
179	Beaba1|6034	Fungal Specific TF
180	Beaba1|6057	Fungal Specific TF
181	Beaba1|6064	GATA type zinc finger
182	Beaba1|5053	Fungal Specific TF
183	Beaba1|5101	Fungal Specific TF
184	Beaba1|512	Fungal Specific TF
185	Beaba1|5123	Fungal Specific TF
186	Beaba1|4680	Fungal Specific TF
187	Beaba1|4682	Fungal Specific TF
188	Beaba1|4702	Fungal Specific TF
189	Beaba1|4953	YL1 nuclear protein
190	Beaba1|4961	Fungal Specific TF
191	Beaba1|499	Fungal Specific TF
192	Beaba1|4990	bZIP
193	Beaba1|501	Fungal Specific TF
194	Beaba1|5013	Fungal Specific TF
195	Beaba1|5022	Fungal Specific TF
196	Beaba1|861	Fungal Specific TF
197	Beaba1|8640	Fungal Specific TF
198	Beaba1|627	Fungal Specific TF
199	Beaba1|6272	bZIP
200	Beaba1|6282	Fungal Specific TF
201	Beaba1|6315	Fungal Specific TF
202	Beaba1|7099	Fungal Specific TF
203	Beaba1|71	Fungal Specific TF
204	Beaba1|710	Fungal Specific TF
205	Beaba1|7119	Fungal Specific TF
206	Beaba1|712	Fungal Specific TF
207	Beaba1|7135	Fungal Specific TF
208	Beaba1|7182	RFX DNA-binding domain
209	Beaba1|3744	Fungal Specific TF
210	Beaba1|3786	Fungal Specific TF
211	Beaba1|3811	C2H2 zinc finger
212	Beaba1|3811	Fungal Specific TF
213	Beaba1|2346	Fungal Specific TF
214	Beaba1|2350	C2H2 zinc finger
215	Beaba1|237	Fungal Specific TF
216	Beaba1|2371	GATA type zinc finger
217	Beaba1|2395	Fungal Specific TF
218	Beaba1|2416	Centromere protein B, DNA-binding region
219	Beaba1|6160	Zinc finger, MIZ-type
220	Beaba1|6171	Fungal Specific TF
221	Beaba1|6200	Fungal Specific TF
222	Beaba1|6213	Fungal Specific TF
223	Beaba1|6216	Fungal Specific TF
224	Beaba1|6231	Helix-loop-helix
225	Beaba1|6250	Fungal Specific TF
226	Beaba1|10102	bZIP
227	Beaba1|10116	Fungal Specific TF
228	Beaba1|1014	Fungal Specific TF
229	Beaba1|10143	Fungal Specific TF
230	Beaba1|10154	Zinc finger, BED-type predicted
231	Beaba1|6120	C2H2 zinc finger
232	Beaba1|6128	Fungal Specific TF
233	Beaba1|6141	Fungal Specific TF
234	Beaba1|6148	Fungal Specific TF
235	Beaba1|6158	Forkhead
236	Beaba1|8148	Helix-loop-helix
237	Beaba1|8181	Fungal Specific TF
238	Beaba1|8191	Fungal Specific TF
239	Beaba1|8203	Fungal Specific TF
240	Beaba1|740	Fungal Specific TF
241	Beaba1|7401	Fungal Specific TF
242	Beaba1|7418	Fungal Specific TF
243	Beaba1|7446	AT-rich interaction region
244	Beaba1|7451	Fungal Specific TF
245	Beaba1|7453	Fungal Specific TF
246	Beaba1|7457	Fungal Specific TF
247	Beaba1|7469	Fungal Specific TF
248	Beaba1|3090	Fungal Specific TF
249	Beaba1|3101	Fungal Specific TF
250	Beaba1|3122	Fungal Specific TF
251	Beaba1|3169	Fungal Specific TF
252	Beaba1|4206	Homeodomain
253	Beaba1|4234	HMG
254	Beaba1|4253	Helix-turn-helix
255	Beaba1|4574	Fungal Specific TF
256	Beaba1|4604	C2H2 zinc finger
257	Beaba1|4646	Fungal Specific TF
